District,Rainfall
Akola,667.19
Amravati,747.27
Auranagabad,564.49
Beed,540.93
Bhandara,1080.34
Buldhana,614.27
Chandrapur,1075.21
Dhule,497.33
Gadchiroli,1237.85
Gondia,1167.36
Hingoli,806.65
Jalgaon,609.71
Jalna,576.08
Kolhapur,1650.72
Latur,714.86
Nagpur,877.71
Nanded,775.58
Nandurbar,787
Nashik,866.6
Osmanabad,592.23
Parbhani,690.84
Pune,817.95
Raigad,2035.28
Ratnagiri,3098.38
Sangli,482.7
Satara,687.61
Sindhudurg,2870.71
Solapur,450.49
Thane,2306.89
Wardha,836.29
Washim,784.32
Yavatmal,812.25
