pH,N,P,K,OC,Fe,Rainfall,Temperature,Humidity,Min PPH,Already Grown,Season_Kharif,Season_Rabi,Season_Whole year,Crop_Arhar,Crop_Bajra,Crop_Cotton,Crop_Gram,Crop_Groundnut,Crop_Jowar,Crop_Maize,Crop_Moong,Crop_Mustard,Crop_Nigerseed,Crop_Ragi,Crop_Rice,Crop_Safflower,Crop_Sesamum,Crop_Soyabean,Crop_Sugarcane,Crop_Sunflower,Crop_Urad,Crop_Wheat
7.841,281.022,22.882,565.604,0.493,3.99,549.749,26.698,71.08,11962.298,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.841,281.022,22.882,565.604,0.493,3.99,790.323,28.243,63.619,15262.876,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.841,281.022,22.882,565.604,0.493,3.99,923.362,26.634,70.759,19886.179,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.841,281.022,22.882,565.604,0.493,3.99,510.889,27.616,65.411,15325.805,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.841,281.022,22.882,565.604,0.493,3.99,395.544,27.253,66.494,19100.993,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.841,281.022,22.882,565.604,0.493,3.99,685.537,26.84,71.327,16086.897,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.841,281.022,22.882,565.604,0.493,3.99,973.8,28.093,58.681,18457.55,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.841,281.022,22.882,565.604,0.493,3.99,700.8,26.498,77.008,13428.507,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.841,281.022,22.882,565.604,0.493,3.99,1128.8,27.876,62.992,12699.222,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.841,281.022,22.882,565.604,0.493,3.99,1118.6,26.36,76.555,15012.122,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.841,281.022,22.882,565.604,0.493,3.99,1103.6,28.025,60.22,18809.881,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.841,281.022,22.882,565.604,0.493,3.99,801.7,27.705,61.954,10811.295,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.841,281.022,22.882,565.604,0.493,3.99,701.8,25.923,81.336,21800.757,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.841,281.022,22.882,565.604,0.493,3.99,1266.4,26.104,76.221,25764.234,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.841,281.022,22.882,565.604,0.493,3.99,902.1,27.314,63.795,12873.298,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.841,281.022,22.882,565.604,0.493,3.99,1066.1,28.187,57.169,56304.11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.841,281.022,22.882,565.604,0.493,3.99,1493.5,27.245,69.557,55614.706,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.841,281.022,22.882,565.604,0.493,3.99,834.8,26.923,72.574,22866.464,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.63,260.815,25.898,602.551,0.457,3.171,581.862,27.375,68.373,11413.333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.63,260.815,25.898,602.551,0.457,3.171,791.404,28.895,61.509,13830.18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.63,260.815,25.898,602.551,0.457,3.171,955.169,27.297,68.532,17542.887,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.63,260.815,25.898,602.551,0.457,3.171,583.958,28.218,63.418,14873.894,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.63,260.815,25.898,602.551,0.457,3.171,487.989,27.875,64.445,18909.021,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.63,260.815,25.898,602.551,0.457,3.171,704.047,27.638,68.019,16715.794,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.63,260.815,25.898,602.551,0.457,3.171,973.8,27.432,70.628,18895.294,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.63,260.815,25.898,602.551,0.457,3.171,700.8,28.76,56.345,16809.78,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.63,260.815,25.898,602.551,0.457,3.171,1128.8,27.131,68.685,14458.033,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.63,260.815,25.898,602.551,0.457,3.171,1118.6,28.538,61.13,12923.125,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.63,260.815,25.898,602.551,0.457,3.171,1103.6,26.99,75.775,18701.26,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.63,260.815,25.898,602.551,0.457,3.171,801.7,28.69,59.895,21374.717,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.63,260.815,25.898,602.551,0.457,3.171,701.8,28.363,61.44,16831.289,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.63,260.815,25.898,602.551,0.457,3.171,1266.4,26.543,75.702,16127.192,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.63,260.815,25.898,602.551,0.457,3.171,902.1,26.728,77.887,28886.735,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.63,260.815,25.898,602.551,0.457,3.171,1066.1,27.965,63.294,40346.675,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.63,260.815,25.898,602.551,0.457,3.171,1493.5,28.856,60.209,61279.591,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.63,260.815,25.898,602.551,0.457,3.171,834.8,27.893,63.469,21270.465,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.004,231.718,13.521,521.653,0.417,2.929,694.426,27.378,67.379,10037.946,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.004,231.718,13.521,521.653,0.417,2.929,707.404,26.087,74.402,10551.206,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.004,231.718,13.521,521.653,0.417,2.929,405.149,26.838,70.183,9839.464,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.004,231.718,13.521,521.653,0.417,2.929,401.506,26.415,72.439,11041.054,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.004,231.718,13.521,521.653,0.417,2.929,461.474,26.506,72.544,7933.16,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.004,231.718,13.521,521.653,0.417,2.929,638.5,26.287,75.911,11653.339,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.004,231.718,13.521,521.653,0.417,2.929,650.1,26.175,76.044,12929.999,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.004,231.718,13.521,521.653,0.417,2.929,846.3,27.325,62.14,11183.998,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.004,231.718,13.521,521.653,0.417,2.929,801.8,25.914,73.904,13860.081,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.004,231.718,13.521,521.653,0.417,2.929,618.4,27.133,66.967,13274.811,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.004,231.718,13.521,521.653,0.417,2.929,607.2,25.792,80.96,17064.845,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.004,231.718,13.521,521.653,0.417,2.929,592.4,27.265,65.771,11620.291,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.004,231.718,13.521,521.653,0.417,2.929,968.0,26.981,67.196,26698.284,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.004,231.718,13.521,521.653,0.417,2.929,658.4,25.404,80.596,27084.056,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.004,231.718,13.521,521.653,0.417,2.929,526.6,25.565,82.905,11752.294,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.004,231.718,13.521,521.653,0.417,2.929,839.6,26.636,68.886,41721.946,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.004,231.718,13.521,521.653,0.417,2.929,413.0,27.408,66.179,17351.54,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.679,155.208,31.756,592.859,0.522,3.68,561.898,26.796,69.496,6006.837,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.679,155.208,31.756,592.859,0.522,3.68,803.169,27.628,65.308,10210.87,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
