Village,pH,N,P,K,OC,Fe
AGAR,7.931921397379915,512.9589082969433,17.241200877192963,698.096557522124,0.7355506607929518,4.135086956521742
ALIYABAD,7.865161290322582,354.29032258064524,13.630967741935484,781.0046666666666,0.5070967741935485,8.109677419354838
AMANATPUR,8.164615384615388,236.775,16.328378378378382,367.31819047619047,0.33525000000000016,3.744878048780488
AMBIKAPUR,7.518085106382978,311.34166666666664,11.6946275,631.3798723404257,0.4416875,5.3450000000000015
ANAKWADI,8.318888888888889,519.9851851851852,8.716800000000001,567.2970833333333,0.7435185185185185,6.177037037037038
ANVI,7.869999999999999,174.9922580645162,17.813692307692307,609.1218840579711,0.3903731343283583,2.9656521739130444
APATAPA,8.184021739130436,286.3217676767677,11.44284042553192,786.5490400000001,0.4462886597938144,6.275101010101007
BABHULGAON JH,8.26068965517241,267.9230769230769,19.69404050632912,871.8299670329669,0.3846153846153845,2.334395604395603
BAHIRKHED,8.169999999999998,278.5588235294117,29.058823529411768,629.5783529411765,0.3982352941176471,2.647333333333333
BAKHARABAD,8.276891891891898,331.2866666666667,20.285733333333333,592.402027027027,0.4730666666666668,5.362933333333333
BHOD,7.577211538461541,369.68708571428596,14.806186476190481,707.3404466019417,0.6398380952380949,2.621142857142858
BHOURAT,7.975789473684211,440.1324561403509,12.254392523364494,655.1152142857144,0.6296622807017545,4.522807017543858
BIRSINGPUR,8.013121693121695,383.61509234828463,19.883748033241016,721.9879182561311,0.612679045092838,3.5147592592592627
CHANDPUR,7.795324675324677,268.17090909090905,22.381641558441554,875.884116883117,0.4599868421052631,2.3149999999999986
CHANDUR,8.036276595744676,345.32712765957444,26.966047593582893,689.3719680851067,0.4938031914893616,3.4951351351351327
DABKI,8.365098039215685,413.5384615384616,13.642156862745098,593.7509615384616,0.5928846153846153,3.43326923076923
DAHIHANDA,8.289729729729732,724.3558139534883,15.889024390243904,602.0962790697674,1.0330232558139536,3.865609756097561
DALAMBI,7.759655172413791,161.41444444444446,20.496206896551726,832.8468965517241,0.4920689655172414,2.171407407407407
DAPURA,8.449000000000002,338.22909090909087,30.399436363636365,766.7250909090909,0.5300000000000001,5.4129999999999985
DEVLI,7.576031746031745,604.1461538461539,13.879354838709672,983.0264923076926,0.8595312500000001,4.118153846153845
DHAMNA,7.811028037383182,264.65383177570084,21.166924528301887,582.4228037383177,0.4600934579439252,2.548518867924529
DHOTARDI,8.451025641025643,438.51315789473676,16.908247027027027,641.2497777777778,0.6239743589743589,4.430256410256412
DODAKI,7.897878787878788,344.89303030303023,13.216785714285715,663.4772727272725,0.5169696969696971,3.1600000000000006
DONGARGAON,8.4553125,326.484375,15.71745818181818,616.2341818181818,0.4665625000000002,6.118787878787879
DUDHALA,8.11083333333333,318.44458333333324,23.149583333333336,735.5740624999999,0.5645833333333332,1.1984615384615382
DUDHALAM,7.942476190476193,253.56209523809517,13.648208163265311,690.663276190476,0.4834761904761904,3.937821782178217
EAKLARA,7.7602362204724455,276.3184375,23.418809523809518,741.722857142857,0.493359375,3.703671874999998
GANDHIGRAM,7.939268292682928,295.7926829268293,34.35829268292682,1030.2512195121956,0.42256097560975614,5.43657894736842
GANORI,8.055128205128202,278.43684210526317,18.198144736842107,1193.9176923076925,0.4144736842105264,2.106842105263158
GHONGA,8.029318181818182,356.2022222222222,9.136697674418603,589.6173555555557,0.5049999999999999,2.868666666666668
GHUSAR,8.216838235294118,264.575,20.683105514705886,708.1149924812026,0.3817857142857145,4.019929078014184
GHUSARWADI,7.875217391304349,291.2608695652174,23.592380952380964,750.8947619047618,0.4160869565217392,2.1621739130434783
GONAPUR,8.3365625,264.40909090909093,19.538597647058822,551.9744999999998,0.3777272727272728,4.534705882352942
GOPALKHED,8.292195121951218,431.7352941176471,12.886673170731706,294.7744761904761,0.6147142857142857,0.9165
GOREGAON KH,7.757238493723857,326.43343096234315,13.708875000000008,649.6548999999999,0.7778838174273858,2.2475641025641027
GOTRA,7.927777777777775,249.27936507936508,14.775409836065574,479.8044444444445,0.4231746031746034,4.572698412698414
HATLA,7.920833333333332,357.8316666666667,28.146769444444452,796.2923333333333,0.56125,4.9511111111111115
HINGMA TAMASWADI,8.099411764705879,572.3411764705883,21.163225806451614,702.4188235294116,0.8184705882352944,4.107272727272728
HINGNA MHAISPUR,8.390363636363636,440.0948275862069,14.921319642857142,653.4408275862069,0.6287068965517242,7.093448275862065
HINGNI BK (DAHIHANDA),8.073225806451612,461.1620967741935,27.55033333333333,749.0003278688522,0.6570161290322579,3.805483870967743
JALALABAD,8.103333333333332,308.16,20.598896296296296,829.0404827586203,0.4403,5.538333333333332
JAWALA KH,8.467142857142859,341.96785714285716,8.126923076923077,769.6999999999998,0.4864285714285714,2.795714285714286
KANADI,8.274745762711866,385.66666666666674,13.94833333333333,563.3969354838712,0.548968253968254,3.5647619047619035
KANCHANPUR,7.929565217391307,290.4908510638298,18.38592888888889,1168.3842666666667,0.4353913043478261,3.1657777777777767
KANSHIWANI,7.6857317073170694,334.1204819277108,26.243253012048196,640.8430487804877,0.4802409638554214,2.992380952380953
KAPILESHWAR,8.349795918367349,484.89,16.098479166666667,702.8365306122447,0.6918000000000002,5.5226000000000015
KAPSHI ROAD,7.8611730769230785,437.0590384615383,18.233673469387753,949.3201923076923,0.6204,2.5766
KASLI  BK,8.327333333333334,274.05,34.78003666666666,851.1029333333331,0.39166666666666655,3.0123333333333333
KASLI KH,7.978518518518517,199.77777777777766,22.694230769230767,405.97538461538454,0.2854444444444445,5.0888
KATI,7.910370370370368,291.0,41.03214285714286,726.6842857142855,0.4182142857142857,3.0674999999999994
KATYAR,8.302054794520547,253.08506493506488,23.57766578947368,706.2161038961038,0.3616883116883116,3.598947368421053
KAULKHED,7.408125000000001,721.7463768115942,14.080624999999996,1056.4569565217394,1.0292753623188406,8.48239705882353
KHADKA,7.950348837209304,281.97872093023256,14.486162790697675,839.061511627907,0.508546511627907,3.3462790697674403
KHADKI TAKALI,8.300526315789476,404.79365079365084,16.37432258064516,791.0138245454547,0.5942619047619049,4.538484848484847
KHAKADI,7.727538461538463,261.3912307692308,18.0706140625,1017.1481538461541,0.4490625000000001,1.4192857142857145
KHAMBORA,7.692391304347828,311.3131521739129,17.67014608695652,875.0639777777777,0.509611111111111,3.1452608695652176
KHARAB KH,8.286538461538461,615.4615384615385,27.539421538461546,686.6355692307691,0.8815384615384616,2.808333333333333
KHOBARKHED,7.64342105263158,396.80526315789473,12.708564324324325,912.7035789473687,0.6244736842105263,7.237105263157897
KOLAMBI,8.097880794701988,295.4152980132452,15.793815616438351,629.4712317880794,0.5062019867549672,3.4171523178807948
KOTHARI,8.116571428571433,304.38211267605635,75.77671014492755,721.8745142857142,0.5167142857142857,2.821267605633802
KUMBHARI,8.38353846153846,246.44331323529408,13.062496721311472,678.3271470588234,0.35957352941176457,8.430000000000001
KURANKHED,8.07986195348837,289.2938888888889,23.711151924882635,682.2115787037036,0.5473842592592589,3.7563317757009327
LAKHANWADA,7.79609756097561,251.73902439024403,26.94121951219512,636.9195121951218,0.3597560975609756,5.039512195121953
LAKHONDA BK,8.383749999999997,415.340625,12.80125,888.8428124999998,0.5903124999999999,5.296538461538461
LAKHONDA KH,8.065999999999999,452.9,18.902,900.6517333333333,0.6500000000000001,2.865333333333333
LONAGRA,7.687619047619046,312.31103174603186,16.694160000000007,738.0501612903225,0.5244400000000001,2.617039999999998
LONI,8.449444444444445,526.375,125.16266111111106,436.1214117647059,0.7512500000000001,4.177499999999998
MAJALAPUR,8.137922077922079,273.4303030303032,20.38372925764193,586.7876190476188,0.4993449781659381,4.729956709956713
MANDALA,8.159836065573769,255.69475409836068,16.362516666666668,786.5775081967214,0.4412096774193548,3.9856451612903214
MARODI,7.948548387096777,338.22304,18.9684944,505.741296,0.4995999999999999,5.783120000000002
MAZOD,8.182523364485982,224.75943396226413,16.08250000000001,713.9312424242424,0.3257547169811321,3.230721649484537
MHAISANG,8.465928143712576,457.0175119047619,19.616564417177912,583.1120359281434,0.6579268292682929,10.032518072289156
MHATODI,8.339714285714281,222.34246575342462,34.25050684931507,749.679072463768,0.3168493150684931,5.051643835616437
MIRZAPUR,7.89980392156863,340.73529411764713,7.998936170212767,689.3201960784312,0.4890196078431373,4.245882352941177
NANDAPUR,7.723529411764705,129.97277777777776,41.935555555555545,879.8,0.41777777777777786,1.6072222222222219
NAVTHAL,7.779615384615385,220.90096153846162,15.388960784313731,749.5442307692308,0.4721153846153846,2.5571153846153845
NAWKHEDA,8.529285714285713,164.05555555555554,24.48432083333333,767.9092962962961,0.2342592592592593,4.6148148148148165
NIMBHORA,8.181973684210528,325.37631578947367,20.52044117647059,727.6618461538462,0.4648223684210527,4.4525
NIMBI,8.140204081632655,228.84081632653056,22.33469387755102,546.6677551020408,0.3355102040816327,5.821632653061223
NIPANA,7.994943820224721,400.3011363636364,31.18632183908048,733.5545977011494,0.5773863636363634,5.378275862068964
PACH PIMPAL,8.110816326530612,268.04775510204075,15.448936170212766,743.1997959183673,0.4855102040816329,3.689183673469387
PAILPADA,7.84375,412.9909090909091,24.27272727272727,686.1048484848485,0.5866666666666667,3.9325
PALODI,8.120600000000001,172.27379999999994,27.729199999999995,534.4284,0.3686,1.2280000000000002
