Village,pH,N,P,K,OC,Fe
AJITPUR,7.477000000000001,275.097,51.49100000000001,3225.4240000000004,0.4305,2.9485
AMBADA  KANDARI,7.477928571428572,268.6573758865249,29.457318840579713,457.4852173913045,0.4989361702127658,4.2283357142857145
AMBUJ,7.522631578947368,216.81666666666663,69.2822222222222,451.5422222222222,0.6166666666666668,2.8678947368421053
ANTARGAON,7.378928571428572,267.15214285714285,35.801034482758624,531.0874074074071,0.5089655172413793,3.7106896551724144
AREGAON,7.357391304347825,297.5300000000001,54.22565217391303,668.2747826086958,0.4520833333333332,2.51725
ASATPUR,7.553389830508474,195.97115384615387,44.0915254237288,599.05,0.5266071428571428,2.563275862068965
AURANGPUR,7.435000000000001,239.7515625,145.5916666666666,972.0502857142856,0.5933333333333334,2.376060606060606
BAG AMBADA,7.4421739130434785,251.9695652173913,27.352380952380948,626.98,0.3800000000000001,1.8426086956521743
BAJITPUR,7.5729411764705885,268.1605882352941,43.70588235294117,3538.604705882353,0.4005882352941177,2.5015384615384613
BALEGAON,7.830178571428576,372.921568627451,19.91714285714286,313.78846153846155,0.5780357142857142,0.5551851851851852
BELKHEDA,7.381304347826087,246.35416666666663,19.32608695652174,261.1791666666666,0.47875,4.096666666666667
BENI,7.6,293.75176470588235,21.18823529411765,629.1058823529413,0.508235294117647,3.33
BHITKHEDA,7.634666666666664,209.54666666666668,38.17966666666667,353.78933333333333,0.6359999999999999,2.348095238095238
BHOPAPUR,7.800319148936168,436.71276595744683,17.92557894736842,348.1717391304348,0.6458947368421053,0.5098947368421052
BHUGAON,7.5072448979591835,267.47214285714296,43.67959183673469,1182.3665306122448,0.4737755102040818,3.0067346938775508
BORDI,7.605178571428572,426.94642857142856,17.821428571428573,331.74678571428575,0.5973214285714289,0.6307407407407406
CHACHONDI,7.54,237.05518518518525,84.41111111111111,755.4119999999999,0.3340740740740741,4.227777777777779
CHANDURA   JAHAGIR,7.493870967741934,330.9378787878788,48.31212121212121,700.3315151515152,0.5087941176470587,2.1667647058823536
CHIKHALI,7.4422727272727265,281.51227272727266,31.94150000000001,862.1963636363637,0.4581818181818181,2.3172727272727274
DARAPUR,7.600212765957444,330.34035714285704,42.42276595744681,608.1190243902438,0.5717857142857145,3.0642553191489363
DATURA,7.693863636363638,424.77011494252866,17.140232558139534,319.71045454545447,0.6295294117647059,0.5606896551724138
DHARAMPUR,7.422121212121211,238.4876923076923,40.77875,175.0826229508197,0.546969696969697,2.6486363636363626
EKALASPUR,7.501309523809524,260.39640718562856,43.83209876543213,686.5787730061347,0.4270059880239521,2.6082142857142863
GONDVIHIR,6.971666666666668,201.28333333333333,165.35000000000005,776.16,0.5750000000000001,2.624166666666667
HANAWATKHEDA,7.478518518518518,230.24185185185183,22.02083333333333,425.6425925925926,0.4396296296296296,2.9840740740740745
ISEGAON,7.517499999999999,413.27272727272725,17.940444444444445,374.2444444444445,0.616888888888889,0.5671428571428573
JALALPUR,7.4280434782608715,276.85764705882355,45.71020408163264,490.6791489361701,0.4380000000000001,2.392352941176471
JAMBHALA,7.506891891891892,197.40845070422526,38.84972972972972,347.64219178082186,0.5221621621621622,3.0695945945945957
JANUNA,7.4705555555555545,249.64,142.65555555555554,743.2755555555556,0.5333333333333334,3.0127777777777767
JAWALAPUR,7.5380769230769245,237.4342307692308,30.268627450980397,1760.7800000000002,0.5326923076923078,3.079615384615385
KAKDA,7.6879056603773614,417.9622641509434,18.66264150943396,346.7659574468085,0.6256603773584908,0.4658823529411764
KALWIT,7.486666666666667,319.36,42.43571428571429,410.32,0.4757142857142857,2.8207142857142857
KAMATWADA,7.45,253.65083333333328,46.71738095238095,810.5248979591838,0.4785416666666666,3.881632653061225
KAWITHA KH,7.492264150943397,238.4957407407408,40.48599999999999,655.7660377358492,0.31222222222222223,2.081636363636364
KHAIRI,7.385384615384614,271.63074074074075,48.970370370370375,646.9884615384615,0.6242857142857143,2.3059259259259264
