Village,pH,N,P,K,OC,Fe
ABDIMANDI,7.980769230769228,148.8298270440252,12.620047887323954,560.6314093959729,0.4081472972972976,1.3912658227848107
ADGAON BK,7.986509727626459,143.98927756653976,12.195196850393682,527.1850579150581,0.561749049429658,1.3578947368421064
ADGAON KH,8.072928176795584,132.7276417112301,14.433623655913975,522.2273333333331,0.4867914438502672,2.1845989304812843
ADGAON MAHOLI,7.963057324840755,269.58919801273964,11.564392356687856,471.22349551856695,0.3851273885350325,1.4742063694267535
ADGAON SARAK,8.138461538461543,497.1923076923077,11.026444444444444,495.6746153846154,0.7061538461538466,1.614175824175824
ALAMPUR,8.151538461538461,263.4223076923077,13.12,676.1730769230769,0.3792307692307693,2.3960000000000004
AMBIKAPUR,8.026315789473685,313.6184210526316,11.147368421052633,473.85081081081086,0.4505263157894737,2.46421052631579
ANJANDOH,8.039428571428571,177.1425771428571,25.25290697674419,501.845917159763,0.7372228571428568,1.456228571428572
ANTAPUR,7.838095238095237,309.85,14.215238095238096,550.0800000000002,0.44333333333333336,2.4066666666666667
APATGAON,8.028616352201249,143.95798224852072,12.194174819277107,617.758974358974,0.5243000000000002,1.633157894736842
ASHRAFPUR,8.106585365853658,121.6939512195122,12.843341463414633,386.8851025641026,0.4818048780487806,7.063707317073172
AURANGAPUR,7.68932692307692,268.6975961538461,15.704466019417474,507.83945652173935,0.6718269230769233,0.9873913043478264
BAGTALAB,8.009090909090908,258.6818181818182,13.063636363636364,549.6072727272727,0.3727272727272727,2.6490909090909094
BAKAPUR,8.063053722902913,343.9066819870003,10.807342321262746,463.59954503249793,0.4914763231197795,1.6565985130111511
BALAPUR,8.020588235294117,138.70696078431374,14.453267326732671,533.7192156862745,0.4366336633663366,1.5552941176470585
BANGAON,8.153134328358211,125.72185897435894,19.426727272727266,521.0748333333335,0.5147051282051281,8.858594594594594
BHABARDA,8.067500000000003,293.63777777777767,10.198231898734184,485.4988505747123,0.4275903614457835,1.9007954545454533
BHALGAON,8.080952380952379,310.8221768707483,11.18630136986301,492.43238095238127,0.4444520547945204,1.9519727891156464
BHIKAPUR,8.047714285714285,117.19059999999998,14.987264705882351,398.67847058823514,0.4870285714285716,9.628848484848488
BHINDON,8.060399999999989,314.2590551181103,11.060239999999995,500.2261199999999,0.4892913385826764,1.4529921259842522
BORWADI,8.110714285714284,387.7514285714286,15.473571428571427,542.6401428571428,0.5567857142857144,1.719285714285714
BORWADI TANDA,8.121052631578946,359.1868421052632,16.475263157894734,521.0357894736842,0.5136842105263157,2.1
BRIJWADI,8.03,487.375,21.488181818181825,813.1666666666665,0.6783333333333333,0.4533333333333334
CHARTHA,8.020000000000001,182.3756,12.768400000000005,491.67999999999984,0.5055999999999998,1.7911999999999997
CHAUKA,8.191891891891894,185.1421933789955,13.547446972477069,649.6629279279275,0.4832191780821916,1.7514414414414403
CHIKALTHANA,7.71457627118644,220.05110569105673,14.874591666666667,236.15376422764228,0.31439837398374,3.7873706896551718
CHINCHOLI,8.090683229813669,168.8383233532934,5.996424242424245,390.10802395209566,0.2411976047904192,1.8234730538922173
CHITEGAON,8.0133540372671,286.00560747663565,11.253571428571425,429.893426791277,0.40857943925233625,1.8702484472049703
DAIGAVHAN,7.993333333333334,267.4,12.804333333333336,552.6080000000002,0.3850000000000001,1.9486666666666663
