Village,pH,N,P,K,OC,Fe
AKOLA,7.5392857142857155,326.0,25.943508771929828,404.245283018868,0.3221052631578947,1.558431372549019
AMBAJOGAI (RURAL),7.384146341463412,264.8695652173913,34.79891304347826,515.7608695652174,0.4443478260869562,1.5122891566265058
AMBALTEK,7.425,140.0891666666667,17.161489361702127,635.016875,0.8204166666666667,1.2148936170212763
APEGAON,7.467692307692308,139.68859375,13.71349206349206,611.25328125,0.5264687500000002,1.9038461538461533
BABHALGAON,7.557714285714285,293.3142857142857,10.98928571428571,538.5857142857143,0.4284285714285713,1.5903174603174608
BARDAPUR,7.508673469387753,136.37339181286535,18.60810256410257,558.235765306123,0.5333673469387761,1.7470256410256397
BHAWTHANA,7.45,147.42854545454537,13.835321100917433,623.7105454545455,0.7050000000000004,1.8391743119266049
CHANAI,7.382413793103443,277.7916666666667,35.87705882352942,484.00606060606066,0.4304705882352938,1.4574522292993637
CHANDANWADI,7.829545454545452,151.05071428571432,16.794545454545457,670.9304545454546,0.6859523809523809,1.2185714285714286
CHOPANWADI,7.243749999999999,138.29911764705884,23.70542857142857,614.1840000000002,0.4894285714285714,1.7570588235294118
CHOTHEWADI,7.457777777777778,261.7928947368421,45.07684210526315,578.3842105263158,0.43868421052631584,1.5838709677419354
DAGADWADI.,7.658103448275859,261.1950862068965,11.608910891089106,523.7241379310344,0.44387387387387395,1.9434035087719297
DARADWADI,7.82894736842105,148.97972222222222,14.120250000000002,719.2455000000003,0.6318421052631578,1.2625
DATTAPUR,7.23913043478261,143.62640000000005,23.7988,701.9070833333334,1.2384,1.4280000000000004
DEVLA,8.477551020408166,147.29071428571427,11.069649122807014,472.56140350877195,0.4514035087719299,0.23134615384615376
DHANORA (K),7.815966386554622,137.81691666666663,27.57541666666667,936.1251304347826,1.5493749999999986,1.6726666666666656
GHATNANDUR,7.596551724137932,246.85866666666664,10.490000000000002,412.9903448275862,0.3636666666666665,1.7141666666666664
GHOLAPWADI,7.49,173.63583333333332,54.1516,587.2080000000002,0.4831818181818184,1.8200000000000005
GITTA,7.527450980392156,131.31800000000007,0.06895833333333333,53.17647058823529,0.0526734693877551,2.0373999999999994
HANUMANTWADI,7.5,142.7809090909091,19.396,617.2572727272726,0.436,2.056666666666666
HIWARA (K),7.532666666666667,301.34689285714285,14.46103448275862,480.44826666666665,0.41176666666666667,2.048666666666667
JAWALGAON,8.235989847715741,127.93057591623017,13.105490196078431,470.2758620689655,0.3727586206896551,2.821121951219512
JODWADI,7.575757575757577,177.4715873015873,24.3578125,836.854830769231,1.1533333333333329,1.2793939393939395
KODARI,7.823076923076924,113.20440000000002,33.20384615384616,949.747692307692,1.4423076923076918,1.6920833333333336
KOLKANDI,7.396226415094341,143.73245283018872,15.26423076923077,639.081568627451,0.6401886792452831,1.8786792452830188
LIMBGAON,7.587301587301586,131.3745,16.25349206349206,563.2953225806452,0.6095000000000004,2.0874999999999995
LOKHANDI SAWARGAON,7.274666666666667,139.82159999999996,22.91800000000001,607.1332000000002,0.4665789473684212,1.8193421052631584
MAKEGAON,7.217021276595743,139.01914893617018,16.667959183673467,628.3022448979591,0.501875,1.5040816326530615
