Village,pH,N,P,K,OC,Fe
AMBADI,6.61142857142857,325.5542857142858,13.86714285714286,518.6844444444445,0.31142857142857144,3.3260869565217384
AMGAON,6.7919444444444474,245.88184722222232,18.879821111111113,511.1316666666667,0.3736429166666666,6.093611111111112
ARJUNI,7.057377049180329,216.9828524590164,14.294525161290322,644.2529032258063,0.3586921311475409,2.2524193548387097
BASORA,7.288510638297873,381.1402127659575,47.06319148936171,505.5734301075268,0.5650957446808511,3.4202325581395345
BELGAON,6.912399999999997,286.6482000000001,34.037000000000006,447.44472,0.4430000000000001,8.71877551020408
BHILEWADA,7.385658730158727,334.94727738095236,34.202346666666664,574.4039225806455,0.4784962698412698,2.853672131147541
BHOJAPUR,6.915789473684209,387.4996428571428,79.02666666666667,348.37764912280693,0.5568421052631579,11.607735849056606
BORGAON BK.,7.119692307692307,386.25766206106874,50.233885801526746,691.7142198473282,0.5522835114503813,5.386015267175571
BORGAON KH.,7.566491228070175,440.85934426229517,79.29672131147544,856.6771964285713,0.6298360655737703,0.6937037037037038
CHANDORI,7.0405882352941145,315.13150653594795,18.53961073825504,527.5576470588231,0.4801426143790849,7.5773202614379045
CHICHOLI,7.313333333333333,297.02061111111107,19.750371428571434,341.2266666666667,0.3660572222222222,1.5170588235294118
CHIKHALI,6.741182795698924,493.74644444444465,16.439892473118274,348.11076923076934,0.3794623655913979,1.564623655913978
CHINTAPUR,7.034285714285716,228.02584210526317,8.062902857142857,418.0480952380952,0.32600684210526315,3.1157894736842104
DABHA,7.151999999999999,142.18599999999995,46.44615384615384,386.4,0.33925000000000005,6.56725
DAWADIPAR,7.066739130434781,146.98326086956519,17.949999999999992,573.2452173913044,0.3426086956521739,3.484324324324324
DAWWA,7.2176190476190465,411.9080392063491,31.00195730158731,527.8421333333333,0.5884401587301588,2.7125967741935484
DEDMAZARI,7.392352941176469,427.7777772222223,46.12365333333334,587.4773333333333,0.6111116666666666,2.8430000000000004
