Village,pH,N,P,K,OC,Fe
AFJALPUR,7.197457627118645,283.36547881720435,16.168965454545454,491.633870967742,0.4039130434782606,1.5908139534883718
AJISPUR,7.505132158590325,254.6625287835049,15.257328000000005,445.33544491525305,0.3855051546391749,0.5724029126213592
AMBHODA,7.681633165829152,249.82576892095344,10.803138133704774,385.35162790697814,0.37623115577889416,0.7119209809264322
ANTRITELI,7.623888888888887,284.56946428571416,15.404107142857116,406.6545127272728,0.4109433962264151,2.7052678571428563
ATAKAL,7.676029962546817,181.9983025830258,19.629702602230466,479.4876603773581,0.2904460966542753,4.553308270676699
AWALKHED,7.511086956521747,344.1688412017166,16.250643776824006,478.3457446808517,0.5095708154506435,1.7014666666666676
BHADGAON,7.757752808988767,358.2708333333332,17.557441860465104,242.6277528089889,0.5267441860465114,4.605909090909093
BHADOLA,7.500942857142853,276.13345738636355,15.035056818181813,534.7398005698003,0.4589772727272724,3.5813690476190474
BIRSINGPUR,7.766453900709222,255.7036428571429,13.714503546099285,354.47731205673784,0.428,3.3784285714285707
BODEGAON,7.697586206896559,324.58010989011007,13.122494505494506,497.41065934065944,0.5434065934065933,4.559886363636365
BORKHED,7.643,336.55954618473913,12.733415322580662,456.89468674698776,0.5040160642570279,4.504340425531913
BULDANA (RURAL),7.747661290322582,184.77148338709682,12.91349185483871,498.01709677419365,0.3418427419354839,2.7250806451612903
CHANDOL,7.8921367521367465,289.1111111111111,15.25390557939911,455.44324675324685,0.4130341880341877,3.7073819742489262
CHAUTHA,7.8181818181818175,275.09495867768584,13.441900826446275,323.63101694915247,0.5185,3.5186206896551715
CHIKHALA,7.52892198581559,354.59758274398786,13.279605091937807,344.58209840810457,0.5073974540311182,2.7075631500742983
DAHID BK.,7.9120129870129645,198.85579967689807,14.44777049180328,471.97574750830614,0.32620967741935525,3.5674086378737577
DAHID KH.,7.975720164609046,190.44728395061725,14.123703703703706,510.74570247933855,0.2637860082304526,2.9902049180327874
DALSAWANGI,7.432468354430378,212.42011976047897,15.030783132530113,408.3728969696969,0.3604907975460124,3.2695209580838323
DASALWADI,7.883177570093462,186.6222242990654,15.0218691588785,457.33831775700935,0.2871962616822431,3.986915887850467
DATTAPUR,7.5201742160278835,265.68265665551894,13.15288132890366,352.5854666666665,0.3895791245791245,0.5664772727272728
DEEPUR,7.796747967479671,342.3170731707317,13.390406504065044,403.91715447154473,0.4889344262295093,2.987154471544716
DEULGHAT,7.392014925373138,199.71320143884887,14.69974910394266,481.06821428571413,0.3853214285714287,3.8310869565217383
DEVHARI,7.752888888888888,320.7748888888889,13.908444444444445,524.1900000000003,0.6927272727272726,2.1502222222222227
DEVPUR,7.435714285714287,287.584435483871,13.735476190476177,412.149365079365,0.5331355932203388,3.8633333333333337
DHAD,7.979223852342598,213.47868924085319,13.236409765437934,491.5212665379027,0.31375423265974817,4.955552131484332
DHAMANGAON,7.544556451612901,212.06668016194342,15.613562753036444,444.54914979757086,0.40161290322580667,4.409230769230772
DHANGARPUR,7.626923076923077,335.1923076923077,20.073076923076922,333.82692307692315,0.4792307692307693,4.124615384615385
DOMRUL,7.7626470588235295,375.50819444444426,9.147014925373137,442.56458333333353,0.5279027777777779,7.62304347826087
DONGAR KHANDALA,7.914603174603178,227.1295767195769,12.014962962962956,461.45111111111123,0.5471269841269845,2.9942553191489334
DUDHA,7.566048387096772,310.46693548387105,17.867723577235783,446.6774796747968,0.4349193548387093,4.6597520661157015
GHATNANDRA,6.978260869565219,275.67072463768113,10.342285714285717,984.6308571428572,0.5729999999999998,5.816086956521741
GIRDA,7.910294117647059,260.44206578431374,13.943229313725489,453.34881960784315,0.41298039215686255,2.8141176470588243
GONDHANKHED,7.415968749999991,335.55479433021804,12.86119725856699,419.9905448717951,0.5112305295950156,2.57582456140351
GUMMI,7.747109826589585,343.3266666666661,15.980401146131792,638.8201436781608,0.5271181556195961,4.611194968553458
HANWATKHED,7.594193548387095,338.2517719354839,6.844145806451612,366.04064516129023,0.4975806451612904,2.6243548387096785
HATEDI BK.,7.514677419354844,172.37989010988994,11.137351351351352,436.09740540540497,0.2822365591397851,3.1770324324324304
HATEDI KH.,7.494102564102564,215.5743478260869,14.470109890109887,473.3584782608695,0.41478260869565214,2.5102173913043475
IJALAPUR,7.885714285714282,161.88942528735632,17.554524714828883,412.54015748031486,0.24831372549019626,4.567777777777779
IRALA,7.970853080568707,178.02980997624698,14.1206937799043,560.6405867970655,0.2717102137767223,3.5990047393364955
ISLAMPUR,7.165217391304347,311.8761538461539,11.124615384615383,920.6942307692308,0.5765384615384617,10.37192307692308
ISMAILPUR,7.779651162790703,358.61540576923124,12.639659780219786,461.00829268292665,0.5123076923076915,1.2857142857142834
JAMATHI,7.731721854304638,301.43188311688306,14.810974025974007,437.4363513513512,0.4707189542483661,4.7191970802919725
JAMB,7.950632911392401,153.20326567357515,9.241434885496187,472.08629670886063,0.2586986040609143,4.47156962025316
JAMBHARUN,7.579444444444449,307.15615740740736,10.92769251184834,469.8312279069764,0.4631250000000003,2.1893953488372087
JANUNA,8.202249134948095,225.4802260869565,15.088705673758884,454.76035273368586,0.3531937172774873,2.750300751879701
KARDI,7.784303797468356,344.90506329113924,11.159189873417713,364.2350632911393,0.4927848101265826,3.8343055555555554
KESAPUR,7.5535309278350535,172.38204120879104,13.645057291666662,430.9912273333332,0.30523711340206194,4.446489473684212
KHERDI,7.787688679245283,300.16279793103445,13.507317586206925,472.75436681222624,0.4345454545454551,1.1559433962264165
KHUPGAON,7.681578947368424,295.2184038216558,14.352451884984035,421.88404458598717,0.4404728434504789,1.0480136986301376
KOLWAD,7.650292942743013,290.08289299867903,11.032427983539133,418.8504779411792,0.4151783355350057,0.9120291777188329
KULAMKHED,7.6238028169014145,355.6690241314556,17.018605070422545,338.21394366197177,0.5080985915492953,1.4444600938967125
KUMBHEFAL,7.387128205128188,335.21827666666604,14.678344511784609,533.2576006711403,0.4850275229357791,1.3007661290322567
MADH,7.371604938271604,340.3972839506172,11.233443983402477,473.8735269709543,0.5515163934426236,4.5696694214876015
MALVIHIR,7.684146341463411,309.782743902439,13.987439024390225,384.9210828025477,0.5064024390243903,3.1939473684210515
MALWANDI,7.422721893491121,194.7532163742692,16.18450292397662,350.4498148148146,0.3857471264367817,3.421345029239766
MASRUL,7.583495934959352,333.55054347826086,14.086978021978036,648.0594850948514,0.4879781420765014,6.4102339181286565
MATALA,7.763052631578947,311.8654450261785,10.053717277486909,496.1152659574466,0.4583157894736844,3.95941489361702
MELKHED,7.879666666666666,327.25,18.027666666666672,398.04833333333335,0.4679999999999999,3.8930000000000002
MERKHED,7.145833333333331,269.4670967741935,10.626774193548382,256.17928571428564,0.5409090909090909,2.6914814814814814
MHASLA BK.,7.785588235294116,265.0735294117647,15.386060606060605,422.7230392156862,0.379607843137255,4.034900000000002
MHASLA KH.,7.737380952380952,326.68476190476207,15.773650793650775,508.7630952380954,0.48728,3.0720634920634944
MOHOJ,7.4432283464566895,224.85187500000006,13.010305343511437,281.0753435114505,0.4424732824427479,2.8031007751937986
MONDHALA,7.833248120300754,271.1136363636364,15.329687499999993,409.356875,0.4646969696969697,6.272121212121215
NANDRAGHAT,7.710178571428571,329.0625,18.718392857142845,368.92599999999993,0.4703571428571426,3.5612765957446806
NANDRAKOLI,7.403040382571727,345.5821440963852,14.20601991951704,487.5967437185936,0.509615694164991,1.5734787472035785
PADLI,7.902322580645159,138.491961414791,15.913533333333339,471.6404248366011,0.1978456591639869,4.918713826366559
PALASKHED BHAT,7.833012048192767,226.32917695473301,10.743433734939757,512.8205622489959,0.3561538461538462,2.348733031674206
PALASKHED NAGO,8.116874999999997,182.6756100414937,12.415357304347811,539.8976949152549,0.27237447698744793,3.7999581589958082
PALASKHED NAIK,7.814183976261115,145.2042115315315,15.314177655786368,495.7727810089022,0.22200750750750764,4.298872403560827
PALDHAG,7.791,266.34000000000003,14.130357142857136,597.1496666666667,0.4040740740740741,2.2972413793103454
PANGARKHED,8.005217391304344,166.9959390862944,15.07017777777778,475.8129729729731,0.2891262135922332,6.377229437229443
PANGRI PR.DEULGHAT,7.653895582329309,283.23267441860463,15.496627906976745,550.7350579150578,0.4553281853281855,4.681619433198379
PIMPALGAON SARAI,7.81427329192546,328.14504651162787,15.810065868263473,433.2225465838511,0.4683604651162791,3.3113690476190447
PIMPARKHED,7.83067415730337,285.792137191011,6.794727356321845,391.2732558139537,0.4276966292134831,1.6375581395348846
POKHARI,7.651607142857144,339.5318181818181,13.261578947368418,414.19842105263166,0.5127450980392156,2.5471929824561395
RAIPUR,7.545256521739137,233.77519164265132,15.05851014492754,496.31576080691696,0.4049347826086956,4.254624813153956
RUIKHED,7.506518218623484,248.47259259259246,14.105296296296293,343.1428295454547,0.4334444444444449,3.509398496240603
RUIKHED TEKADE,7.527450980392156,283.6124000000001,15.418627450980392,595.7874509803919,0.413529411764706,0.7338
SAGWAN,7.567808219178081,212.52095454545463,14.876359447004615,358.1257075471698,0.4085045454545452,3.3228082191780817
SAKHALI BK.,7.2986033519552995,235.18599455040868,13.538559782608692,562.2025966850824,0.41300813008130105,3.615504087193461
SAKHALI KH.,7.750111731843573,357.5279329608938,12.41910112359551,353.94547619047614,0.5103910614525137,3.434265734265733
SAO,7.645486725663722,304.977033898305,15.386440677966087,416.3638461538462,0.4510434782608694,9.973983050847462
SATGAON MAHSALA,7.562415458937196,298.6483253588517,12.29401913875597,685.8367464114835,0.514306220095694,3.5046376811594238
SAWALA,7.703134328358211,342.2147761194031,15.59985074626866,470.1425757575757,0.5142424242424242,3.102537313432836
SAWALI,7.85004424778761,265.49119123893803,10.52130358744395,503.9810849557522,0.4200953539823008,3.066981220657277
SHEKAPUR,7.669587628865976,371.8464210526316,15.741752577319591,622.4897916666666,0.5074226804123712,8.382061855670106
SHINDKHED,7.6621985815602836,251.0739743589746,11.055159235668798,500.7667096774192,0.3868181818181815,3.7352229299363047
SHIRPUR,7.501595744680848,283.390070671378,15.942253521126759,544.4505263157895,0.44081272084805656,3.977188612099642
SOYAGAON,7.682727272727272,309.8298181818181,15.094727272727273,315.64830188679235,0.5081481481481481,3.2341818181818174
SUNDAR KHED (CT),7.625151515151514,322.8307664705883,12.486246274509805,476.3739999999999,0.4875490196078432,1.039591836734694
TAKLI,7.477039274924477,308.32783832853,15.144698850574748,461.4794438040348,0.4457748538011693,1.5274117647058856
TANDULWADI,7.5814969135802315,339.58960825617186,15.448800864197539,366.51675453047835,0.4886111111111121,1.413103448275865
TARADKHED,7.742342342342347,363.4882882882882,13.387207207207195,545.0304504504504,0.5971296296296299,6.259818181818181
TARAPUR,7.574303797468352,171.48784810126585,17.482051282051284,307.9291139240506,0.35316455696202537,3.253291139240507
THAGARPUR,7.941538461538461,200.7030769230769,8.858461538461539,635.8923076923078,0.32076923076923075,2.383846153846154
UMALA,7.7153333333333345,403.4735964912284,11.145254237288126,423.43302521008417,0.5599999999999999,2.34352380952381
UMARKHED,7.681304347826107,366.455175772358,14.334924378378355,384.0184408602154,0.5314402173913046,0.9718397626112758
WARUD,7.4389552238805985,301.5419402985075,15.219117647058829,613.7794029850744,0.5185294117647059,2.9707462686567165
