Village,pH,N,P,K,OC,Fe
BAMHANI,6.798181818181818,209.18035714285716,14.113035714285715,294.962962962963,0.2989285714285715,4.281851851851851
DAHELI,7.435,263.2034883720929,18.74708,323.23200000000014,0.3764186046511627,3.3968
DUDHOLI,7.452307692307693,264.49224000000004,16.63908,328.2192307692307,0.37828,3.9411538461538473
KEM RITH,6.765217391304349,231.56206896551723,15.864827586206895,298.8620689655172,0.33427586206896553,3.9489655172413793
KEM TUKUM,6.796551724137932,231.1359285714286,14.952120689655171,274.93461538461537,0.3303778571428571,3.2917241379310354
KORTI TUKUM,6.817857142857143,213.57142857142856,14.38555555555556,290.75,0.29582142857142857,3.7060714285714287
KOTHARI,6.908333333333334,237.9615,13.071725833333335,273.44181818181823,0.33994499999999994,3.0955833333333334
LAWARI,7.175000000000002,234.59166666666667,15.238749999999998,305.1666666666667,0.3315416666666667,4.047826086956522
MANORA,6.955725190839693,240.81402661596994,13.87339821292774,255.62543726235668,0.3440200380228134,4.04938461538461
MOHALI TUKUM,6.854545454545455,213.82800000000003,15.056627272727274,281.8731818181819,0.30546857142857137,4.382
NIMGATA CHAK,6.848275862068967,216.0635714285714,14.259110714285715,317.86758620689653,0.3082642857142857,4.08655172413793
ADYAL MENDHA,7.609024390243902,486.03999999999985,142.01875000000004,786.9946153846154,0.6567804878048779,1.7828571428571425
AKAPUR,7.4160975609756115,325.287243902439,16.949902439024385,324.3036666666668,0.4650000000000002,3.819487179487181
ALEWAHI,7.444285714285713,345.3208545454545,40.19407999999999,773.1848727272728,0.4933154545454546,1.909
BALAPUR BK,7.6168493150684915,310.5985300000002,34.889600512820515,478.7120897435898,0.4438473076923079,2.9117792207792204
BALAPUR KH.,6.914324324324324,281.22429333333343,41.18341526785713,761.4439535714287,0.3957843809523811,2.1648913043478264
BALAPUR TUKUM,6.959024390243902,228.2735918750001,30.85969123456789,607.3372195121948,0.3221603703703705,2.2147317073170734
BANVAHI MAL,7.376470588235295,265.409411764706,18.819933333333328,320.5768750000001,0.3795882352941177,3.3629411764705885
BANWAHI CHAK,7.084358974358972,223.76338608695642,47.08780438356165,871.2962461538461,0.31726942028985505,1.36748717948718
BHIKESHWAR,7.2956818181818175,347.0071136363636,18.49906818181818,364.95829268292687,0.4957727272727274,7.393636363636363
BIKLI,7.4805309734513274,397.5647940707964,37.582481769911496,495.2779243243243,0.5687621428571425,4.23862831858407
BOND,7.727368421052631,468.1114547368421,52.605397894736825,621.3665684210526,0.668731052631579,2.3603157894736846
BOTHALI,7.492089552238808,428.07546164179115,35.762496716417914,497.86941249999984,0.6128159701492538,5.2255820895522405
CHARGAON CHAK,7.366363636363633,434.3116992708335,45.28437768421052,682.9583791666664,0.6204819791666668,0.8370319148936171
CHICHALA,6.7934285714285725,176.6062412857143,46.92141406249999,803.7580800000003,0.25560042857142856,1.692861538461538
CHIKHAL PARSODI,7.530517241379311,368.300117368421,41.691708448275854,731.3978482758623,0.5261436842105263,1.9688103448275858
CHIKHALGAON,7.613148148148151,386.67756000000014,50.882782222222225,584.6599111111112,0.5523964814814816,4.559203703703703
CHIKMARA,7.4186885245901655,265.7094918032786,20.33067213114754,322.4927931034482,0.3798032786885248,3.1327868852459018
CHINCHOLI KH,6.669622641509432,197.62467305084758,49.28647950000002,534.1525333333335,0.28138847457627125,1.7919999999999998
CHINDHIMAL,6.7975238095238115,195.63923539682546,44.2208165079365,713.047466666667,0.28734206349206354,1.6463818181818168
DEVPAYLI,6.925735294117647,177.26660102941173,42.55613825396827,612.6446117647063,0.2436169117647059,1.5059508196721307
DEVTAK,7.2179245283018885,337.90430909090895,20.78456363636365,447.1402727272727,0.3600181818181819,3.6146296296296287
DHAMAGAON CHAK,7.53567010309278,303.0246844329897,39.89192144329897,575.4850939759035,0.4371014432989688,2.8037010309278343
DHORPA,6.940923076923076,396.3884615384615,26.156615384615392,481.6127692307692,0.5672307692307694,11.285538461538465
DONGARGAON BK,7.408676470588233,287.2569752713182,17.96530082644629,328.7458174757283,0.4126526356589148,4.517053846153846
DONGARGAON KH,7.270833333333332,350.45833333333326,16.886559999999996,538.9720000000002,0.5037499999999999,9.742
DORLI,7.126440677966103,243.9433374074073,36.59081016949154,446.9347481481482,0.35215777777777785,2.858796610169492
GAIMUKH,7.5172727272727276,366.2988814285714,47.144687857142856,685.824,0.5232842857142856,2.3989285714285717
GANGASAGAR HETI,7.4795,310.56525000000005,16.68145,329.0785882352941,0.44395,4.0815
GOVINDPUR,7.801449275362318,330.0359017391307,39.029565217391294,552.5865739130435,0.4714800000000001,0.6436229508196722
GOWARPETH,6.672323943661972,162.0120915492959,33.12321485074629,539.6538535211263,0.2264690845070424,2.621901408450703
