Village,pH,N,P,K,OC,Fe
AJANG,7.8439999999999985,176.89361702127658,20.6884,372.25531914893617,0.4830612244897959,5.8558
AJNALE,7.5593548387096785,190.8469696969696,12.99878787878788,509.8303030303029,0.4557575757575758,4.033333333333333
AKLAD,7.658038277511963,306.72045576923057,19.293979282296636,395.7006763285025,0.4816911165048541,6.731483253588518
AMDAD,7.8610810810810765,206.28492753623192,17.97662162162162,407.23714285714277,0.4667567567567567,5.912972972972973
ANAKWADI,7.56,200.4626923076924,13.604230769230762,709.0461538461539,0.5019230769230771,4.213461538461538
ANCHADE,7.436749999999997,160.8764999999999,13.25925,650.3180000000002,0.3435,2.03625
ANCHADE TANDA,7.8882352941176475,186.29411764705884,19.233529411764707,392.3125,0.4958823529411766,5.895882352941178
ARNI,7.908638743455503,266.1488775510204,20.68403061224489,369.4609375,0.4773469387755102,5.28051020408163
ARVI,7.547963636363628,318.17312940109014,19.79881656987296,430.09793172690667,0.5042782545454527,7.234261343012704
AWADHAN (CT),7.644374999999998,191.6082978723404,10.356916666666667,657.5510416666667,0.5104255319148937,4.0299999999999985
BABHULWADI,7.834736842105263,200.27543859649123,20.22526315789473,424.5527272727273,0.4443859649122807,6.272857142857142
BABRE,7.832758620689652,174.57627118644066,16.054576271186445,420.19298245614027,0.4569661016949153,5.9454237288135605
BALAPUR,7.848592233009713,228.83407766990288,23.363689320388346,347.73465346534636,0.4395145631067961,5.781650485436889
BALHANE,7.849019607843137,188.70588235294116,19.781176470588232,421.1,0.4396078431372548,5.780196078431373
BAMBURLE.PR.NER.,7.819473684210527,228.76210526315785,19.389736842105254,465.68421052631584,0.3637837837837837,3.385789473684212
BEHED,7.8089814814814815,271.670185185185,19.95962962962962,386.8313725490195,0.4513084112149535,3.955283018867924
BENDREPADA,7.588446601941749,208.81422330097104,15.669495145631062,605.5247524752476,0.4077450980392156,3.961737864077669
BHADANE,7.917268722466963,266.99066079295153,22.495704845814966,335.39910313901345,0.4704424778761058,5.2818222222222175
BHIRDAI,7.635624999999999,368.5717616071421,22.236423677130027,427.75598214285685,0.5476524999999993,8.90861607142856
BHIRDANE,7.732780269058294,324.9913677130046,23.25860239631336,454.0056950672644,0.4827002262443439,6.904484304932747
BHOKAR,7.519318181818183,199.27840909090904,13.705909090909095,694.1454545454545,0.4862727272727274,4.217954545454545
BILADI,7.983240223463667,286.99268156424574,21.095280898876368,380.67821229050276,0.40569832402234657,4.292687500000002
BODGAON,7.904,191.08,18.7572,405.66666666666674,0.488,5.8408000000000015
BORIS,7.812432432432432,286.47608108108085,21.01531531531532,346.25940886699516,0.4446396396396395,4.467702702702706
BORKUND,7.49807365439093,173.51422096317359,13.276590909090912,673.754501424502,0.4136239316239319,3.1000424929178467
BORSULE,7.750609756097558,252.76447058823533,20.722000000000012,367.4243902439025,0.4560714285714285,5.4498823529411755
BORVIHIR,7.93957746478873,246.7972142857143,21.481892857142878,354.0992592592592,0.4539855072463769,5.104397163120572
BURZAD,7.776158536585361,291.65,18.731366459627345,351.928947368421,0.4638323353293417,4.1388125
CHANDE,7.8863157894736835,215.0663636363637,20.978731343283588,372.68067226890764,0.4851492537313434,5.4446268656716414
CHAUGAON,7.6003333333333325,177.70599999999996,11.159666666666665,709.3333333333331,0.35600000000000004,4.075862068965518
CHINCHKHEDE,7.576281690140847,148.9093548387096,14.567536231884056,648.5301408450703,0.344507042253521,2.194927536231884
CHINCHWAR,7.901764705882361,242.42308673469373,21.409948979591853,337.94215938303347,0.4277948717948711,4.849196891191709
CHITOD,7.647741935483864,361.49283999999983,24.26101425806449,399.3397419354837,0.5273041935483863,7.188064516129027
DAHYANE,7.5558823529411745,211.0007462686568,14.010588235294113,635.4970588235294,0.4669117647058826,3.7819117647058813
DAPURA,7.599788732394368,354.0390140845069,20.893054577464792,461.36415492957747,0.5224097887323941,7.296549295774647
DAPURI,7.7003773584905675,240.43057692307698,15.809038461538455,529.4377358490566,0.4664150943396228,4.283584905660376
DEOBHANE,7.8821568627450675,300.51589147286825,19.545500000000036,357.9667984189724,0.4241698841698848,4.29421052631579
DEUR BK.,7.6958214285714295,244.5948928571431,17.893349999999987,495.9199999999997,0.3839784946236549,2.970321428571431
DEUR KH.,7.716610169491526,252.0906779661016,17.546752136752133,483.8277966101696,0.3921186440677965,3.0661864406779653
DHADARA,7.847619047619048,315.8254838709677,23.338709677419363,307.73333333333335,0.4538709677419356,4.807301587301588
DHADARI,7.773500000000001,136.00315789473686,62.47666666666667,296.5333333333333,0.3423809523809523,3.488095238095238
DHAMANE,7.8272,279.39677419354837,13.019999999999998,376.35,0.39187500000000014,5.025757575757577
DHAMANGAON,7.7894999999999985,252.77747126436782,20.30793103448277,366.14418604651166,0.4806896551724138,5.392413793103452
DHAMANI,7.942857142857141,301.6589795918367,19.610408163265298,340.8244897959184,0.4248979591836734,4.63063829787234
DHANDHANE,7.828070175438597,177.9298245614035,16.986666666666668,437.0178571428572,0.4607017543859651,5.426491228070176
DHANUR,7.739541984732821,254.29595419847297,19.49145038167939,458.4337404580154,0.40905343511450376,3.8928320610687024
DHODI,7.807142857142857,163.71428571428572,16.547857142857147,458.71428571428567,0.4528571428571429,5.449285714285715
DIWANMALA,7.687074829931975,365.59176744186055,19.43441095890412,439.47034013605406,0.5280367808219181,7.440816326530613
DONDWAD,7.727600000000002,200.72773584905661,43.10392156862746,320.7849056603773,0.3828846153846153,3.5243396226415085
FAGNE,7.837533333333334,215.46137254901961,21.71370129870129,362.45,0.4678666666666667,5.684407894736844
GARTAD,8.00737704918033,281.5198360655738,19.900819672131146,412.64561403508765,0.4109836065573769,2.9954999999999985
GONDUR,7.608255813953493,208.58186046511642,14.15851851851852,691.8,0.4848837209302326,4.12953488372093
GOTANE,7.597749999999994,310.39210000000014,10.660146,326.9289814814816,0.459208,6.819500000000002
HADSUNI,7.547499999999998,180.3220833333333,13.587291666666665,697.4333333333334,0.310625,1.73936170212766
HENDRUN,7.88391304347826,258.27221621621607,19.479393442622946,371.31147540983613,0.4683516483516484,5.2658251366120234
HENKALWADI,7.909531249999998,269.0177343749999,19.502343749999987,354.39842519685044,0.4622656250000002,4.156406250000002
HORPADA,7.525625000000002,151.86255319148918,13.12957446808511,645.6800000000002,0.34666666666666673,2.096458333333333
JAPI,7.998450704225348,292.963661971831,18.423103448275853,388.3830985915493,0.4122535211267607,4.102037037037039
JUNNER,7.612021857923496,351.2544710382512,21.002739523809538,444.8112716763002,0.5402698360655734,7.688469945355196
JUNWANE,7.803098591549295,226.58915492957726,17.734507042253522,523.7718309859155,0.3594366197183101,2.9020422535211274
KALKHEDA,8.06337662337662,132.34649350649352,63.75272727272727,331.6173913043478,0.3409090909090909,2.6374358974358967
KAPADNE,7.798360655737706,288.99976973684187,21.254277227722774,371.3673021582736,0.4699009900990096,4.26327
KASVIHIR,7.643913043478262,201.79434782608692,12.384347826086955,723.6727272727272,0.4584782608695654,4.118260869565218
KAUTHAL,7.887568181818177,272.52334831460684,19.352386363636374,380.9190804597702,0.4959302325581396,5.033067415730338
KAWATHI,7.782323943661972,131.97836879432614,62.19888888888888,430.811111111111,0.3443055555555558,1.9893661971830987
KHANDLAI KH.,7.778021978021977,188.06065934065919,13.800157303370788,178.23010989010982,0.7056043956043956,3.4093406593406588
KHANDLAY BK--,7.754210526315797,231.74381578947356,18.797381578947363,429.18864864864855,0.3937323943661973,3.4037500000000045
KHEDE,7.861651006711392,297.3000898203593,21.96315476190481,354.65875370919883,0.4186946107784431,4.5267445482865964
KHORDAD,7.81326923076923,264.78431372549016,19.980188679245288,466.8846153846154,0.37769230769230777,4.10820512820513
KULTHE,7.872159624413142,251.93180094786732,16.79710900473933,511.90080188679235,0.46235849056603795,4.109311320754718
KUNDANE (VELHANE),8.26125,286.2309090909091,21.81090909090909,330.4,0.4236363636363636,3.4554545454545447
KUNDANE-WAR,7.609830917874392,280.7897371980677,22.69523467171718,409.65950124688254,0.4613041813602014,7.112621359223307
KUSUMBA,7.767395833333337,253.83363888888888,15.860070624999993,379.4155319148936,0.4654904166666667,6.047916666666668
LALING,7.596212121212122,196.7124242424243,13.085,659.1024615384615,0.4732878787878789,3.9256923076923056
LAMKANI,7.609956331877732,292.78378794759817,19.773907379912668,431.6234934497815,0.4792265720524018,7.020087336244532
LOHGAD,7.814400000000001,271.0327868852459,24.58483870967741,393.5633802816901,0.3724347826086956,4.265070422535209
LONKHEDI,7.8269999999999955,179.55,16.453400000000002,417.57291666666674,0.4566,5.872799999999999
LONKUTE,8.277391304347827,303.78347826086963,21.36913043478261,326.7478260869565,0.43782608695652175,3.5900000000000003
MALANE,7.78888888888889,186.66666666666663,16.703888888888887,420.5555555555555,0.4429411764705882,6.0355555555555584
MANDAL,7.5838285714285805,156.25993377483422,14.41666666666666,613.4998857142855,0.35280487804878025,2.3655232558139545
MEHERGAON,7.529673469387753,284.93607622950816,19.437796721311454,438.350022421525,0.4507998550724656,6.66219262295082
MOGHAN,7.873571428571433,216.1517857142857,21.693176470588234,373.8361445783132,0.4948823529411762,5.03829411764706
MOHADI PR.DANGARI,7.842826855123677,250.92436619718305,20.082226148409898,364.1664285714286,0.4560498220640568,5.487535211267611
MORANE PR. LALING,7.662658227848098,246.15162499999988,18.658999999999992,498.8595,0.41837499999999983,3.6315
MORANE PR.NER,7.628523809523818,318.80508737864034,23.707466621983894,443.5845365853662,0.469673285714285,7.156235011990415
MORDAD,7.907319587628863,242.8143298969072,20.11845360824742,343.6189473684211,0.4668041237113403,4.95659793814433
MORDAD TANDA,7.802499999999998,175.553,17.177250000000004,438.4871794871795,0.45375,5.6485
MORSHEVADI,7.827999999999998,177.26666666666668,17.06893333333334,451.70666666666665,0.4375999999999999,5.459999999999997
MUKATI,7.834818652849744,179.57425641025642,17.044082051282047,421.6455026455026,0.4555897435897437,5.892564102564102
NAGAON BK.,7.629435483870969,211.72955284552845,14.109754098360643,509.02137903225787,0.44096774193548405,4.583306451612904
NAGAON KH.,8.038431372549022,321.2248039215685,22.079708737864074,314.252427184466,0.4619607843137257,4.052549019607844
NAKANE,7.901594202898551,247.1331884057972,19.924558823529406,513.3376811594201,0.40231884057971,3.443623188405797
NANDALE BK.,7.871744186046512,137.28976190476192,50.12454545454545,428.525,0.34091954022988513,2.1724999999999985
NANDALE KH.,7.799999999999999,186.77818181818185,17.440434782608694,426.29173913043473,0.46,6.084347826086956
NANDANE,7.820134228187918,175.05263157894737,16.757697368421052,436.66666666666674,0.4576973684210526,5.626052631578945
NANDRE,7.759647302904563,293.80674273858926,21.6040538983051,433.63112554112604,0.43769599156118105,5.689792531120333
NANE,8.154499999999999,118.31999999999996,53.273411764705884,400.6361445783133,0.33764705882352936,3.129529411764705
NARVHAL,7.8092592592592585,198.27272727272728,22.036545454545454,376.52,0.4941818181818182,5.939999999999999
NAVAKOTHARE,7.649740259740262,302.9596118421052,15.953851168831171,373.7316666666668,0.4726690789473687,5.975263157894736
NAVLANE,7.941635220125785,220.93245283018862,19.186415094339626,392.80125786163524,0.4530188679245283,5.4011320754717005
NAWALNAGAR,7.804375,184.1266666666667,17.638484848484847,423.32903225806456,0.4412121212121213,6.020303030303029
NAWRA,7.7240833333333345,253.51175000000003,22.048370338983048,416.64775,0.4755999999999999,6.935666666666667
NAWRI,7.520220994475133,326.36600883977906,21.92772474576273,464.2864204545456,0.4830069060773474,6.771491712707179
NER,7.538245033112579,181.2051485148515,13.644224422442253,702.7907590759078,0.30745033112582715,1.8703767123287676
NIKUMBHE,7.97701149425287,255.81155172413787,19.248908045977014,374.9988372093023,0.4667816091954024,5.222528735632183
NIMDALE,7.6735664335664335,285.18732237762225,22.949669857142855,408.8177272727274,0.458383886925795,7.008251748251747
NIMGUL,7.704499999999999,273.55193252361755,22.615792640000013,439.1705970149262,0.4647143783783799,6.235223577235769
NIMKHEDI,7.901458333333334,263.77125,21.136304347826083,359.58333333333326,0.4908333333333335,4.807499999999999
NYAHALOD,7.900986547085204,241.12501118568198,27.777378048780466,348.5173000000001,0.3981838565022447,3.3729977628635384
PADALDE,7.597894736842106,194.7366216216217,15.139210526315782,590.4105263157896,0.4871052631578949,4.5705921052631595
PIMPARKHEDE,7.636137931034474,318.3964482758625,20.63712529616727,418.94968965517273,0.491174355400697,7.949620689655171
PIMPRI,7.722452830188682,348.99913080568746,21.906170331753554,419.43811320754725,0.5354710377358491,7.586113744075832
PURMEPADA,7.726734693877548,244.42306122448966,25.508131868131862,478.6270408163266,0.3867346938775512,2.8444285714285713
RAMI,7.929329268292687,267.25573170731707,18.69101219512196,377.7805921052631,0.4325766871165643,3.049079754601227
RANMALA,7.8199999999999985,177.6,17.44333333333334,422.6744186046512,0.4711111111111112,5.554666666666666
RAVER,7.6409187279151904,308.98975971731437,10.743838764044952,335.7507500000003,0.4758270671378088,6.302367491166072
SADGAON,7.8351351351351335,173.2,14.874400000000005,408.24657534246575,0.4389333333333335,5.842933333333333
SAITALE,7.961408450704224,221.4566197183099,19.722394366197182,394.55223880597015,0.4322857142857144,4.77718309859155
SARVAD,7.823595505617974,176.82022471910113,16.936292134831454,435.6818181818182,0.4482022471910111,5.502808988764044
SATARNE,7.810588235294117,182.58823529411762,16.939464285714287,440.50602409638566,0.4491764705882354,5.795529411764705
SAUNDANE,7.9251748251748255,238.0363636363636,19.852587412587408,378.9482733812949,0.4423776223776224,5.5887412587412575
SAVALI,7.496341463414633,147.16219512195116,13.83,717.6195121951221,0.34097560975609764,2.0482926829268293
SAWALDE,7.634047619047619,189.00255813953484,14.653697674418604,683.9837209302326,0.3243902439024391,1.918571428571428
SAWALI TANDA,7.726056338028179,363.3912533333335,21.974590035714268,377.8386524822689,0.5445943859649119,7.42474647887324
SAYANE,7.806820809248543,265.7730061349693,19.259473684210512,469.18292682926835,0.3686549707602342,4.109444444444449
SHIRDANE  PR.NER,7.907323420074356,261.7875555555554,21.331851851851862,331.41435483870964,0.3912962962962962,3.919851851851852
SHIRDHANE PR.DANGARI,7.7975609756097555,176.48780487804882,16.492926829268292,418.46153846153845,0.4626829268292682,5.913658536585367
SHIRUD,7.657717842323646,291.4795255878286,20.563318616874078,434.4067454798336,0.4776265096952914,7.309042876901803
SITANE,8.144925373134331,136.92055555555555,58.58272727272728,458.2794520547946,0.34813333333333324,2.296103896103896
SONEWADI,7.525714285714287,186.90499999999992,13.14627906976744,678.9440000000002,0.30000000000000004,1.8099999999999996
SONGIR,8.065777777777777,292.20601449275364,20.72149253731343,308.6185074626865,0.4181428571428572,1.9467164179104484
SUKAWAD PR. DANGARI,7.591419354838709,376.8299763870968,21.49972711974112,440.8036774193551,0.5589192880258896,7.8174516129032305
SUTARE PADA,7.625767441860456,344.35003990683236,19.834648593750032,393.16161741835134,0.5204070652173916,7.879564541213057
TAMASWADI,7.698933333333324,248.02854304635773,22.607086092715225,487.3371523178808,0.3872941176470587,3.716225165562915
TARWADE,7.635287356321838,310.5831641379306,27.149083880208334,378.44241050119314,0.481523586206898,6.675333333333329
TIKHI,7.621653027823254,305.3001692307696,22.388597582781454,423.5123567921448,0.4729212643678165,7.601773399014764
TISGAON,7.9578947368421,226.50460526315788,19.915263157894746,391.80800000000005,0.4552631578947369,5.254223684210528
UBHAND,7.613017751479293,300.516148502994,21.63896913043478,425.7798224852073,0.4844223076923076,7.3384615384615435
UDANE,7.827906976744183,176.94252873563218,17.209885057471272,420.75949367088606,0.4617241379310343,6.1339080459770114
VADJAI,7.796078431372548,240.11352941176472,18.776078431372536,382.80000000000007,0.4611764705882354,5.160399999999999
VAJIRKHEDE,7.861199999999998,202.2028,20.703199999999995,406.22608695652184,0.4427999999999999,5.4764
VANI BK,7.841379310344831,177.44736842105263,16.76184210526316,423.0263157894737,0.4468421052631579,6.051052631578948
VANI KH,7.796296296296298,178.77777777777774,16.53037037037037,429.11111111111114,0.4529629629629629,5.905185185185187
VARKHEDE,7.867318840579709,249.7592857142856,19.65385714285713,377.2144927536232,0.4635971223021584,4.914714285714286
VELHANE,7.76544615384616,249.9323076923077,18.675790769230773,497.2984615384616,0.3788364197530852,3.3005538461538464
VINCHUR,7.555089285714282,278.679120982143,19.009809508928573,563.6685201793721,0.459813648648649,5.027433035714289
VISARANE,7.613333333333336,191.8264583333333,14.253333333333336,717.2666666666668,0.30812500000000004,1.7155555555555553
VISHWANATH,7.9937984496124015,248.73255813953492,19.23705426356589,353.87596899224815,0.4451937984496125,4.079922480620157
WADEL,7.8181159420289825,192.64114285714288,16.629152777777776,430.08,0.4554794520547945,5.591805555555554
WADGAON,7.644411764705873,339.3266147058823,20.129459338235346,437.6164705882352,0.4834340441176477,7.297941176470588
WADNE,8.01755319148936,110.05736842105263,44.73957446808511,341.6,0.36842105263157904,3.120000000000001
WAR,7.795748502994018,280.12475903614484,22.39186746987952,406.10443037974676,0.4294610778443109,4.19077844311377
AICHALE,7.911650943396227,279.42600000000016,33.71840952380954,360.9237019230769,0.5870613207547172,2.791933962264151
AINE,7.909101123595509,273.13550561797746,35.36561797752806,396.4663636363636,0.5782386363636365,2.9732022471910113
AKHADE,6.884925373134327,309.67164179104475,41.990298507462704,490.45970149253725,0.4423880597014925,5.606865671641791
AKKALPADA,7.249200000000001,238.65306122448982,24.7126,352.24,0.6236,2.9550000000000005
AMALI,7.7758506224066295,260.8208333333333,33.26428571428568,410.490970464135,0.36922077922077984,4.2953097345132765
AMBAPUR,8.084565217391305,208.2239130434782,33.01499999999999,362.13695652173897,0.4517391304347825,2.1602173913043474
AMKHEL,7.757894736842108,240.75531914893617,27.36180851063829,292.0694736842105,0.6194736842105263,3.5917894736842104
AMODE,7.971694915254226,261.6068376068376,22.775932203389818,261.85593220338984,0.5610169491525425,3.9284915254237305
ASHTANE,7.81155688622753,271.18859649122805,26.882751091703,442.07346938775515,0.3706355932203395,4.1284126984127
BABHULADE,7.736428571428572,261.4895104895105,28.333430656934308,470.3605633802816,0.4326388888888889,4.405774647887325
BAGULNAGAR,7.577049180327865,269.0238095238095,21.31344262295081,389.81739130434784,0.4235964912280703,4.001147540983607
BALSANE,7.371056338028168,245.19014084507043,24.03241134751773,344.62765957446817,0.6329929577464781,3.8761347517730496
BASAR,7.665904761904766,268.6101265822785,21.070666666666668,447.827659574468,0.37438271604938256,4.1652857142857185
BASARAWAL,6.652747252747254,208.66666666666663,23.987582417582413,344.6153846153846,0.4884444444444444,3.8584615384615373
BHADGAON (MA),8.126293706293705,292.22222222222223,29.195103448275862,408.2213888888888,0.4983448275862069,4.188226950354608
BHAMER,7.508577777777772,261.0259911894275,30.392106666666667,361.9070619469028,0.5503303964757713,2.5877092511013244
BHONGAON,7.788987341772153,293.88354430379763,31.022721518987325,366.512258064516,0.6046518987341776,2.5688607594936705
BHORTIPADA,7.083543307086612,311.1889763779528,41.68566929133858,559.0,0.5408661417322835,8.885555555555555
BODAKIKHADI,7.293333333333332,220.46190476190475,35.39666666666667,354.80000000000007,0.4824999999999999,2.544
BOPKHEL,7.608530465949809,250.93614173228343,25.55135714285716,335.1233082706766,0.5060577060931895,3.9027571428571433
BRAMHANWEL,7.978113207547157,245.31086142322098,29.24164794007493,528.9477153558049,0.3460674157303371,4.571215686274509
BURUDKHE,7.5104545454545395,301.22258064516126,27.68484848484849,434.2918032786885,0.4257936507936506,3.3213636363636376
CHARANMAL,7.140975609756098,248.48979591836732,23.89755102040816,341.0,0.6475510204081634,3.7524489795918368
CHAUPALE,7.80899315068491,264.57205882352946,18.741148648648643,446.06024844720497,0.3784615384615385,4.849136690647482
CHHADWEL (KORDE),8.330588235294117,316.2,25.635854375,362.97235294117655,0.6030588235294118,4.099117647058823
CHHADWEL (P),8.4650390625,267.3555555555555,32.31248773437501,411.20244094488197,0.3819365079365079,4.874007999999998
CHHAIL,7.809999999999987,269.15277777777777,23.754625850340126,392.5808823529412,0.3714513888888889,4.316240601503759
CHHAVADI,8.12530791788856,263.2831325301205,28.34661764705889,282.34436950146625,0.5448768328445738,3.7703647416413353
CHIKASE,7.89558282208588,273.11101694915254,27.257682926829272,391.1781954887218,0.4639024390243904,3.761728395061728
CHINCHPADA,7.458437499999996,229.75,24.587173913043472,345.2787234042553,0.56890625,3.1320833333333336
CHIPALIPADA,7.788800000000002,237.48,25.4276,309.12,0.6008000000000001,3.612000000000001
CHORWAD,7.514000000000002,214.47142857142862,28.42376811594203,330.43857142857144,0.5254285714285717,2.9385668115942023
DAHIWEL,7.638574257425747,226.97280000000003,25.70591880341892,340.09030927835056,0.5501459143968874,3.407972709551657
DANGSHIRWADE,7.858169934640517,296.95394736842104,27.02954248366018,407.55967105263153,0.4194736842105257,4.8848366013071844
DAPUR,7.144915254237287,234.84745762711862,25.975254237288123,329.5593220338983,0.5954406779661019,3.668813559322033
DAREGAON,7.772631578947365,246.64166666666668,23.75808333333332,353.26666666666665,0.5133333333333333,3.89686440677966
DARKHEL,7.444499999999998,231.61249999999995,36.084807692307685,354.8421346153846,0.4903365384615382,2.477769230769231
