Village,pH,N,P,K,OC,Fe
ABANPALLI (M),6.86590909090909,282.3068181818182,11.589327272727273,261.49954545454545,0.40329545454545457,4.028372093023257
AHERI (CT),6.224000000000001,131.95652173913044,14.943599999999998,345.24,0.47875,17.337391304347825
ALLAPALLI,7.4228571428571435,266.6326666666667,18.54825,324.2779565217392,0.3813333333333335,4.1103571428571435
AMBEZARA,6.227272727272728,273.84090909090907,12.574395,272.43642857142856,0.4218939393939394,3.43
ARENDA,6.1000000000000005,270.27067647058817,14.436814117647055,270.83624999999995,0.4037941176470589,7.608823529411764
ARKAPALLI,6.349482758620688,281.59363333333334,14.283673793103445,284.7937758620689,0.4023666666666666,2.9504999999999995
BHANGARAM PETTA (M),6.250495049504948,277.93811881188117,14.311603960396033,268.9739784946235,0.3970544554455444,8.124554455445544
BHASWAPUR,6.7958333333333325,274.96875,18.023786666666666,270.3137500000001,0.3928125000000001,8.11125
BORI,7.4423076923076925,265.9676538461539,16.719538461538466,308.61865384615385,0.3803846153846155,3.4723076923076914
BURUKMALAMPALLI,7.099999999999999,270.53125,12.068320000000002,264.9331249999999,0.3909375000000001,10.04
CHANDRA M,6.2466666666666635,186.66666666666663,12.422222222222222,288.2,0.3460975609756097,4.140222222222222
CHAUDAMPALLI,6.240000000000001,290.0,15.960696216216213,270.8504081632653,0.42200000000000015,7.3534000000000015
CHERPALLI S,6.694936708860757,299.9810126582278,12.794426329113936,268.8557534246575,0.428544303797468,7.313924050632909
CHHALLEWADA,6.558826530612242,283.8552499999996,15.65135706806283,280.88805128205144,0.4056198979591839,4.397551020408164
CHINTALPETH,6.797368421052633,310.7735978260871,16.874146341463412,293.39666216216216,0.4394482758620688,3.7387912087912087
CHIREPALLI,6.280555555555552,349.2155172413793,13.651679999999995,276.5275,0.4988793103448277,8.211249999999996
DAMRANCHA,6.195061728395066,287.02348993288587,13.848094545454561,277.97815068493173,0.4100335570469798,5.9048076923076955
DECHALI  S,7.138166666666668,271.5284339622641,20.29868627450981,317.10964,0.38854716981132104,2.781372549019608
DINACHERAPALLI,6.2285714285714295,267.4761904761905,13.523809523809526,281.3333333333333,0.4314285714285716,3.8750000000000013
GADAHERI,6.3900000000000015,251.7,13.5,269.25,0.4045,3.967499999999999
GOLAKARAJI,5.975000000000001,255.4125,11.550392,280.14944444444444,0.364875,2.535
GUDIGUDAM,6.074074074074076,254.00961538461542,12.296438518518515,276.9276923076923,0.3622115384615385,2.5630769230769226
JIMMALGATTA  S,6.801372549019606,336.7246739130434,30.628317600000003,361.5831136363636,0.4815760869565218,6.2243137254901955
JOGANGUDA,7.004347826086957,295.90909090909093,10.683923478260873,254.42521739130436,0.4227272727272727,4.617826086956521
KAMALPUR,6.3691860465116275,258.6630988372092,12.846931395348832,281.04854117647074,0.37004360465116265,2.718598726114652
KARANCHA S,5.9923076923076914,251.526625,12.6919675,285.3986250000001,0.35940625,2.8708886666666666
KATEPALLI  M,6.149159663865548,282.7994214876033,14.442203999999995,298.4844793388432,0.4039990909090912,3.5514406779661027
KERNELI  M,6.2285714285714295,276.63392857142856,11.577878518518515,265.7725,0.4211607142857143,3.2288888888888887
KHANDALA,6.07105263157895,247.0192307692308,11.160196923076922,278.4610810810811,0.3528846153846153,2.6162857142857137
KODSEPALLI  M,6.442857142857143,336.40384615384613,11.456704000000002,248.53692307692302,0.4805769230769231,7.560999999999997
KOLAPALLI  M,6.036363636363635,263.77272727272725,12.689704999999998,273.0428125,0.3768181818181817,2.450909090909092
KRISHNAPUR,6.754920634920635,274.0029310344828,19.73748721311476,283.694358490566,0.3934210526315787,3.3441935483870937
KULTHA,6.913333333333332,249.55741666666665,15.391403333333333,265.441,0.35658333333333325,7.562499999999999
LAKHANGUDA  S,6.522499999999997,259.93262500000003,13.2483525,282.5926875,0.3714375,3.800625
LANKACHEN  M,6.072727272727272,296.1875,13.780013333333335,266.89300000000003,0.4322916666666666,3.0663636363636355
LINGAMPALLI,6.033333333333334,259.0,13.740906666666667,253.3906666666666,0.37,6.902
MAHAGAON BK,6.318181818181818,245.12727272727275,14.648148148148149,274.02,0.3994545454545455,4.572181818181818
MAILARAM,7.025,316.7185454545455,14.934732727272728,260.51609090909096,0.452590909090909,6.121363636363636
MEDPALLI,6.2684444444444445,243.1652777777777,14.1380312,285.04822641509435,0.3610555555555554,6.29425925925926
METIGUDAM,5.724000000000001,378.76,13.84,279.04,0.6972,3.0728000000000013
MODUMADGU,6.909333333333333,272.16728571428575,13.918110476190474,275.425619047619,0.3889047619047618,6.347142857142857
MOSAM (S),6.133333333333334,278.9791666666667,11.64408,273.90714285714284,0.3985416666666667,2.4783333333333344
MOTUKPALLI S,6.28,247.55,14.2857344,280.91125,0.3789000000000001,3.1495833333333327
MUDEWAHI,6.13,320.5555555555556,12.994048,269.0233333333333,0.455,3.4880000000000004
MUKHANPALLI,6.471355932203388,254.12201694915248,12.992069830508473,281.5393220338983,0.3631271186440678,3.7438983050847465
NAGEPALLI M,7.3976470588235275,272.9825,19.630333333333336,317.90656249999995,0.3913294117647059,3.9031578947368417
NAINGUDAM,6.123076923076923,283.5,13.528135384615384,282.241,0.4049999999999999,5.782307692307692
NAWEGAON,7.382391304347827,258.7507073170732,28.326369565217394,351.65711111111125,0.37241463414634135,2.7731578947368423
PATTIGAON M,6.013333333333335,255.5,12.473888,272.44642857142856,0.3650000000000001,2.6213333333333337
PERKABHATI S,6.69,284.8835454545455,15.679236363636365,276.0470909090909,0.40709090909090906,6.743636363636364
PERMILI,6.907446808510637,314.75130434782614,22.79113636363636,321.12095238095236,0.476521739130435,3.4760869565217374
PUSUKPALLI,7.4620000000000015,263.1741,17.5706,323.015388888889,0.3764,3.8145
RAJARAM,6.2431985294117665,276.90283500000004,13.183659007092162,287.18812571428606,0.3955757857142855,3.1113076923076948
RAJPUR PATCH,6.7183495145631085,280.00506796116525,15.267743999999995,276.67164000000014,0.4000776699029123,5.846601941747572
RAMAYYAPETHA,7.423750000000001,267.21695833333325,19.407208333333333,324.4975833333333,0.3821666666666667,3.7058333333333326
RAMPUR CHAK,6.758512396694214,280.85593495934967,13.818297818181806,277.506081300813,0.4121910569105693,6.85821138211382
RAMPUR S,6.242857142857143,260.07142857142856,12.642857142857142,253.07142857142856,0.4064285714285715,3.9878571428571434
RASPALLI S,6.62731343283582,273.1957164179105,15.590088524590172,280.1179672131147,0.3903582089552241,7.335522388059697
RAYGATTA,6.1307692307692285,388.8076923076923,14.384615384615385,269.24,0.7600000000000002,4.2004166666666665
RENGULWAHI,6.21764705882353,284.0138888888889,13.584595555555556,276.5161111111111,0.4159722222222222,3.0129411764705885
REPANPALLI,6.563199999999998,271.6503137254902,14.015472,275.02237254901956,0.38814705882352935,3.1570588235294124
SILMPALLI,6.16875,305.11764705882354,12.218183529411766,277.66882352941184,0.4529411764705883,2.9885714285714284
SINDA M,6.605,258.34375,8.512224,268.9116666666667,0.3690625000000001,7.687083333333335
SINGAMPETH,6.6081249999999985,239.823125,16.41425,288.3405625000001,0.3757857142857143,4.79375
TALWADA,6.8618181818181805,260.5964210526316,15.0672075,271.15773684210524,0.3723947368421052,6.482631578947369
TATIGUDAM,6.34547619047619,283.21989411764724,13.38502541176471,279.34475903614447,0.40468823529411774,2.930952380952382
TIKEPALLI,7.3645454545454525,263.8497272727273,15.922,307.93490909090906,0.3773636363636364,3.0055555555555555
TIMARAM,7.044444444444447,206.76434545454543,15.454269090909092,283.04567272727274,0.2953772727272728,8.555454545454547
TODKA M,6.2129032258064525,263.9,12.693212903225806,271.66866666666664,0.3770000000000001,4.279230769230768
UMANUR M,6.118518518518517,295.1666666666667,16.306173333333334,271.14074074074074,0.4216666666666665,2.743749999999999
VYANKATRAOPETA M,7.040000000000003,351.75,9.101120000000003,276.528,0.5024999999999998,7.829500000000001
VYENKATAPUR M,6.141176470588236,288.39705882352933,15.259647058823534,262.35882352941184,0.4216176470588234,2.828999999999999
WADLA PETH,6.738666666666666,221.1032,14.570066666666666,286.7856,0.3488,3.7057142857142855
WATRA KH M,7.07,427.875,10.359216,283.717,0.6112499999999998,7.593000000000003
WELGUR M,6.165873015873017,274.72222222222223,11.976652698412694,275.18056451612915,0.3923809523809523,3.2544715447154418
WELGUR S,7.449367088607596,277.91080000000017,17.181699999999996,328.04904761904754,0.39966250000000014,3.194050632911394
YELCHIL,7.106086956521739,261.31308695652166,12.041893913043475,276.1398260869565,0.3734565217391304,6.39695652173913
YENKAPALLI,7.396222222222222,282.9649534883721,36.87964444444445,339.5862682926828,0.41175,2.8802222222222227
ANDHALI,7.390176991150445,266.19169636363654,18.12082686567165,309.03289393939394,0.3790608547008543,4.110076335877864
ANGARA,6.618913043478261,183.08250000000004,17.85223047619048,370.5067391304348,0.5594402173913046,12.648043478260874
ANJANTOLA,6.534999999999998,213.30666666666664,14.607996666666665,231.77624999999992,0.30440476190476184,6.622916666666666
ANTARGAON,7.679545454545457,350.87992452830184,16.67068538461539,325.0604041666668,0.5013396226415096,4.627368421052629
ARATTONDI,6.653360655737702,278.3298688524592,17.43880622950819,370.6652396694214,0.4997868852459016,14.582786885245902
BAMHANI,7.564166666666666,272.15502105263147,16.757918333333333,324.893256,0.3889036842105264,3.80925925925926
BANDHGAON,6.454078212290503,399.4537016574585,5.473308823529409,281.99845303867403,0.5707828729281773,6.445090909090908
BELGAON,7.43619047619048,283.6223,17.056403116883107,312.21034436090224,0.4053747916666667,4.074928571428572
BHAGAWANPUR,6.771428571428572,499.6818181818182,21.523636363636363,416.8714285714285,0.7136363636363636,38.98
BHATEGAON,7.336336633663367,265.6634418604653,20.266883925233653,313.54440697674414,0.3799302325581397,3.4716190476190474
BORTOLA,7.390833333333336,266.4956965517241,20.299613793103443,327.70427586206887,0.3807041379310341,3.0286206896551717
CHANDAGAD,7.325726495726498,269.632911504425,15.527360000000005,288.00459495798316,0.3862405309734512,5.493428571428574
CHANDONA,7.432481203007519,279.12438208955217,17.118802601626026,310.4167551999998,0.4012441481481481,4.092605042016807
CHARBHATTI,7.385619047619049,261.8305557894737,16.395184390243898,321.63886956521765,0.3731096842105262,4.003589743589743
CHARVIDAND,6.4,206.5,14.633173333333332,276.86000000000007,0.295,3.120000000000001
CHICHEWADA,6.543805309734513,266.8744285714288,17.793461818181818,355.1148432432427,0.4445286885245899,3.4245999999999994
CHICHTOLA,7.4792682926829315,270.81046349206366,16.866293000000006,317.4793209302324,0.4503059574468085,3.7342424242424257
CHIKHALDHOKADA,7.598181818181812,308.0887844155841,19.18220303797469,328.4281323529412,0.44031272727272736,4.482031250000004
CHIKHALI,7.536370967741934,262.41520000000014,20.497918350515466,315.90880761904754,0.3752034146341462,3.2399122807017533
CHINEGAON,7.135000000000002,528.325,16.102017999999994,442.58049999999986,0.7637500000000002,34.249500000000005
CHIPARI,6.852727272727277,267.81884810126576,16.395476666666674,302.6415191919192,0.3813895180722892,3.8548979591836736
CHIRCHADI,7.003984962406013,307.89120606060607,13.864900751879695,297.9392160000002,0.44273431818181785,4.603739130434779
DADAPUR,7.441874999999999,300.46062083333334,16.08184270833333,263.87429999999995,0.4393568749999999,5.683111111111113
DALLI,7.073999999999997,245.31866666666667,16.773600000000002,290.26,0.3636666666666668,5.5489655172413785
DAMESHWAR,7.705833333333333,349.16666666666674,137.26416666666668,424.38818181818186,0.5008333333333334,1.715
DEULGAON,7.1383606557377055,226.1746847826088,18.16964666666666,374.9533628318584,0.5221869918699183,11.638861788617893
DHAMADITOLA,7.336842105263157,264.457909090909,16.48439111111111,279.9179365079364,0.37769090909090897,5.286666666666665
DHANORI,7.386956521739125,263.04027654321004,18.236658749999997,321.42015189873433,0.3759266666666667,3.847023809523812
DONGARGAON,7.505081967213111,350.23823606557363,15.11307147540984,321.24980714285726,0.5004098360655739,4.30701754385965
FARI,7.599374999999998,401.851875,137.558125,387.55699999999996,0.5687499999999999,1.80625
GANGOLI,5.8500000000000005,225.75,13.354257777777779,319.56999999999994,0.3225,2.989090909090909
GARGADA,7.506981132075473,301.26801509433983,16.015044799999995,319.76658039215704,0.43050075471698135,4.023962264150945
GEWARDHA,6.997786764705889,289.1622388059701,15.433495145631053,334.41682170542646,0.41879699248120256,4.396105263157889
GHATI,6.75,280.35,13.517840000000005,282.8455,0.4005,2.9799999999999995
GOTHANGAON,7.358709677419356,268.5173968586388,15.944260102564106,329.3479234042555,0.3938796089385473,3.736857988165681
GURNOLI,7.323474178403758,353.13776363636373,17.512635041322287,322.3052062827227,0.5045245041322316,3.796890756302516
HATINAGAR,7.372977777777775,279.1631747474746,16.171388305084733,308.33091764705915,0.3999739698492464,3.613538461538463
HURYALDAND,6.636363636363638,282.36764705882354,17.558752941176472,353.90176470588233,0.4033823529411766,15.00941176470588
JAMBHALI,7.317950310559003,291.34450337078664,15.631171685393273,301.0786948571428,0.4161555056179777,4.004539473684214
JAMTOLA,6.892459016393442,268.03480833333333,14.63498237288135,307.4293381818182,0.38335807692307705,2.858333333333332
JANBHUR KHEDA,7.104747474747477,264.7517459459458,16.70534913580247,293.88931555555547,0.3761912676056341,3.8246428571428575
JOSHITOLA,7.556046511627907,268.67346875,15.650396000000004,324.75352121212126,0.3841746875000001,3.799487179487179
KADHOLI,6.816382113821138,266.92739734513265,18.404082276422734,324.73697674418645,0.38137495575221214,3.3295217391304366
KARADI,7.073181818181819,355.66404545454554,16.789818181818184,353.9747619047618,0.5088181818181821,17.46454545454546
KASARBODI,7.1370000000000005,418.38769230769236,17.97227692307691,376.6488636363634,0.5964835164835164,23.07533333333333
KASARI,7.508333333333333,386.41200000000015,125.00909090909092,530.5883333333334,0.4936363636363636,1.9575
KATALWADA,6.863863636363639,292.795803539823,17.840731130434808,330.8839633027523,0.4219364957264961,4.902735042735045
KATANGTOLA,7.234081632653058,263.8890199999998,18.687204166666668,318.6837818181818,0.3770352000000002,4.371111111111111
KHADKI,6.818518518518517,256.8611111111111,13.888800000000002,356.7816981132077,0.36254716981132107,9.393421052631584
KHAIRI,7.368222222222222,291.4349384615388,18.10553153846153,315.1102416666667,0.4164679807692306,4.0458163265306135
KHARMALTOLA,7.2470000000000026,391.1566666666666,56.91475866666666,377.49,0.5756666666666668,12.776999999999996
KHEDEGAON,7.418601694915237,267.2386814814818,16.03513838297875,303.4438616822431,0.3821492146596859,4.824230769230779
KHOBRAMENDHA,6.433880597014928,271.3338,15.30495866666666,312.4309588235297,0.3874554285714285,3.3718032786885237
KOSI,7.362978723404258,281.60902307692305,17.46505207547169,345.1882367346938,0.4019644230769232,3.4732500000000024
KOTALDOHA,6.522711864406783,360.4186125,14.253048749999992,286.23485625000006,0.5115371874999999,7.1841269841269915
KUMBHITOLA,6.761224489795919,248.86,14.973695999999999,272.6365853658536,0.3789999999999999,4.079999999999999
KURKHEDA (CT),6.5811320754716975,270.00471698113205,16.117893846153848,286.65458333333333,0.41353773584905656,11.515283018867926
LAWARI,6.4951648351648315,302.3841357142857,12.401144888888886,292.7092608695651,0.4441508333333332,5.722359550561794
LAXMIPUR,7.348504672897197,273.77698249999986,16.32634906542055,322.75454933333333,0.3911085,2.935609756097562
LENDHARI,7.3321917808219075,266.9124450704224,17.537773150684934,329.2396799999999,0.3813033802816903,3.3041095890410936
MALDUGI,6.516399999999999,268.2253636363637,15.055033333333334,302.172380952381,0.37333333333333335,3.978333333333334
MALEWADA,7.145527950310558,272.6081716417908,17.343034557823124,329.8647130434784,0.3894966417910443,3.910769230769231
MARARTOLA,6.595686274509807,266.5779744680852,17.877190588235297,322.89745957446814,0.3809187234042555,3.6419607843137256
MAUSHI,6.385714285714285,273.2857142857143,20.142857142857142,270.53846153846155,0.4515384615384616,5.699285714285715
MENDHA,7.1584883720930215,324.18617499999993,16.148567058823527,321.64770689655177,0.4600999999999998,5.6006172839506165
MOHAGAON,7.3725000000000085,272.45668453608255,15.843560366972456,320.26899999999995,0.3893890721649482,4.38921348314607
MOHAGAON ALIAS WAKADI,6.530434782608695,375.1847826086956,16.880413913043476,342.8747826086956,0.5359782608695651,24.756521739130424
NANHI,7.23625,254.629375,15.810464999999999,231.81923076923076,0.3640625,6.205
NAVEZARI,7.395714285714287,265.3822307692306,18.80615384615384,314.38943589743593,0.3795384615384616,2.974411764705882
NAWARGAON,6.837469879518072,267.89313698630133,15.776781686746984,302.50557108433725,0.3819505633802817,3.6630120481927717
PALAPUNDI,6.433333333333334,275.70454545454544,15.539879999999998,321.7341666666666,0.3938636363636363,12.81583333333333
PALASGAD,7.361942446043169,262.3922017857147,18.921027851851864,301.4338026666667,0.3727514876033057,4.258829268292681
PALASGAON,7.380769230769231,208.1132142857143,17.941307692307692,268.3885,0.2962142857142857,9.709285714285713
PALASGOAN,6.738461538461538,399.5384615384616,15.612307692307693,450.3846153846154,0.5707692307692308,3.0269230769230764
PITESUR,7.525405405405407,267.16116551724133,16.375876923076927,311.8774444444444,0.38587379310344827,4.836486486486487
PURADA,7.438394495412843,274.4237110091742,18.20226986899562,308.58726183574896,0.39225215596330265,4.0982608695652205
RAMGAD,6.4807971014492765,271.29651830985915,14.960055492957745,328.9720319999999,0.4191544366197185,3.3466666666666685
RANWAHI,7.6560000000000015,354.8250000000001,143.72899999999998,435.918,0.508,1.898
SADHUTOLA,7.520277777777778,288.3252000000001,16.857238823529414,325.23112903225797,0.41223030303030295,3.722647058823531
SALAI TOLA (N.V.),6.45,208.5681818181818,11.064106666666667,271.48916666666656,0.2979545454545454,3.3766666666666665
SALANGTOLA,7.429285714285712,296.444,21.03264285714285,309.55207142857137,0.4238571428571429,3.7163636363636368
SATITOLA,7.442424242424243,251.91948275862063,17.911552941176478,279.09814705882354,0.35993103448275865,5.008124999999999
SAWALKHEDA,6.546057142857144,266.3575161764705,16.53999251461988,306.35134084507035,0.3822263309352519,3.3923780487804858
SAWARGAON,6.827727272727274,277.4717846153846,17.236203870967742,330.1904516129032,0.39595184615384615,3.334935064935067
SAWATALA,7.11361111111111,279.3525,16.12185142857143,301.3040000000001,0.3994444444444445,6.042285714285714
SAYTOLA,6.889999999999999,332.15,14.288543999999995,309.564,0.4744999999999999,5.8119999999999985
SHIRPUR,6.17648148148148,245.6206896551724,16.074074074074073,271.46153846153845,0.40034482758620704,4.671724137931033
SHIVNI,6.617466666666673,264.09619518072293,18.185724123711342,327.9180815789477,0.3742631288343555,4.5066666666666615
