Village,pH,N,P,K,OC,Fe
AMGAON BK. (CT),7.4199,264.5482800000001,20.082925000000014,318.82247299363047,0.37835999999999975,3.4390445859872596
ANJORA.,6.2893333333333326,107.62701298701302,14.434499999999995,294.34025974025974,0.4998701298701298,15.193
BAGHEDA,6.675675675675678,122.62857142857143,13.959705882352937,287.6431578947369,0.4871052631578949,14.61176470588235
BAMHANI,7.40149606299213,249.53300775193782,30.87651162790697,318.90343689320383,0.3581240310077521,2.8381777777777755
BANGAON,6.5268292682926825,127.3658536585366,15.042750000000002,371.4390243902439,0.4954761904761906,28.235714285714288
BASIPAR,6.3533333333333335,128.37433333333334,16.72733333333333,394.33333333333326,0.5476666666666666,20.842666666666666
BHAJIYAPAR,6.584745762711863,124.33155172413791,16.21620689655172,426.82758620689657,0.5886440677966102,21.584655172413807
BHALITOLA,7.073529411764704,186.63701588235287,42.0477411764706,566.2150235294117,0.2731214705882353,1.4764705882352938
BHOSA,6.6503875968992245,130.90625,15.644724409448822,377.6171875,0.5365891472868216,28.716265624999977
BORKANHAR,7.436804123711346,266.4587553191492,18.99126804123711,313.5284020618556,0.38104255319148944,3.2491666666666674
CHIRCHALBANDH,6.672972972972975,127.62162162162164,16.05405405405406,349.22857142857146,0.5294594594594594,26.167027027027025
DAHEGAON,6.5151515151515165,130.74418032786886,15.909565573770491,371.76502238805983,0.5737142857142853,24.75999999999999
DHAMANGAON,7.419473684210527,265.7743888888889,17.464631578947365,312.1120526315789,0.3801111111111112,3.6968421052631584
FUKIMETA,6.614814814814812,128.9230769230769,16.45396226415095,395.83333333333326,0.5387037037037037,22.076481481481487
GHATTEMANI,7.448217821782181,264.9998685714287,20.39373267326732,313.9135077720206,0.3791149425287356,2.9103846153846162
GOSAITOLA,6.689024390243902,134.1851851851852,15.929876543209883,379.283950617284,0.5365853658536585,29.12139240506329
JAMKHARI,6.3291666666666675,133.66666666666666,15.698333333333332,352.16666666666674,0.42782608695652175,14.902499999999998
JAWARI,6.6742424242424265,123.625,16.660294117647062,344.8125,0.5692647058823529,27.614626865671635
KALIMATI,6.866560846560847,194.71867724867752,16.89520105820106,331.75152747252764,0.4491808510638302,16.761111111111095
KARANJI,6.744776119402982,130.44776119402985,16.055588235294117,350.6969696969697,0.5608823529411763,27.535820895522388
KATTIPAR,7.3987500000000015,264.36605,19.644675,328.56317948717935,0.3781,3.201578947368421
KINDGIPAR.,6.642424242424243,129.32733333333334,14.337151515151515,381.209375,0.4641818181818181,25.740645161290328
KOSAMTOLA,6.608108108108108,123.89189189189187,16.46702702702703,370.02702702702703,0.5797142857142856,20.542702702702705
MAHARITOLA,7.359545454545455,233.78197916666662,18.947458333333326,328.0328888888889,0.3814324324324325,10.553958333333336
MANEKASA,6.21864406779661,117.08474576271186,16.256379310344833,339.8135593220339,0.5303389830508475,13.763389830508478
MARARTOLA,7.452000000000001,265.3474583333333,17.685148148148148,318.80243478260866,0.3795,3.4811538461538465
MOHGAON,6.680212765957448,144.15555555555557,16.16173913043478,375.1765957446808,0.5361290322580646,14.536593406593404
NANGPURA,7.356363636363636,265.34092452830185,21.795654545454546,323.57044600000006,0.3794905660377359,3.5000000000000013
NANSARI,7.511428571428572,265.39757142857144,20.365357142857142,327.5184642857144,0.37957142857142856,3.982499999999999
