Village,pH,N,P,K,OC,Fe
AJALSONDA,7.8463636363636295,321.0535560256416,10.99939941724935,455.85642940490163,0.4611771561771548,4.746308716707017
AMDARI,8.060000000000002,194.3835616438356,12.315068493150685,607.8333333333334,0.572054794520548,4.730833333333333
ANJANWADA,7.766853932584275,310.544271496598,11.124768014184372,491.0499651567937,0.4664406779661025,4.851065637065627
ANJANWADA TANDA,7.97894736842105,193.1818181818182,12.909090909090908,536.5909090909091,0.3913636363636364,4.71090909090909
ANJANWADI,7.8093080357142775,367.5233884187085,10.783024843049297,505.3597772828517,0.5529175946547887,4.753340425531913
ANKHALI,7.834743589743589,351.45454545454544,9.620897435897431,430.83217948717925,0.5032051282051282,4.484615384615385
ASOLA TRAF AUNDHA,8.080373831775706,190.94028301886794,16.478971962616825,467.6941509433964,0.7617142857142855,1.1079999999999997
ASOLA TRAF LAKH,7.817174940898338,389.1797253571426,11.69341740350873,573.9333760186242,0.5385023041474649,4.785019277108434
ASONDA,7.748938547486046,346.05089085561434,10.379618502673802,504.4367379679149,0.4943582887700529,4.699390374331549
AUNDHA NAGNATH,7.779308357348692,331.8978605645152,11.36093213513512,522.4691129032263,0.4739247311827965,4.833241379310357
BERULA,8.045000000000002,200.05,13.1,795.925,0.4485000000000002,4.809500000000001
BHAGWA,7.596304347826091,306.3261082608693,10.160002391304342,488.3807971014492,0.4378260869565221,4.239969465648853
BHOSI,7.871702127659573,322.8541666666667,9.95875,443.0457142857143,0.4622916666666667,4.618065217391304
BORJA,7.77085635359117,302.7017388674018,10.400202900552495,465.1421546961332,0.4324309392265189,4.776798342541447
BRAMHANWADA PR.AUNDHA,7.783240418118474,353.0488504878041,10.1487431358885,502.7429616724738,0.5043554006968641,4.766279245283015
CHIMEGAON,7.7184892086330965,338.12727044943813,11.279864252873594,524.1508620689658,0.5021348314606742,4.7953413173652715
CHINCHOLI NIKOBA,7.862127659574465,339.19565217391306,10.272083333333336,425.6793478260869,0.4818510638297874,4.655044444444443
CHONDI TARF SHAHAPUR,7.875762711864407,138.08533333333338,8.162766666666665,440.88135593220335,0.32475,4.216842105263158
DAREGAON,7.775781250000001,276.6666666666667,10.104677419354848,405.5969354838708,0.3967741935483871,6.8805421875000015
DAUDGAON,8.079999999999998,185.01855932203384,13.343103448275864,485.23728813559313,0.6000000000000001,7.9637288135593245
DEVALA,7.813865300146432,287.45614808199053,10.448173990963832,493.2818541033448,0.410651537335286,4.851310397553507
DEWALA,7.852339449541278,347.07801311926653,11.913371743119285,495.0859633027516,0.4958256880733941,4.780341708542717
DHAR,7.808909090909102,351.4174547023806,10.97327327160493,489.3719047619052,0.5419642857142855,4.782723684210522
DHARKHEDA,7.846000000000004,326.61573568749964,12.789597737226298,542.1276250000002,0.46659375,4.763943749999985
DHEGAJ,7.8208333333333435,314.62667206467626,11.226248379888256,549.6678117048351,0.5336318407960188,4.774053731343277
DUGHALA,7.8658455882352944,372.96279665427556,11.865107326007333,524.3987912087911,0.4589010989010992,4.8053771551724145
DURCHUNA,8.037931034482758,468.7058823529412,13.029411764705882,784.0588235294118,0.4103030303030303,4.7282352941176455
GALANDI,7.809451697127942,330.1610163874344,11.206176631578948,511.59895561357786,0.4717931937172776,4.79013586956522
GANGALWADI,7.812109375000008,331.5585948437498,11.165478359375,444.8818400000001,0.4947265625,4.820051724137931
GAWALEWADI,7.832222222222223,341.8894736842105,9.426666666666666,450.42,0.4761111111111112,4.610764705882351
GOJEGAON,7.812733188720177,324.5801966811285,10.758213101952283,451.0717787418651,0.4334815618221248,4.705947126436771
HIWARA JATU,8.040540540540539,274.0540540540541,12.243243243243244,621.3783783783782,0.5508108108108107,4.821944444444443
HIWARKHEDA,8.088,162.00799999999995,14.444736842105264,452.1263157894737,0.608,4.278947368421052
JADGAON,8.118214285714284,199.608,14.389285714285714,316.6,0.8383928571428572,17.0804
JALALDHABA,7.763333333333333,264.2962962962963,9.887407407407407,415.5670370370372,0.3809259259259259,7.001407407407409
JALALPUR,7.842,332.84,10.166,409.26600000000013,0.4782000000000001,5.4144
JAMGAVHAN,7.9906849315068476,442.3424657534247,12.810810810810812,645.0540540540541,0.4315492957746479,4.686027397260274
JAMRAJA,7.940402010050247,317.69105326633087,9.807068994413411,472.5654271356783,0.4538442211055287,4.7952929292929385
JAWALA BAJAR,7.907094499294792,344.41389751763046,10.67959930434779,481.5808885754581,0.5391537376586734,4.762774557165856
JOD PIMPRI,8.04782608695652,494.3076923076923,13.192307692307693,431.0,0.41958333333333336,4.7592307692307685
KAKADDHABA,7.7566,306.1,12.678200000000002,421.1659999999998,0.445,4.741916666666667
KANJARA,8.133199999999999,171.86399999999998,14.903399999999998,425.15200000000016,0.4868,7.5466734693877555
KATHODA TANDA,7.802631578947367,402.8684910526316,11.449558421052627,559.4863157894737,0.5755263157894737,4.745157894736842
KELI,8.046923076923083,162.47658119658115,14.183103448275864,435.9310344827583,0.6022222222222224,2.1846551724137937
KONDASHI BK,7.808948126801157,324.9837014144278,10.868053252496441,450.6366430594904,0.4643776520509191,4.772968227424738
KONDASHI KH,7.169230769230769,346.6923076923077,13.153846153846152,268.3333333333333,0.4,5.1890909090909085
KUNDKAR PIMPRI,7.8136363636363635,321.1818181818182,10.223745454545453,392.0976363636364,0.4616363636363636,4.6156428571428565
LAKH,7.820703883495176,199.07619465667838,11.393552430471567,554.6285338345829,0.2839875156054937,4.792018324607327
LANDALA,8.121785714285716,168.00018181818174,14.061071428571427,480.06274509803916,0.6549090909090911,3.453163636363637
LAXMANNAIK TANDA,7.9678571428571425,432.6,13.290322580645164,733.0,0.4161290322580645,4.732903225806452
