Village,pH,N,P,K,OC,Fe
AMALGAON,7.584788732394367,308.69633802816907,43.590205714285716,1304.8338550724636,0.4842957746478874,1.4905714285714289
AMALNER,8.010294985250741,230.13809090909072,22.798450825958685,498.41743982352926,0.36703801169590666,6.113302325581395
AMBARE,7.9674371859296516,196.0,8.720637206703916,797.0638885106372,0.2800000000000007,8.907122673796799
AMBASAN,7.660270270270269,194.59394736842103,23.722222222222218,779.8378378378377,0.3200000000000001,1.7518421052631574
AMODE,8.203913043478261,408.72,28.96,1319.12,0.6527999999999997,0.6260000000000001
ANTURLI,7.973749999999999,341.9130434782609,26.6,715.2,0.5460869565217391,2.5552
ATALE,7.959459459459457,224.22405555555562,21.68668108108108,380.71916756756747,0.3291891891891892,6.224324324324325
BAHADARWADI,8.089473684210526,226.7823157894737,27.087094736842108,458.6859789473685,0.4105263157894737,6.73157894736842
BAMHANE,8.113893805309743,238.0,9.815797300000002,673.9770714285712,0.3399999999999999,9.25377981651377
BHILALI,7.988157894736844,263.2105263157895,46.425,1093.7179487179487,0.4207894736842106,2.592307692307692
BHORTEK,8.1835,277.8196721311475,40.3015873015873,454.1587301587302,0.4440983606557377,10.576190476190476
BILKHEDE,7.888888888888887,194.86755555555558,22.513333333333346,450.958,0.26625000000000004,5.947222222222222
BODARDE,7.942517006802727,196.0,10.879473758865236,664.4522477323418,0.2800000000000008,7.913164238410598
BOHARE,8.228269230769232,156.0,48.10344827586207,630.2403448275862,0.2496491228070176,4.17051724137931
BORGAON,7.917777777777776,326.91891891891885,84.1111111111111,763.3947368421052,0.5221351351351351,1.7821052631578949
CHAKAVE,7.869633699633689,238.0,7.194762489626562,546.4037096296296,0.340000000000002,9.041352941176477
CHAUBARI,7.755682656826561,270.4617635055347,9.797523471074381,679.7277196721303,0.3893812177121768,7.392546125461262
CHIMANPURI,7.92692307692308,234.23,19.762192000000002,347.79912,0.3149999999999999,5.383333333333334
CHOPDAI,8.140967741935482,85.88370967741933,41.088524590163935,268.4829032258065,0.6975806451612903,1.2985483870967742
DAHIWAD KH.,8.027397881996974,196.01036123348015,9.174139584055446,578.6909208655333,0.2803759297520672,7.713777027027013
DANGAR BK.,8.175426944971507,273.0,8.230273455999997,598.2652157894719,0.3899999999999941,8.733440115440095
DAPORI BK.,7.831739130434781,314.59574468085106,36.97826086956522,1140.1739130434785,0.5031914893617021,1.2340000000000002
DAPORI KH,8.06125,273.04545454545456,44.58333333333334,869.1666666666665,0.4354545454545455,3.804545454545455
DAREGAON,7.987500000000002,244.1932173913044,21.56775,481.2786727272727,0.2586250000000001,5.955000000000001
DEOGAON,8.261403508771929,192.4,29.96875,300.6349206349206,0.30769230769230776,3.30515625
DEVALI,8.426200000000001,232.5,52.28,631.32,0.3574,4.715918367346938
DHANORE,7.845833333333332,446.97222222222223,21.277777777777782,884.3714285714287,0.7147222222222221,1.007272727272727
DHAR,7.994013377926433,316.14175110367864,8.605239486166019,676.546025806451,0.4626489632107026,8.282395161290314
DHAVADE,7.307735849056604,236.33962264150944,41.849056603773576,316.9791666666667,0.3779245283018869,15.566981132075474
DHEKU BK.,7.866666666666667,211.5921904761904,24.34493170731708,421.6134285714286,0.3389285714285715,5.8048780487804885
DHEKU CHARAM,7.886741573033711,238.0,8.629336315789468,597.356167441861,0.3399999999999999,9.450469135802473
DHEKU KH.,7.895714285714287,197.4334857142856,24.261494285714303,436.7762571428572,0.3340999999999999,6.012042857142856
DHEKU SEEM.,7.825357142857144,345.25925925925924,14.5,923.0,0.5507407407407408,1.694642857142857
DHUPI,7.638888888888887,156.94117647058823,47.8125,1047.9375,0.2672222222222223,2.8852941176470583
DHURKHEDA,7.410454545454545,233.28571428571428,43.04545454545455,368.3636363636364,0.3672727272727273,2.1345454545454543
DODHAWAD,7.714893617021277,385.5869565217391,28.046511627906977,1117.0652173913043,0.6168085106382977,0.5975000000000003
EKLAHARE,7.990121951219508,281.4975781335956,9.514613728813568,669.8665358490563,0.4003404322200403,13.198290322580664
EKTAS,7.838235294117648,242.2647058823529,38.852941176470594,677.8823529411766,0.3879411764705882,1.98625
FAPORE KH.,7.915999999999999,218.16656000000003,23.665232,490.16222400000004,0.354,6.4327999999999985
GADKHAMB,7.843608017817371,196.0,9.161675255813986,671.7479085427142,0.2800000000000009,10.479362007168486
GALWADE BK.,7.657666666666667,122.30916666666668,47.842105263157904,562.6271186440679,0.20533333333333345,2.178499999999999
