Village,pH,N,P,K,OC,Fe
ALAMGAON,7.911570247933883,190.6793388429752,15.63809917355372,476.33173553718984,0.3389166666666667,2.6887603305785093
AMBAD,8.053086956521739,159.67032758620692,8.480322869955156,784.0173663793107,0.4832715517241379,3.7288614718614728
ANTARWALA AWA,7.78235294117647,188.2647058823529,13.458823529411767,390.9285714285714,0.4076470588235294,2.647058823529412
ANTARWALI SARATHI,7.849264705882349,208.77720588235297,16.151470588235288,464.77272727272725,0.4706666666666667,2.087591240875912
AWA,7.720905172413793,229.520301724138,10.745077636363632,374.67046521739167,0.5305560344827586,2.4395154185022028
BADAPUR,8.113456790123456,151.84222222222226,8.64975,645.4333333333333,0.4643750000000001,3.446049382716049
BAKSHACHIWADI,7.983333333333335,154.31707317073167,8.52554761904762,354.53071428571417,0.22147619047619052,2.679761904761905
BALEGAON,7.849152542372883,0.4040000000000001,16.033898305084747,448.4736842105263,75.23818181818181,3.1474576271186434
BANGAON,7.9207865168539335,176.4431818181818,13.989853932584266,388.05536363636367,0.295375,2.7385227272727257
BANTAKLI,8.144915254237286,161.58016949152545,8.777368421052632,672.0374576271182,0.5038983050847458,3.3349152542372886
BARASWADA,7.90175438596491,174.35000000000005,16.314035087719287,493.859649122807,0.3868947368421053,2.770175438596492
BHAGAWAN NAGAR,7.852173913043478,140.20869565217393,16.30454545454546,484.5652173913044,0.3143478260869566,2.2086956521739136
BHAMBERI,7.898333333333337,205.231,18.272916666666667,500.225,0.4558333333333332,3.180350877192982
BHANANG JALGAON,7.951063829787238,189.9408450704225,20.107857142857128,471.453237410072,0.4258450704225351,3.2093617021276617
BHARDI,8.117852760736206,162.22043209876546,8.997421383647794,658.8603067484661,0.4581595092024536,0.4779141104294479
BHATHAN KH.,8.102222222222222,155.5456363636364,9.106226415094342,761.1591254545452,0.5152727272727272,3.715272727272726
BHIWANDI BODKHA,7.8725,264.375,14.754716981132068,522.9196428571429,0.597818181818182,2.8249999999999984
BHOKARWADI,7.8529411764705905,154.71911764705885,17.858440000000005,473.9810447761194,0.36354117647058826,2.432352941176469
BORI,8.12067307692308,159.37371428571433,7.543076923076921,724.1618095238091,0.4677142857142858,3.790476190476189
CHAMBHARWADI,7.930769230769229,202.84615384615384,21.180769230769233,382.2,0.4761538461538461,2.1769230769230767
CHANDANPURI KH.,7.8671875000000036,153.41390625,18.520312500000006,458.0344827586207,0.4491666666666669,2.9328124999999994
CHIKANGAON,8.124606741573036,161.74247191011244,7.934651162790697,711.4032584269662,0.44280898876404506,3.486966292134833
CHINCHKHED,7.852542372881352,177.1959770114943,19.44,525.3508771929825,0.3986857142857141,2.604488636363639
CHURMAPURI,7.859259259259258,193.2362962962964,21.270149253731336,523.7259259259259,0.43303703703703705,3.0732283464566934
DADHEGAON,7.947619047619053,187.41714285714286,18.041065631067962,548.5566666666666,0.4397561904761903,2.186285714285713
DAHIGAVHAN KH.,7.878571428571429,0.0,8.65728,425.18,0.19594285714285714,1.4566666666666668
DAHIPURI,8.303918918918926,128.27287586206896,9.724490196078444,641.7385810810812,0.4239792207792205,2.728181818181819
DAHYALA,8.095000000000004,162.82532258064526,7.958305084745764,758.9732258064515,0.4903225806451613,3.9474193548387118
DAWARGAON,8.099148936170213,148.22387755102042,9.068125000000004,655.8832653061223,0.4604081632653061,3.8253061224489775
DESHGAVHAN,8.115357142857142,162.6239285714286,8.024444444444446,685.5371428571427,0.48,3.9785714285714273
DHAKALGAON,7.8631840796019805,158.52850000000004,20.531881393034816,526.1424875621891,0.3718279999999997,2.863880597014929
DHALASKHEDA,8.117564102564103,154.54833333333337,9.028205128205126,851.8343037974682,0.4987341772151898,3.7055696202531636
DHANGAR PIMPALGAON,7.856741573033713,202.3442134831461,17.41723163841808,491.16292134831457,0.4589830508474575,3.1712574850299404
DODADGAON,7.858823529411766,205.31512605042016,20.541521355932208,452.36288135593213,0.4650857142857143,3.4654237288135605
DOMALGAON,7.906666666666669,211.09677419354838,19.393333333333327,468.8,0.4732258064516129,2.237096774193549
DOMEGAON,7.823750000000004,181.2375,23.837974683544303,454.1375,0.406125,2.7536231884057965
DUDHPURI,7.854464285714287,156.68258928571427,15.531478899082568,535.3374107142856,0.3982571428571429,3.1606250000000022
DUNGAON,8.260611353711798,128.8040277777776,13.927853333333333,467.4865502183406,0.3727056768558952,2.9427379912663763
EKALAHERA,8.091343283582088,165.22499999999994,8.394961832061071,696.2068656716414,0.4899253731343285,3.6635820895522384
GAHININATH NAGAR,7.8807692307692285,219.61538461538458,14.845833333333333,399.5,0.4919230769230771,3.0192307692307687
GANDHARI,8.1158,164.03673076923073,9.039,721.1576923076923,0.4790196078431372,3.985769230769231
GANGA CHINCHOLI,7.957534246575342,157.7014084507042,14.152534246575346,445.02578911564626,0.2681386861313868,2.691748251748252
GANGARAMWADI,7.659135135135134,247.22890625,10.522349263157892,232.89034852546925,0.5785853018372692,2.058686015831135
GHUNGARDE HADGAON,7.835416666666662,146.62004184100428,19.06827731092437,503.1302521008403,0.4107216494845359,2.9512711864406813
GOLA,7.442761194029848,273.09655172413795,10.914046912751672,204.517,0.6170666666666669,2.0554729729729724
GONDI,8.102147239263806,170.31732317073187,8.617503086419749,716.1588424242426,0.5029393939393935,3.573437689969605
GORI,8.075846153846157,161.53626865671646,9.177575757575754,756.0123880597013,0.4537313432835821,3.5991044776119407
GOVINDPUR,7.668058252427188,218.96830357142846,10.232762252252243,390.5325225225225,0.4983783783783781,2.4870535714285715
HARAT KHEDA,7.888679245283022,177.23207547169812,22.247058823529414,544.6153846153846,0.3973584905660378,2.8999999999999986
HASANAPUR,7.938461538461535,230.64666666666665,17.485567010309275,494.3672680412371,0.461201030927835,2.7446391752577313
HAST POKHARI,8.263502538071066,130.44982558139534,11.488871578947366,483.23053921568635,0.3808171428571429,2.9956190476190447
INDALGAON,7.923333333333331,195.83333333333331,20.59666666666667,412.25,0.4386666666666666,2.0333333333333337
ISHWARNAGAR,7.834999999999999,171.595,20.294736842105266,474.5789473684209,0.3845,3.5315789473684216
JALURA,7.821428571428571,176.90714285714282,22.217857142857145,523.4285714285714,0.3964285714285713,2.8057142857142856
JAMKHED,7.887681159420282,320.9148936170213,14.191222028985504,647.7102127659574,13.997391304347836,2.2989361702127664
JOGESHWARWADI,7.8753846153846165,198.04615384615383,15.009523809523811,429.3076923076923,0.4441538461538461,3.575384615384614
KANADGAON,7.8235294117647065,129.83076923076922,18.976470588235294,449.0,0.2907692307692308,3.3741176470588243
KARANJALA,7.910377358490566,192.22924528301888,22.019047619047623,501.81132075471703,0.4334285714285715,2.63311320754717
KARJAT,7.904705882352941,164.14705882352942,15.662790697674415,518.3294117647059,0.3797674418604652,2.919277108433737
KATKHEDA,8.104821428571428,174.07122807017544,8.751964285714287,698.0710526315787,0.4957894736842106,3.900535714285714
KAUCHALWADI,7.907142857142862,149.17857142857142,18.33202313253012,555.4063095238097,0.2856228571428572,3.9220481927710846
KAUDGAON,8.096218487394959,161.57176470588243,8.904285714285713,731.532033898305,0.4758823529411766,2.781344537815128
KHADKESHWAR,8.145,164.466253968254,8.866161290322578,658.7271874999999,0.50015625,3.3551562500000003
KHEDGAON,7.985087719298242,411.9709401709402,14.815384615384616,724.9401709401709,14.77241379310345,2.2530973451327445
KINGAON,7.873437500000003,182.14285714285717,17.070312499999996,421.24561403508767,0.4091935483870965,2.9640625
KINGAONWADI,7.882178217821782,132.84999999999997,18.360518399999997,526.8751,0.28713863636363635,3.7165346534653496
KOLI SIRASGAON,7.900000000000004,182.8761904761905,15.366735849056596,502.2924761904763,0.31762886597938184,2.640408163265306
KOTHALA KH.,7.977551020408171,176.5455782312925,17.06904761904761,521.6173265306127,0.3014074074074074,2.657278911564623
KUKKADGAON,7.945631067961164,373.88095238095235,14.71083538461538,704.7456190476191,15.424,2.259000000000001
KURAN,7.880000000000001,0.0,13.112064000000002,444.5726666666666,0.18864,1.55
LAKHMAPURI,7.8360360360360435,206.2422018348624,19.397896936936935,500.5307207207208,0.4754899082568807,2.4706481481481477
LALWADI,7.8726666666666665,142.1927152317881,21.462568888888892,437.1708609271523,0.34599470198675497,2.9938666666666687
LASURA,7.888888888888889,222.35714285714286,21.710714285714282,457.3703703703704,0.4996296296296297,1.6955555555555557
LEMBHEWADI,8.22690904761905,113.70546666666668,12.230146363636367,494.00082352941183,0.3943,2.801704545454545
LONAR BHAIGAON,8.108723404255315,156.866,9.057891891891888,695.2224338624336,0.4716402116402116,3.5532105263157896
MADH TANDA,8.091462962962963,133.85936170212764,14.543682962962967,602.9535185185185,0.39908888888888894,3.422592592592593
MAHAKALA,7.880597014925376,186.0089552238806,18.048120300751872,492.52238805970154,0.4195488721804511,3.2292682926829284
MAHERBHAIGAON,8.05876404494382,156.3723863636364,8.772359550561799,688.1417977528087,0.4614606741573034,3.501460674157303
MALYACHIWADI,7.85,133.78243902439024,20.2,420.19047619047615,0.3014285714285713,4.0285714285714285
MARDI,8.12333333333333,157.68053763440858,8.004333333333333,700.8837204301075,0.4899999999999998,3.8576344086021512
MATH JALGAON,8.104226804123716,153.63505154639182,8.924105263157895,752.0060416666665,0.4728865979381445,3.6797938144329914
MATH PIMPALGAON,8.135909090909092,158.93846153846158,8.80597701149425,706.2598901098902,0.5195604395604395,3.7460439560439567
MUSAI,7.828767123287672,190.93194444444447,21.02328767123288,501.1014492753623,0.4323287671232877,3.126027397260272
NAGONYACHIWADI,7.911627906976744,132.37073170731705,18.602272727272727,406.84090909090907,0.2791891891891892,2.7634146341463413
NAGZARI,8.151666666666666,156.01583333333332,9.038936170212766,709.5222916666668,0.498125,3.5308333333333324
NALEWADI,7.898461538461543,208.4476923076923,18.558095238095238,502.25,0.4643750000000002,2.9138461538461526
NANDI,7.89375,184.25,22.34375,437.9375,0.4131250000000002,3.2750000000000004
NARAYANGAON,7.730155440414507,248.5870646766169,9.816454405940592,169.62285714285719,0.5221153846153845,1.5070854271356782
NIHALSINGWADI,7.876923076923076,181.41538461538462,19.539999999999992,478.3076923076923,0.4064615384615385,3.6169230769230767
PAGIRWADI,7.883333333333337,170.65416666666667,21.17361111111111,538.6714285714286,0.3825000000000001,3.0309859154929564
PANEGAON,7.845098039215686,138.11470588235295,16.554175686274515,459.5188,0.3318840000000001,3.0216000000000007
PANGARKHEDA,7.897500000000001,148.175,14.764102564102561,452.75609756097566,0.3320000000000001,3.1513513513513507
PANGRI,8.08014035087719,145.8448214285714,9.282678571428573,680.5326315789475,0.455438596491228,3.7712280701754377
