Village,pH,N,P,K,OC,Fe
AJRA (CT),6.636372549019608,651.9987254901957,30.74345098039217,387.15750495049485,1.7083039215686275,32.268588235294125
ALYACHIWADI,5.58225,537.9032499999996,78.43167500000001,347.9472972972972,1.4328,10.35342105263158
AMBADE,5.5642718446601975,699.5993269230769,31.729182692307702,243.5366000000002,1.1910865384615392,23.290606060606066
ARDAL,6.770538461538463,350.24544444444433,8.733759036144578,190.92252747252755,0.7653388888888889,25.25043956043956
AWANDI,6.071428571428571,228.83153846153843,32.00272727272727,1161.911818181818,1.332285714285714,4.725214285714285
BACHI,6.036136363636363,387.935,14.348325581395347,149.85783333333333,0.9692954545454544,51.94977272727274
BAHIREWADI,6.943000000000001,280.0193939393939,10.930355670103085,116.37030000000021,0.6472338164251209,19.927999999999983
BELEWADI HUBALGI,6.856724489795918,234.1353488372094,12.303491489361697,203.45949999999993,0.8110448979591836,21.9280612244898
BHADAWAN,6.015563909774437,729.7188148148143,52.557185185185205,628.7892666666669,1.0695037037037038,13.494015748031499
BHADAWANWADI,6.4410638297872325,468.07125000000013,31.08234090909092,233.44109302325572,0.9537708333333332,33.323812499999995
BOLAKEWADI,6.404782608695651,544.9086956521738,19.289749999999994,110.81454545454548,1.326521739130435,43.35034782608696
BURUDE,6.0729729729729724,241.6405882352941,52.09777777777778,299.38189189189194,1.1110285714285717,61.22305555555556
CHAFAVADE,6.0743103448275875,555.4334999999999,13.24530508474576,192.34772222222236,1.2126271186440678,26.06883333333333
CHANDEWADI,6.240666666666668,294.0373333333334,6.301533333333333,182.71066666666667,1.0740666666666665,57.89692307692307
CHAVHANWADI,6.394146341463416,352.77739130434776,84.85155555555555,127.46863636363636,0.6460239130434783,2.145951219512195
CHIMANE,6.484857142857145,325.86581081081084,18.185191176470596,320.2895890410959,0.84516,32.4516
CHITALE,6.184469696969697,705.3583703703702,29.763740740740737,359.1979259259266,1.3636592592592591,42.52489629629631
DABHEEL,5.681707317073172,282.30275862068964,11.225537634408596,79.93068817204302,1.175193684210526,51.91467391304349
DARDEWADI,5.571428571428571,269.53000000000003,89.18846153846151,373.2771428571428,1.2020769230769228,13.18782857142857
DEULWADI,6.044983606557372,565.7021538461543,18.389938095238094,296.1566612903225,1.4246246153846154,22.68524590163935
DEWARDE,6.10402985074627,219.33333333333337,11.24332307692308,534.2121212121212,1.1698656716417908,16.982121212121214
DHAMANE,7.345657894736843,401.02139072847734,15.148254109589045,280.777925170068,0.7686381578947364,7.059123611111112
ERANDOL,6.250882352941178,486.836728971962,12.823114285714276,404.44759259259285,1.1041296296296292,20.274481481481484
GAJARGAON,6.418245614035087,314.9648301886793,69.89705263157897,620.2722807017545,1.2510526315789472,20.28035087719298
GAVASE,5.651162790697675,267.01863636363635,223.91022727272733,386.5726829268293,1.720476190476191,14.149022727272724
HAJGOLI BK.,6.067540983606558,591.8660655737707,49.89108333333334,169.98213793103452,1.0879344262295083,44.47655737704917
HALEWADI,6.415797101449273,339.3599999999998,65.375,229.80484848484832,0.7873787878787876,12.30642028985507
HALOLI,6.000277777777778,259.08484848484846,17.698794117647058,151.60529411764705,1.4501111111111116,31.855555555555554
HANDEWADI,5.879818181818181,511.55016393442617,11.827923076923074,129.34241379310345,1.095433333333333,45.695245901639346
HARAPWADE,6.735833333333331,262.9940000000001,11.103672043010757,216.3671739130436,0.8497473684210525,19.66260416666666
HARUR,6.1144827586206905,266.11833333333334,32.64633333333334,182.28857142857143,0.8200000000000001,9.83923076923077
HATIWADE,6.283902439024391,511.4190243902437,45.643414634146346,189.27585365853656,1.2877560975609759,48.97219512195121
HONEWADI,6.272777777777778,481.3464864864862,24.52543243243243,176.91249999999997,1.2657027027027028,42.802972972972974
HONYALI,6.600652173913046,243.2993181818182,92.59566666666667,313.60647727272726,1.3122644444444442,1.577970454545455
ITE,6.130625384615384,230.8342857142857,35.06214285714285,464.69999999999993,1.1821777777777778,47.9725
JADHEWADI,6.664285714285714,219.53076923076927,146.65071428571426,150.54714285714286,1.7037692307692305,2.676333333333333
JEUR,6.145652173913042,575.8013043478262,21.924761904761898,239.9486363636364,1.3247826086956522,26.69434782608696
KANOLI,6.442542372881357,471.90830508474573,86.43927118644069,1274.249322033898,1.7085254237288137,48.23915254237289
KARPEWADI DHUMALA,6.17829268292683,360.15439024390236,142.042619047619,445.6239024390243,1.3169047619047618,12.462146341463413
KARPEWADI KHALSA,5.910000000000001,436.2190624999997,24.17237499999999,184.31812499999995,0.7480952380952379,19.239999999999995
KASAR KANDGAON,5.78169014084507,256.966657142857,170.85619718309852,73.86059701492537,1.2419552238805975,10.288605633802817
