Village,pH,N,P,K,OC,Fe
AHAMADPUR,7.7860365853658475,450.2926829268293,4.555766871165641,391.80368098159516,0.6432317073170729,3.265308641975309
AJANI KH,7.710204081632653,445.1219512195122,6.2724,379.47916666666674,0.6336585365853662,3.3538775510204086
ANANDWADI,7.5555737704918,248.95161290322582,19.720806451612912,528.9483870967742,0.6901639344262297,3.9983870967741937
ANDHORI.,7.685114942528733,104.09770114942528,7.630808630952381,507.4946551724138,0.6338505747126435,2.9580459770114937
BABALDARA,8.001034482758621,326.6551724137931,5.255,363.55172413793116,0.4667241379310344,5.982622950819674
BELUR,7.6848437500000015,162.078125,12.189218749999995,657.095,1.014444444444444,0.6825806451612904
BHUTEKARWADI,7.807142857142855,478.57142857142856,6.15142857142857,431.23628571428566,0.6834285714285714,4.563225806451613
BODKHA,7.519662921348318,63.529213483146066,7.438148823529412,589.4686904761905,0.8099999999999997,2.5401136363636367
BORGAON KH.,7.759714285714286,256.47222222222223,6.665,473.91666666666674,0.4330000000000001,1.6725714285714286
BRAHMAWADI,7.81490909090909,88.14545454545454,7.792789056603774,447.9716363636364,0.2790816326530612,3.648703703703703
CHIKHALI,7.725606217616577,81.4040404040404,6.5185533333333385,595.5643434343433,0.6920304568527921,2.3188383838383846
CHOPALI,7.415033898305085,132.1271186440678,7.796567168141596,544.3545762711864,0.7208898305084745,2.0932477876106206
DAGADWADI,7.507857142857143,216.92857142857144,7.221785714285716,486.1428571428572,0.8664285714285713,3.3071428571428565
DEVKARA,7.542844827586207,0.0,11.343912698412705,468.55888888888876,0.2450793650793652,2.6876984126984125
DHANORA BK.,7.727605633802817,228.54166666666663,7.811805555555555,547.1388888888888,1.6408270676691723,2.0314074074074084
DHANORA KH.,7.935106382978723,281.21276595744683,9.323829787234043,355.2340425531915,0.3976595744680849,3.823404255319149
DHASWADI,7.736278969957078,126.21090128755364,8.736305454545459,558.5512446351929,0.8515879828326175,2.173081081081082
FATTEPUR,7.805882352941178,362.79411764705884,7.5832352941176495,561.8235294117649,0.7514705882352941,4.670588235294118
GADEWADI,7.662698412698414,293.61904761904765,27.009516129032253,330.015873015873,0.6171428571428571,2.7877777777777792
GANGAHIPPARGA,7.5474799999999975,316.07270916334664,10.151244979919678,462.9984860557769,0.7042200000000016,3.90907258064516
GOTHALA,7.874399999999998,474.3622666666666,5.923391200000002,411.45333333333326,0.7452702702702714,3.3744
GUGDAL,7.527894736842104,159.20689655172413,25.42155172413793,916.6964285714287,0.6668965517241381,3.9743859649122815
GUNJOTI,7.646296296296297,0.0,7.951067374999999,381.45233766233747,0.2699358974358975,2.362345679012345
GUTTEWADI,7.501481481481483,219.23854545454543,36.569272727272725,810.7454545454545,1.049090909090909,6.081481481481483
HAGDAL,7.515583941605839,117.2391304347826,6.878728492063493,408.35992481203016,0.40815999999999997,1.7024137931034486
HALNI.,8.049999999999999,296.7328125,7.422258064516129,266.32258064516134,0.418125,2.3528125
HANGARGA,8.105,98.57142857142857,3.3689655172413806,290.82142857142856,0.4867857142857143,2.782758620689654
HASARNI,7.537692307692307,203.32142857142856,29.93666666666667,825.0833333333335,0.8885714285714285,4.111111111111112
HIMPPALGAON,7.81361111111111,286.02093457943926,16.696363636363632,569.3446363636364,0.5880909090909093,5.300545454545453
HINGANGAON,7.820967741935486,0.0,7.965397096774192,435.07032258064515,0.5756249999999998,2.2661290322580645
HIPPARGA (KOPDEV),7.838059701492535,228.41480916030534,11.775597014925378,471.11194029850753,0.4312781954887219,1.4149253731343288
