Village,pH,N,P,K,OC,Fe
ADYAL,8.164206500956023,582.2777071135922,50.82648340304173,285.4517373814042,0.8333667910447786,0.7541171875000005
AKALABODI,7.97551724137931,396.6347079310345,79.75060862068959,533.2902285714285,0.6638796551724135,0.8472413793103446
BELLARPAR,7.927000000000001,383.3317747999997,18.977657777777768,543.3429086419751,0.5478185333333334,2.635890410958904
BESUR,8.172256809338503,523.9169675090253,44.96188562248995,491.1161067641674,0.7475369549549556,0.8830524412296551
BHAGEBORI,7.6130366492146635,385.4922279792746,101.6887556084656,794.5512124352329,0.5507038341968904,0.1170658682634731
BHIVI,7.389940476190483,346.3389457831325,42.24645344370862,701.6164952380956,0.4951919879518076,0.8416407185628745
BHIWAPUR,7.412492187499996,279.809921875,46.917637795275596,601.0817007874015,0.40000781250000017,2.1701587301587293
BHOWARI RITHI,7.991948051948054,706.6558441558443,49.52913944444438,119.7096727272728,1.0095058441558449,0.6112222222222222
BHUMKOLARGATA RITHI,8.368,266.20454545454544,68.37820416666668,692.8693333333334,0.3805190909090909,0.08280000000000003
BORDKALA,8.035995098039221,350.16339712918665,132.56602421965312,1021.0327816326544,0.5001574641148331,0.20334010152284251
BORDKHURD RITHI,7.629666666666667,369.9083333333333,70.78966666666666,796.1610000000002,0.5293333333333334,1.3480000000000003
BORGAON S.,8.206212121212118,373.18500527559127,64.40539236363637,365.9078876033061,0.5331214173228347,0.4883140495867768
BOTEZARI,7.7595,361.94868852459024,91.44967213114755,798.7985000000001,0.5136065573770492,1.44
CHARGAON MO.,8.158902439024393,425.9442990243903,80.58330112500002,837.8719199999998,0.6086607317073168,1.6112000000000002
CHICHALA,7.998625,520.0501190476191,68.84666666666669,464.63223684210516,0.746,3.3044578313253017
CHIKHALAPAR,8.458638497652597,453.61326840375574,134.02895499999997,442.5627169811321,0.6480192018779343,0.8124882629107976
CHIKHALI,7.470848214285711,318.36607142857144,64.66299379464283,758.0129000000006,0.4549361160714286,0.07747422680412365
CHIKHALI RITHI,7.502058823529413,247.44852941176467,49.541935483870965,663.3464705882352,0.3541176470588235,0.5806060606060606
CHORVIHIRA,8.352038834951454,588.45,40.53224868852461,116.90880000000006,0.8406432000000006,0.6247840000000009
DHAMANGAON,7.925626598465469,392.01202969697,35.098534300791556,340.87464961636846,0.5603414600550959,1.627252032520326
DHAPARLA D.,7.348214285714291,421.70164532846667,55.7903430075188,428.77978151260527,0.6029880291970805,2.702131386861312
DHAPARLA V.,7.412222222222222,414.5555555555555,32.00111111111112,474.12633333333326,0.5924074074074073,2.5676923076923077
DHARMAPAR RITHI,7.6219178082191785,420.31958904109587,73.18260273972602,744.9626027397262,0.6035616438356168,6.897397260273974
DONGARGAON,8.315238095238097,261.1707317073171,119.84699952380952,647.3408000000002,0.3731012195121952,0.33985714285714297
GARDAPAR,7.832555555555562,557.3712406015038,55.76524033333333,584.4987851851853,0.7963387218045106,0.8479923371647506
GONDBORI,8.17777777777778,535.8557148547708,56.06334499999996,608.5704497925317,0.7655081327800838,0.7504170212765944
HATTIBODI,7.934711538461538,354.3161215000002,25.446214326923084,481.1772692307693,0.5068172000000003,0.5907572815533976
JAMBHURDA,7.086666666666668,458.26285714285723,30.59619047619047,485.68761904761897,0.6557142857142857,2.327619047619048
JAMGAON RITHI,8.113548387096774,654.1013513513514,44.41794388888889,250.6704,0.934564054054054,1.0989473684210525
JAWALI,8.127500000000001,348.8965277777777,117.11449275362318,942.9734288732393,0.5008750000000001,2.5605833333333345
JAWRABODI,8.259527559055122,378.0465538582678,80.39658093023256,614.293640625,0.5406211811023622,1.4112916666666668
KALANDRI RITHI,8.017199999999999,483.95763852,47.75630004385968,438.37226000000015,0.6913323999999986,0.7151555555555559
KANHALGAON RITHI,8.239710144927537,453.5838022891568,65.75410977777777,316.6525438202249,0.6481274698795177,1.5218095238095235
KARGAON,7.307721518987344,273.41694797468347,17.95945945945946,766.2052810126578,0.39310835443037984,1.1267848101265827
KESLAPAR,7.280666666666666,597.6764705882352,26.830588235294112,521.8664705882353,0.8547058823529412,1.957647058823529
KHAIRGAON,7.45072463768116,285.0930289855072,37.964024492753616,495.0810144927536,0.4046376470588236,0.6872727272727274
KHAIRI,8.221666666666664,305.2000000000001,116.75052631578949,1077.7382352941174,0.4352631578947368,3.310526315789473
KHANDALZARI,7.399230769230765,360.39230769230767,31.07307692307691,690.7227692307692,0.5164615384615385,1.6636923076923082
KHAPARI,8.11581920903955,577.1270944067796,46.59917344827588,316.5689491525423,0.8244672881355929,0.7007197452229306
KHARKADA,7.272244897959182,360.75,32.31244897959184,628.1999999999998,0.516734693877551,2.246326530612245
KHATKHEDA,7.097594936708861,562.6659113924051,27.50732894736841,615.271052631579,0.8025386075949367,1.4013924050632909
KHOLDODA,7.285384615384616,446.25,27.09684615384616,552.4523076923076,0.6392307692307692,2.4146153846153844
KHURSAPAR RITHI,7.35,433.875,31.48428571428572,560.135,0.6207142857142857,1.4992307692307694
KINHIKALA,7.916964285714282,697.9591836734694,45.41894589285716,172.73039999999992,0.997082448979592,0.7049999999999998
KOLARI,7.9111111111111105,235.52,39.818724285714325,755.6448000000003,0.33645712000000083,0.5614876033057861
KONDAPUR RITHI,7.988000000000001,315.69054899999986,23.801342222222228,848.512,0.450988,2.722888888888889
LONARA,8.023788819875778,611.3701923076923,57.86029453333336,378.6208993788823,0.873610576923077,1.3367088607594941
MAHADAPUR,8.085714285714289,217.14285714285717,109.21651214285716,1112.9560615384612,0.3102042857142857,0.3090000000000001
MAHALGAON,7.666100386100397,309.74806949806947,133.52881321083188,796.9853196911188,0.4427437451737445,0.09812995169082127
MALEWADA,8.36168173598554,352.5181552772805,140.58344549195013,466.06445703839137,0.5037439177101973,0.5809065817409768
MALHARPUR,7.250571428571429,386.36971428571434,31.63212121212121,565.5017142857145,0.5539999999999999,1.0577142857142858
MANDWA,7.604719178082192,355.74506849315065,43.961714285714315,570.7600699300697,0.5110273972602741,1.0630273972602748
MANGLI,7.7713333333333345,390.57590909090914,89.32295454545454,904.5975555555552,0.5584090909090911,1.379333333333334
MANGRUD,7.530483870967743,334.4449206349206,44.953809523809525,635.4828571428574,0.4784126984126985,0.5973015873015876
MANORA,7.880439999999987,560.79478096,53.77880761806983,457.3839567999997,0.7995684600000006,0.7289795918367339
MHASHADONGRI,8.614146341463414,348.6948158695652,21.88650239130435,353.86776170212767,0.4982439130434783,0.9154358974358976
MOKHALA,7.521829787234048,354.8359375,99.2024246062993,978.3232,0.5069091015624992,0.11952422907488973
NAD,7.897064220183482,506.565,39.1724085046729,544.2297064220184,0.7239893000000001,1.6732523364485983
NAGTAROLI,7.88391304347826,419.0370833333334,162.25545454545454,780.7649999999999,0.6,1.485652173913044
NAND,7.520153846153862,364.3846153846154,109.06003026923072,1056.6677907692308,0.5205499615384613,0.06341732283464559
NAVEGAON (D),8.102344632768347,620.0707282080916,53.78045182857142,428.5822350282482,0.8859417052023127,0.6883439490445866
NERI,7.922325581395353,385.0696280459771,27.231133132530122,372.11650476190493,0.5501279310344828,2.287913978494624
PAHAMI,7.713957446808513,308.8648648648648,87.5267384636118,795.6038399999996,0.4412361891891886,0.15287234042553213
PANDHARWANI,8.003779342722995,459.8003973349051,50.707147127371286,620.0550691764715,0.6591847169811318,0.8923154761904755
PANJAREPAR,8.030482456140348,396.1976956387661,110.3413153070174,464.4096849557524,0.8072189732142855,1.0394942982456141
PARSODI,8.220769230769232,335.7187407407408,91.8625185185185,1156.7018181818182,0.472962962962963,2.2099999999999995
PAWARGAONDI,6.846279069767443,340.6590046341463,23.536574249999994,374.493423255814,0.4861309756097562,3.33076923076923
PENDHARABODI,7.5495833333333335,540.2358333333333,56.75666666666668,565.8133333333333,0.7712500000000001,4.298750000000001
PENDHARI,8.047569721115522,349.8442935059757,81.48502496015911,790.3768694820736,0.4997773505976091,0.4097400000000008
PIMPALGAON RITHI,7.905869565217392,494.900978695652,60.63492347826089,873.7859217391306,0.7075454347826088,0.8146190476190476
PIPARDA RITHI,7.774074074074088,280.6755585185187,71.73434111111115,631.2808671698114,0.4013588888888889,2.137148148148149
RANMANGLI,8.027181818181818,514.8965363181824,46.274252037037,414.02564784689,0.7356507727272722,1.5603909090909085
ROHANA,7.541061946902657,399.3085106382979,58.03535214285715,824.8651586206893,0.5674892631578948,0.057085106382978625
