Village,pH,N,P,K,OC,Fe
ADGAON,7.464829931972791,288.58095238095245,20.92131156462584,448.9097210884349,0.6024829931972788,11.681862068965527
ANDGA,7.368636363636362,322.77840909090895,23.584365625,440.0353939393938,0.6819772727272727,9.345538461538462
BET SANGVI,7.219392523364482,263.9057142857145,15.673821428571427,523.7386785714283,0.5451250000000002,9.584285714285716
BHADRA,6.982399999999998,297.33333333333326,15.67442962962963,463.58044444444437,0.6194444444444444,9.111851851851853
BHENDEGAON,7.230952380952381,334.75750000000016,15.449880975609751,487.7717714285714,0.618642857142857,12.428809523809528
BORGAON AKNAK,7.275967741935482,387.0812903225808,18.974361290322584,613.8548387096773,0.6323693548387097,8.970967741935484
BORGAON KIWALA,7.341764705882354,250.67647058823533,16.404752941176472,470.11048529411767,0.5305147058823528,9.143529411764703
DAPSHED,7.479315068493149,264.75855890410963,8.944000000000003,459.57153424657537,0.5473767123287673,6.636986301369863
JAMBHARUN,7.354054054054055,251.31891891891902,22.3608,406.7616216216217,0.5294594594594594,12.024285714285714
KHADAK MANJARI,7.2150000000000025,360.66857142857145,15.397108571428573,719.3312499999997,0.6215714285714287,14.569357142857143
LOHA,7.341764705882354,302.82352941176464,15.485147058823529,462.0492205882352,0.6308823529411763,8.754838709677419
MALEGAON,7.428726114649685,345.39363057324766,16.77537834394904,520.8907541401277,0.6279262820512822,12.983248407643305
NILA,7.347654320987655,281.05454545454535,10.2819191011236,406.07877528089887,0.5893988764044945,7.793488372093022
PANGRI,7.2236363636363645,343.7007272727276,9.972159999999997,451.37383636363626,0.7161818181818181,6.834000000000002
RISANGAON,7.502377622377622,317.6979020979019,16.40252307692307,448.08375524475525,0.5996262411347517,11.982000000000005
SAWARGAON NASARAT,7.439590909090914,267.7593454545455,17.272639999999996,412.36361818181837,0.5708340909090909,10.869395348837214
SAYAL.,7.333362068965513,281.4830508474579,18.08928305084745,428.2578813559317,0.5980932203389828,8.012478632478635
SHEWADI,7.398207253886016,256.835440414507,18.801393750000006,399.315883937824,0.5389896373057003,12.420833333333334
SHIVANI  JAMGA,6.683536585365852,293.6195121951221,13.347775609756091,516.1713951219513,0.6117073170731708,8.689679487179486
TELKI,7.513333333333333,315.48714965986403,16.732968888888884,445.40072108843526,0.5802945205479452,11.15554794520548
ANAMAL,7.1746428571428575,301.35715909090936,19.531653932584266,375.3705802197803,0.6385632183908048,5.8380219780219775
ANJANI,8.695000000000004,160.17818181818183,11.259999999999998,768.2678571428571,0.4041071428571428,4.275
ASHTA,7.207906976744188,159.45217391304345,18.25157303370786,706.4130434782608,0.3053260869565217,4.058141304347826
ASOLI,7.7730188679245265,304.87868852459025,20.237653333333334,368.3088786885246,0.6351639344262293,6.252786885245903
BANJARA TANDA,7.4675925925925934,267.84000000000026,13.09848,289.11726545454536,0.5579999999999997,5.037222222222223
BHAGWATI,7.284680851063827,275.37591836734697,17.233183673469384,542.3672916666667,0.5668333333333334,5.8537500000000025
BHORAD,7.533999999999998,157.48548387096776,11.55836065573771,920.8360655737705,0.3375806451612903,4.063870967741933
BONDGAVHAN,7.740000000000001,341.06823529411764,17.49781176470588,424.91505882352936,0.6559999999999999,7.685714285714287
BONDGAVHAN CHAUPHULI,7.182857142857142,216.0,15.471428571428572,442.29000000000013,0.4485714285714285,3.722307692307692
DATTAMANJARI,7.2926153846153845,271.3615384615383,12.364307692307689,261.2399999999999,0.5652307692307692,3.4290769230769245
DIGADI (KU),7.237916666666666,156.76000000000005,20.4824,797.16,0.4156,4.4792
GOKULNAGAR,7.23921568627451,159.5884615384616,20.2925,849.2307692307692,0.4376923076923077,4.098076923076923
GONDEGAON,7.224000000000001,151.11,21.648000000000003,838.375,0.477,3.8
GOUNDWADSA,7.451559633027523,278.48492592592635,14.059202020202015,305.1363211009175,0.5346972477064221,3.7202884615384626
GUNDWAL,7.20258064516129,275.28749999999985,10.710774193548387,253.195,0.5734374999999999,3.654838709677418
HADSANI,7.182261904761903,269.7186206896555,18.373034482758612,374.64616279069776,0.5568965517241379,3.799080459770116
JUNAPANI,7.011071428571428,150.5896551724138,18.008076923076924,809.7916666666665,0.4075862068965518,3.952413793103448
KASARPETH,7.796315789473684,232.14315789473682,22.0425,290.0558947368422,0.5073157894736843,0.3333333333333333
KEROLI,7.45125,258.66,15.215750000000002,321.9132,0.5388750000000001,6.9957142857142856
KHASBAG,7.787857142857143,201.4516,9.769353846153846,355.4784,0.5111,6.091333333333334
LAKHAMAPUR,7.695555555555553,360.66888888888917,21.232171428571426,417.0952222222222,0.7760694444444445,5.575000000000002
LAKHAMAPUR TANDA,7.6537037037037035,347.94666666666666,11.62675555555556,606.6368000000001,0.7244444444444444,5.4185185185185185
LANJI,7.486274509803921,278.0068965517242,17.018275862068965,472.6896551724138,0.5765517241379311,7.160000000000004
LIMBAYAT,7.566666666666667,272.04705882352954,19.611472,440.1705411764706,0.5794117647058823,6.372549019607844
MACHINDRA PARDI,7.400454545454546,301.16931818181826,16.822727272727274,325.87863636363636,0.6125909090909095,5.553030303030304
MADNAPUR,7.515454545454546,322.56303030303053,16.211969696969692,375.9970769230768,0.6113484848484849,6.315322580645164
MAHUR,7.712500000000001,260.8404123711343,17.466494845360817,541.8908247422683,0.5414432989690721,6.0194845360824765
MALKAGUDA,7.3436666666666675,154.88333333333333,17.803333333333327,643.3666666666667,0.387,4.229000000000001
MALKAGUDA TANDA,7.1,156.32380952380953,18.960000000000004,744.0952380952382,0.3942857142857144,3.6833333333333336
MAMTAPUR (D),7.6229999999999976,283.2000000000001,11.725706666666666,436.07872,0.5900000000000001,6.206666666666668
MET,7.6346808510638295,161.25660377358497,11.752708333333334,692.8490566037735,0.40018867924528295,3.824905660377359
MURLI,7.5798550724637686,253.32434782608695,19.57324705882353,411.6071159420291,0.5407898550724635,0.7129687499999998
NAIK WADI,7.493846153846158,284.7059999999998,22.462439999999994,431.82048,0.6124124999999998,8.691315789473684
NAKHEGAON,7.789999999999999,282.76432432432443,15.288891428571429,438.15136111111104,0.5888108108108108,6.12
NER,7.718928571428572,257.3999999999999,17.24862666666667,410.83392000000003,0.52715,5.756666666666669
PADSA,7.67864406779661,292.26000000000033,16.455231250000004,554.3581858267719,0.5504101562500001,6.730390625
PANOLA,7.8034210526315775,306.73589743589764,13.655937500000002,548.3523076923077,0.635,6.119230769230772
PAPALWADI,7.4696000000000025,155.986,16.27666666666666,687.78,0.371,3.9581999999999993
PAVNALA,7.17021739130435,272.93877551020427,18.602102040816323,393.97346938775496,0.5665625,4.426530612244896
RUI,7.293529411764707,279.4727272727276,15.617831325301205,463.16420454545454,0.5368068181818182,3.675764705882355
RUPALA NAIK TANDA,7.410624999999999,161.40625,15.683541666666665,740.6875,0.405,3.759148936170212
SALAMBI (N.V.),7.334761904761907,145.2086956521739,13.802173913043475,924.3636363636364,0.2376086956521739,3.666521739130435
SAWARKHED,7.5390243902439,290.98536585365866,15.107882926829266,297.31479512195125,0.6074390243902437,7.26717948717949
SAYPHAL,7.213611111111111,299.0918918918918,10.576783783783783,314.1620000000001,0.6174324324324324,6.776810810810809
SELU,7.287346938775512,293.73061224489817,21.836734693877553,348.410612244898,0.6070408163265307,3.6693877551020417
SHE.PH WAZRA,7.1991666666666685,269.68253968254,18.803650793650792,400.5631746031746,0.5293174603174601,3.2495238095238106
SHEKAPUR,7.489411764705883,276.31058823529406,16.592658823529415,375.9326117647058,0.5756470588235294,6.782352941176471
TAKLI,7.774999999999999,255.76774193548385,13.923225806451617,368.10938181818193,0.5460483870967744,7.56483870967742
TANDALA,7.3935714285714305,287.2000000000002,20.77244444444445,371.2422727272728,0.5940000000000001,6.6075555555555585
TULSHI,7.392222222222222,162.4537037037037,15.692264150943403,731.7777777777777,0.4077777777777778,3.7312962962962963
UMRA,7.742812500000002,284.37575757575763,16.420030303030302,337.69698787878775,0.5923333333333333,5.354545454545457
WADSA,7.07813953488372,157.79302325581395,16.132790697674416,921.5714285714287,0.3727906976744185,3.817857142857143
WAI,7.258813559322031,277.7801666666672,19.849829059829066,347.2183760683762,0.5665125000000002,4.2884166666666665
WAIPHANI,7.772045454545454,303.51999999999987,19.71493333333333,523.1982933333331,0.6323333333333334,6.992444444444442
BARAD,7.782399999999996,365.8222368421054,12.170789473684213,699.1757894736843,0.5230263157894735,13.577866666666658
CHIKALA,7.76,330.0652100840336,12.053495934959345,736.3638211382114,0.4725210084033609,12.895573770491804
CHIKALA TANDA,7.704516129032259,381.5456666666667,12.149677419354838,812.8387096774194,0.5456666666666666,13.425161290322585
HAJAPUR,7.648965517241379,465.5731034482757,12.705344827586204,832.8620689655173,0.6648275862068966,13.566206896551723
IJALI,7.811130434782608,377.161391304348,15.19965217391304,788.0956521739131,0.5393913043478258,14.340877192982466
KHAMBALA,7.791914893617022,369.29625,14.323333333333334,584.7234042553191,0.5274999999999999,13.216170212765956
MUGAT,7.8068656716417895,382.3137313432836,15.285970149253735,627.5671641791046,0.5454545454545454,10.890149253731344
PATHARWADI,7.8312307692307686,368.7714705882355,14.288823529411776,586.3970588235294,0.5267647058823529,11.450882352941179
SAREGAON,7.709594594594593,390.0012162162162,12.212191780821914,704.6621621621623,0.5572972972972972,14.352972972972973
WADI MUKTAJI,7.730357142857144,327.07375000000013,12.232962962962967,682.3571428571429,0.466,13.743571428571427
WADI NIYAMTULLAPUR,7.659459459459461,513.8037837837841,13.760540540540545,741.9,0.734054054054054,14.532432432432433
WARDADA,7.8025,328.79518518518523,12.004642857142857,760.0,0.4655555555555556,13.863571428571428
WASRI,7.728067226890754,384.8687288135594,12.186638655462188,778.5630252100841,0.5501694915254236,13.509830508474574
ADLUR,7.3616666666666655,165.63191489361705,37.880425531914895,547.7791666666667,0.5289583333333334,3.265
ADMALWADI,7.454285714285715,156.83571428571423,23.952500000000004,627.0714285714286,0.39571428571428574,2.506785714285715
AKHARGA,7.593076923076925,162.64487179487182,28.7474358974359,634.6315789473684,0.4891025641025639,3.2076410256410264
ANDEGAON,7.424920634920638,158.32580645161292,22.219841269841265,566.6190476190476,0.3114285714285714,4.036825396825396
BAMNI,7.466825396825398,153.59516129032252,23.903809523809517,618.7619047619047,0.36380952380952375,4.210476190476192
BENNAL,7.467500000000001,161.12272727272727,22.903111111111112,582.6666666666666,0.2997777777777777,4.457777777777778
BERLI BK.,7.492391304347826,163.595,27.47315789473684,594.6979166666666,0.48200000000000004,3.5358510638297873
BERLI KH.,7.486875000000002,167.1591666666666,27.04145833333333,611.1875,0.5,3.398708333333333
BHATAPUR P.D.,7.538235294117648,148.52878787878788,26.844705882352944,610.0,0.4094117647058823,3.2388235294117638
BHINGOLI,7.508333333333334,156.5947368421053,22.42052631578947,604.7894736842105,0.2878947368421053,4.071764705882353
BOMNALI,7.596222222222222,165.2468888888888,26.116363636363648,702.6093023255813,0.5759090909090911,3.3297777777777777
CHANDOLA,7.5198660714285674,157.93826991150425,26.916651785714315,608.8737777777778,0.3773333333333338,3.21559090909091
CHONDI,7.2775000000000025,155.54050632911378,19.199382716049378,562.7846341463414,0.4038170731707318,3.3504285714285733
