Village,pH,N,P,K,OC,Fe
ACHAPA,7.395303370786519,182.10093023255808,14.253563218390815,424.98833333333334,0.4944943820224717,10.064269662921351
AMALA,7.103500000000002,249.4523809523809,16.398500000000002,365.071658,0.5233333333333332,15.020809523809529
ASALI,7.443285714285714,197.32428571428574,12.018636363636361,425.1751428571429,0.5200000000000001,8.095714285714289
ASTAMBA,7.422480620155034,168.23740157480313,12.353304347826082,423.09,0.4573643410852719,7.916201550387592
BHANOLI,7.625,238.15,12.374545454545455,405.684,0.5525000000000001,14.765833333333333
BHOGAWADE BK,7.102727272727273,129.53636363636366,15.45727272727273,416.66909090909087,0.242,16.819000000000003
BHOGAWADE KH,7.227716535433069,197.0043174603175,14.188160000000005,441.8047619047618,0.4436377952755906,11.566141732283453
BHUJGAON,7.5379999999999985,207.95833333333331,19.249666666666666,461.198,0.4728333333333333,10.008666666666663
BIJARI,7.485714285714286,178.5,12.089761904761898,455.61904761904765,0.533452380952381,7.186024096385544
BILBARPADA,7.451999999999999,209.84,10.620454545454542,370.1792,0.42,6.753999999999999
BORWAN,7.454102564102566,211.65866666666668,11.895285714285716,408.888,0.4973076923076922,9.950800000000003
CHANDSAILI,7.23529411764706,155.94736842105263,12.82941176470588,471.5263157894737,0.5933333333333333,8.08529411764706
CHHAPARI,7.501445783132527,193.71925,12.830361445783133,332.54156626506017,0.4255696202531645,9.607590361445784
CHHINALKUWA,7.430000000000002,182.05263157894737,13.01254545454545,463.6727272727273,0.5199999999999997,7.4884482758620665
CHINCHKATHI,7.303103448275862,188.4784375,16.650967741935478,394.99875000000014,0.3853125000000001,15.599375
CHIPPAL,7.511269841269843,188.0492063492064,11.37596774193548,430.10016129032255,0.4607812500000001,8.048870967741934
CHITTAR,7.51,136.0,11.152999999999999,423.33333333333326,0.43700000000000006,6.1709999999999985
CHONDWADE BK,7.309464285714286,266.56727272727267,19.686363636363637,492.88000000000005,0.5427678571428571,12.841482142857142
CHONDWADE KH,7.538695652173914,268.6282608695652,11.028571428571428,386.6017391304348,0.38891304347826094,11.004545454545458
CHULWAD,7.387962962962963,132.8313725490196,12.343888888888895,349.21428571428567,0.4938888888888887,6.330943396226416
DHADGAON,7.524621848739487,145.6545217391304,13.563499999999992,366.7861666666665,0.4273333333333334,11.868508333333313
DHANAJE BK,7.417557251908398,87.71716417910449,11.919047619047625,321.3562222222222,0.4455925925925929,9.975777777777775
DHANAJE KH,7.378214285714287,0.0,16.310333333333332,278.82099999999997,0.36,11.116666666666667
GAURYA,7.5874100719424495,161.7122302158273,11.982086330935251,471.075,0.5179136690647486,8.211294964028777
GHATLI,7.471616161616162,121.02076000000001,15.290309278350511,394.07696969696985,0.425643564356436,12.869960396039588
GODAMBA,7.329857142857143,208.79753424657528,18.11084507042254,375.48650904109564,0.437972602739726,15.55616438356164
HARANKHURI,7.596078431372546,184.284,17.996862745098035,447.86274509803917,0.4357843137254903,9.420000000000002
HATDHUI,7.5279310344827595,184.34615384615384,17.14103448275862,428.1531034482759,0.4575862068965517,9.063928571428573
JALOLA,7.486806451612903,268.964705882353,17.580558823529415,362.16323529411767,0.606029411764706,15.785454545454545
JAMANVAHI,7.407999999999999,165.48,11.9476,419.56,0.5127999999999999,5.758399999999999
JUGANI,7.3574285714285725,142.01272727272723,16.137999999999998,339.613125,0.29954545454545456,17.33257142857143
KAKARDA,7.4801999999999955,141.85059405940598,16.418208955223893,372.05975124378097,0.443539603960396,12.204500000000005
KAKARPATI,7.419246575342469,181.05475862068957,14.36875,347.51056338028167,0.4000000000000004,10.681048951048949
KALIBEL,7.526336633663358,129.2801020408161,16.013399014778336,402.2679411764702,0.3594088669950733,11.859211822660079
KAMOD,7.233636363636363,139.00095238095238,14.572727272727274,385.71818181818185,0.3616818181818182,12.76818181818182
KAMOD KH,7.3345,0.0,16.11775,270.10200000000003,0.51325,13.794500000000005
KATRI,7.481264705882348,182.6055414201183,15.554537764350464,368.40794117647033,0.4604188790560474,11.331661721068235
KELA BK,7.382352941176469,193.35294117647058,11.704117647058823,415.05882352941177,0.5700000000000001,6.922941176470588
KELA KH,7.548192771084339,167.1925301204819,11.946506024096374,448.710843373494,0.4712048192771085,6.68879518072289
