Village,pH,N,P,K,OC,Fe
AJANDE,7.803624999999995,252.92377358490563,16.010310559006207,319.7826086956522,0.5351101282051282,5.337826086956531
AJMIR SAUNDANE,8.286118012422358,143.58500000000006,14.457752161383304,640.4530459770114,0.34324712643678096,2.028495297805644
AKHATWADE,7.5714285714285685,347.8592063492064,18.0,265.7818181818182,0.5284000000000001,3.251111111111109
ALIYABAD,7.368095238095237,281.03125,16.880999999999997,226.8793103448276,0.6390000000000001,2.85457627118644
AMBASAN,7.5866666666666625,340.0192810457517,17.62385321100917,270.7294117647059,0.4851153846153835,4.174379084967323
ANANDPUR,7.644871794871794,263.7975641025641,18.0,267.4230769230769,0.6155641025641023,3.151025641025642
ANTAPUR,7.436465753424674,211.03701369863015,20.700138504155127,269.76923076923083,0.4432520547945205,3.151599999999993
ASKHEDA,7.442346938775519,199.83600508905855,21.3055242966752,279.8401534526854,0.4508184143222514,3.272219387755101
AUNDANE,8.058426966292135,192.24797752808988,8.746067415730337,451.658988764045,0.3065517241379311,5.520449438202248
AVHATI,7.9636666666666684,139.53041095890404,13.26733333333334,665.1244444444444,0.37488888888888905,2.1696629213483147
BABHULANE,7.137244897959177,214.29591836734693,20.529896907216493,224.17441860465115,0.5143061224489797,3.157777777777779
BAGLAN,8.080472440944892,132.50003937007878,11.725,710.8645669291341,0.335275590551181,1.94490118577075
BAHIRANE,7.519444444444443,308.6944444444445,18.0,306.1666666666667,0.4990303030303032,5.685294117647059
BHADANE,7.594520547945204,370.4035211267606,18.0,298.4410958904109,0.5746301369863009,4.933287671232876
BHAKSHI,8.043257142857145,140.3998630136986,13.23545977011494,665.7766857142857,0.3483428571428573,2.081941176470589
BHAVNAGAR,7.200000000000002,369.23684210526324,18.0,349.76315789473676,0.5897368421052631,3.794444444444444
BHAWADE,8.012222222222222,244.03129629629623,14.25814814814815,286.2301886792453,0.3427777777777777,4.133703703703704
BHILDAR,7.4396774193548385,213.81300813008133,20.36688524590164,302.3770491803278,0.42054471544715466,2.7525862068965505
BHIMKHET,7.488281250000003,355.9457364341085,17.52173913043478,301.19689922480615,0.5008778625954197,3.50086206896552
