Village,pH,N,P,K,OC,Fe
ALIYABADWADI,7.642727272727273,421.4327272727273,9.844545454545457,331.4675757575758,0.5784848484848485,3.564242424242424
AMBI,7.5883705357142865,374.700546875,8.096312780269049,440.1154093363346,0.5357505580357143,3.936186726659169
ANANDWADI,7.549148936170213,462.70212765957433,6.40446808510638,334.80677659574474,0.6584782608695653,3.396382978723404
ANDRUD,7.433749999999997,530.215625,6.23234375,300.16354838709674,0.7604062499999995,2.5914062500000004
ANJAN SODA,7.7009523809523746,379.15566037735846,13.110379146919446,257.25485849056616,0.541895734597157,3.617605633802817
ANTARGAON,7.617258823529414,399.0253872832369,11.636729885057475,282.7643195266271,0.571502890173411,3.2417528735632204
ANTARWALI,7.534566844919782,438.84433155080217,11.908562162162161,269.05913978494635,0.6259086021505379,3.6488279569892494
ARSOLI,7.607883268482488,387.96614785992233,12.075836575875494,260.84559143968863,0.5549416342412454,3.612673151750972
ASHTA,7.326454138702439,357.95005045408686,5.184364908906859,271.1573562058548,0.5113572149344084,4.105479591836745
ASHTEWADI,7.274612068965516,363.3754646840149,5.409735092936815,251.1740520446096,0.5191078066914492,3.720775193798447
BARHANPUR,7.574821428571429,462.83232142857145,10.387678571428571,360.3710714285716,0.6167857142857144,3.664821428571429
BAVI,7.450169971671394,339.11420454545447,5.72821826210826,278.5030635838147,0.4844460227272718,3.3976988636363674
BEDARWADI,7.5869354838709695,381.3049180327869,9.111774193548383,296.71105263157887,0.5454098360655737,3.125322580645161
BELGAON,7.5706741573033725,430.47696629213476,11.339438202247193,269.23370786516847,0.6209195402298848,3.4661797752809
BHAWANWADI,7.570765217391299,447.9508620689656,10.323620689655174,274.55112068965525,0.6341379310344829,3.001465517241379
BHOGALGAON,7.452244897959182,454.4547368421052,11.863265306122448,261.58520408163247,0.6639175257731962,3.52673469387755
BHONGIRI,7.537924528301888,550.622641509434,6.545660377358488,311.06096153846147,0.7888679245283017,2.6396078431372536
BHUM(RURAL),7.713376146788994,424.3240036231885,10.766315789473689,267.3837142857144,0.5749094202898541,3.4156702898550773
BIROBACHIWADI,7.454239130434786,469.8369565217391,8.924370978260862,400.49326086956535,0.6711956521739132,3.844021739130437
CHANDWAD,7.703157894736841,377.076,11.699789473684211,249.7025,0.5372972972972974,3.4015789473684217
