Village,pH,N,P,K,OC,Fe
ARBUJWADI,7.865172413793108,269.36839080459805,9.527068965517245,486.380287356322,0.3860919540229889,1.4845562130177514
BANPIMPLA,7.874560439560436,272.6674418604651,8.161337209302317,519.7237912087912,0.3906976744186052,1.9066483516483528
BELWADI,7.808576329331039,296.02311418685053,9.860566037735842,492.1722164048869,0.4573702422145336,1.3432741935483865
BORDA,7.771151631477936,270.0250574712637,10.14642578124999,495.0062955854133,0.4090613026819932,1.3915145228215768
BOTHI,8.305225464190983,353.84996360000036,10.675329424999981,492.67202500000127,0.5054999999999998,3.329491525423731
CHILGARWADI,7.859074074074074,268.5108333333336,10.0106511627907,551.1136574074071,0.38550925925926,1.2847191011235966
DAGADWADI,7.8047169811320725,282.4776237623763,9.611320754716973,576.6029245283016,0.4053465346534657,1.6248039215686267
DAMPURI,7.92383695652174,134.558829787234,11.039677419354836,330.15680851063814,0.33684210526315783,7.295744680851058
DEVKATWADI,7.5846874999999985,184.7828125,10.647499999999997,607.84375,0.4648387096774194,4.846250000000001
DHANGAR MOHA,7.731206896551722,280.8503389830508,9.504067796610169,552.0683050847458,0.4011864406779659,1.4728571428571429
DHARASUR,8.498999999999999,349.5000433333333,9.990151111111109,582.4734999999997,0.4992857142857143,4.159047619047619
DHARKHED,7.745420560747664,280.4893494228747,9.998667366211947,571.4277163712228,0.4019622245540413,1.3199792315680188
DHAVLKEWADI,8.587574626865676,344.5017865298516,11.952931383399232,558.9707462686572,0.49214552238806,5.118880597014922
DHEBEWADI (THAGYACHIWADI),7.8100806451612925,321.1267403314917,9.838897849462343,466.81220430107595,0.460000000000001,1.4194623655913983
DONGARGAON SHELGAON,7.759393139841702,251.16011019283718,8.866931216931198,623.3022222222232,0.3607438016528935,1.3701562500000015
DONGARJAWLA,7.8473046874999905,240.01027343749982,9.235273437500004,484.26636718749984,0.3418359375,1.6263135593220364
DONGARPIMPLA,7.698219696969676,259.0478405694764,7.251783894616237,521.6399203640511,0.3882687927107064,3.933462857142864
GAULWADI,7.8154166666666605,267.7217105263159,11.044342105263176,542.0519999999996,0.404517543859649,1.1242180094786731
GAUNDGAON,7.752682926829268,183.83963414634147,12.792560975609755,525.7831707317073,0.4389024390243903,2.456341463414633
GHANTAGRA,7.630714285714286,134.93928571428577,9.977142857142855,422.07071428571436,0.5428571428571429,5.088048780487807
GODAVARI TANDA,7.9276923076923085,162.4707142857143,10.600714285714286,505.88571428571424,0.4328571428571429,4.784285714285715
GUNJEGAON,7.720734597156397,288.3209832134287,10.07061611374406,604.5636966824659,0.4127098321342922,2.128896882494004
HANUMAN NAGAR,7.80412087912088,275.1079670329668,10.58928571428572,577.0432768361578,0.44703296703296697,1.5131065088757398
ILEGAON,7.737120822622112,275.7689182058045,10.139604221635869,664.5397943444756,0.3955145118733514,1.214961439588688
IRALAD,7.824404761904755,222.1842741935487,9.841383399209489,578.8475518672196,0.4118548387096769,2.125088607594936
JAWLA RUMNA,7.749896551724133,280.99014035087697,10.361789473684203,686.8980701754401,0.4028771929824567,1.184620689655172
KADYACHIWADI,8.266,180.48461538461544,12.509999999999998,596.0123076923078,0.44615384615384623,4.896923076923077
KANGANEWADI,8.177535014005615,315.3504467609252,9.819791854838703,541.2326153846143,0.4612564102564098,3.853128205128207
KATKARWADI,7.733434343434335,281.8166202090588,9.54507092198582,661.6116498316516,0.4042160278745655,1.2350505050505043
KAUDGAON,7.994181818181818,197.00001654545449,11.441441111111114,390.9265454545456,0.4445454545454545,3.618363636363637
KHADGAON,7.822404371584714,282.1323224043715,10.556786703601103,673.5755464480882,0.4038524590163943,1.4108959537572263
KHALI,7.592923076923077,209.2524999999999,14.443589743589742,397.9925000000002,0.41500000000000015,0.0
KHANDALI,7.51179104477612,17.964516129032262,0.0339032258064516,43.53846153846154,0.7319402985074628,1.580781250000001
KHOKALEWADI,7.85610655737706,253.9190163934429,8.93037499999999,508.87959016393415,0.4007786885245905,1.5493069306930678
KODRI,7.812588454376174,279.94657894736844,9.97647601476014,459.0665735567984,0.4011654135338346,1.3719741697416996
KUNDGIRWADI,7.858337801608598,246.2437398373987,9.340877742946704,480.02091152814967,0.4473712737127375,1.6166467065868262
LIMBEWADI,7.7806885245901585,283.8071803278686,9.817599999999986,508.4458032786875,0.4073442622950825,1.912101694915256
MAIRAL SAWANGI,7.386818181818183,166.88954545454544,15.475909090909084,488.5236363636364,0.475909090909091,5.365454545454545
MALEWADI,7.481111111111113,17.70348837209303,0.032506741573033696,37.5,0.7569767441860464,1.4123456790123454
MANKADEVI,7.823559322033894,249.40423728813585,7.7482456140350875,457.1041525423729,0.3549152542372878,1.5161061946902668
MARDASGAON,7.723779069767443,284.9748643410848,10.116124031007741,563.4284689922478,0.40858527131782896,1.6761046511627902
MASANERWADI,7.734296874999997,284.7718867924529,8.76213114754099,544.7471093750002,0.40905660377358505,1.1313821138211375
MASLA,7.793111111111113,285.44577777777806,9.38199999999999,602.0106666666667,0.4091111111111113,1.9914444444444457
NAGTHANA,7.805846153846147,227.57791443850275,9.004324324324315,475.2279081632653,0.3970769230769233,1.5300000000000007
NARLAD,7.980202020202019,139.66183673469394,10.998469387755101,448.92898989899004,0.4887878787878786,5.820202020202018
NILANAIK TANDA,7.7735714285714295,171.00035714285718,12.444814814814821,580.9189285714285,0.4657142857142857,4.177500000000001
PADEGAON,7.933516483516481,170.47228260869562,13.1,488.7650561797754,0.466043956043956,4.756263736263737
PANDHARGAON,7.791889763779537,267.93007575757593,9.77977272727273,451.0858778625952,0.3834848484848482,1.379469696969696
PANGRI,7.834427480916027,247.0429961089491,8.766590038314174,497.4405343511448,0.3745914396887158,1.706229508196722
PHUGNARWADI,7.594736842105262,0.507872340425532,0.04095348837209303,32.55894736842105,10.559649122807015,1.642558139534884
PIMPALDARI,8.392164502164498,332.2499705882359,10.545965090090103,588.4326050420162,0.4746428571428563,4.196218487394967
POKHARNI WALKYA,7.790198675496702,245.04202205882342,8.64684039087946,611.0246579804574,0.3520955882352944,1.3355048859934862
POTA,7.794878048780488,284.05329268292667,9.485000000000003,516.1015853658537,0.4069512195121952,0.9856097560975609
RANISAWARGAON,7.824365325077393,261.40978328173395,9.442383900928775,650.5026625387001,0.3738699690402482,1.4968387096774207
RUMNA JAWLA,7.693680981595087,156.77802469135798,10.2355,474.47480519480524,0.5216564417177914,4.019980891719746
SANGLEWADI,7.819470198675495,297.3556291390732,10.18172185430465,457.8382191780817,0.42496688741721866,1.305033112582781
SAYALA SUNEGAON,7.7385529715762225,267.9711082474223,10.187164948453605,570.9742525773189,0.4345994832041351,2.167063492063491
SHELMOHA,7.541555555555553,134.00909090909093,10.699777777777776,428.64372093023246,0.5857777777777777,3.52
SHIVAJI NAGAR,7.868000000000001,272.72008333333355,9.703384615384607,583.4075384615383,0.3909166666666665,1.1703846153846154
SIRSAM SHEGAON,8.411313559322021,310.20110599999975,9.941951606425695,518.1214615384632,0.4621621621621622,4.732000000000006
SUNEGAON SAYALA,7.841188118811878,216.22490566037757,10.44556603773584,603.2165094339621,0.34424528301886786,1.4459770114942516
SUPA (JAGIR),8.466972477064239,335.7646170977927,10.00180058631923,497.496393939393,0.4896845425867518,3.7790303030302983
SUPA (KHALSA),7.803661016949153,306.9588620689654,9.85874576271186,483.40986440678034,0.4678321678321686,1.665845070422535
SUPPA TANDA,8.571806451612899,328.9572496341465,10.202216000000002,563.6173780487812,0.4699390243902435,3.989756097560983
TAKALWADI,8.4848717948718,280.751846794872,12.556922051282053,500.6497435897437,0.4374358974358977,4.967389610389617
TANDULWADI,8.310321782178226,320.4802868069302,11.388852176165809,554.4770049504954,0.4581311881188114,4.2904950495049645
UKHALI KH.,8.521945945945937,341.1691905641026,11.474242461538458,519.5235897435891,0.4873846153846157,5.459675675675687
UMALANAIK TANDA,7.976428571428572,170.09,12.146999999999995,557.5733333333333,0.451,5.010344827586207
UNDEGAON,8.517725490196066,302.99059266666666,10.029895866141722,543.3021561338289,0.4486814814814816,4.678901960784311
WAGHALGAON GOPA,7.833253731343276,265.5439817629183,9.839127725856693,531.3926666666673,0.4068807339449545,1.4847468354430375
WAGHDARA TANDA,7.64788888888889,150.95288888888894,9.991923076923074,429.83547169811334,0.5167307692307694,3.0303888888888886
ZOLA,7.839722222222233,266.4510071942448,8.844930555555552,556.8305555555553,0.3812230215827339,1.4414583333333315
AKOLI,7.690773993808077,250.81366413698623,9.426977724719062,574.6234246575331,0.36450684931506855,4.406630136986298
BELKHEDA,7.734137931034484,290.2244827586207,44.305328965517255,470.36103448275855,0.49689655172413794,3.313793103448276
BHAMBRI,7.514102564102568,300.62383804878,10.371282968749998,537.440926829268,0.4506097560975608,4.974517766497467
BHOGAON,7.5572628726287325,308.6575992307691,10.107815623342164,549.4485941644571,0.4410875331564992,5.063819628647215
BORDI,7.751454545454545,159.96363636363637,11.164727272727275,690.7247272727278,0.398,1.4462000000000002
BORGALWADI,7.926923076923076,167.9842105263158,18.834210526315786,315.9756756756757,0.40815789473684216,3.6368717948717952
BORI,7.7814556962025305,153.17337932432426,9.739727423312887,445.79858064516134,0.5608860759493668,4.208565217391304
CHANDAJ,7.7999421965317906,251.8514264739886,10.613880290697672,513.5168208092485,0.4397976878612714,4.75502994011976
CHARTHANA,7.713683373110544,282.87379278839296,9.110523643636373,525.6159065155804,0.42990870488322735,4.466728439059161
CHINCHOLI KALE,7.212499999999998,180.7,7.5053246753246725,546.5602499999999,0.440379746835443,1.8106097560975611
CHITNARWADI,7.911538461538462,189.44782608695655,15.8,305.09615384615387,0.4323076923076922,4.488333333333334
DEVGAON (DHANORA),7.744210526315791,252.78378378378375,8.427029411764709,527.6597368421053,0.3892105263157894,1.3278947368421052
DHAMDHAM,7.931587301587298,180.90515624999992,17.048437499999995,335.13062500000007,0.3689062500000001,0.0
DHANORA DEVGAON,7.871636363636366,98.50943396226415,11.012307692307694,563.4027272727275,0.2901818181818181,1.2122222222222219
DIGRAS,7.717656249999999,143.64095238095237,8.805423728813556,432.686349206349,0.5829687500000001,2.6253389830508485
DOHARA,7.919347826086954,184.0391304347826,17.397826086956524,395.8469767441862,0.3356521739130435,0.0
DONGARTALA,8.088750000000001,349.82926829268285,13.065853658536579,445.10341463414636,0.4978048780487804,4.982439024390245
DUDHAGAON,7.9000813008130075,255.5161290322581,10.310737704918024,658.0564516129032,0.3990163934426231,1.8418699186991865
DUDHANGAON,7.827012195121946,280.1082098765432,9.984176470588237,617.0236585365852,0.4180487804878045,2.4158227848101266
GADADGAVHAN,8.082598039215686,263.9344320098039,9.195901076923072,519.0684215686275,0.4421078431372547,4.450975369458122
GARKHEDA,7.544312500000008,319.4625052499997,10.309654312499998,537.4869999999994,0.4563750000000001,3.769750000000001
GHAGARA,7.855757575757576,208.16363636363639,17.615151515151513,323.5971875,0.4272727272727273,4.24060606060606
GHEWANDA,8.110599999999996,89.86193069306933,9.485899999999996,552.7153465346538,0.4838613861386139,5.050752475247526
HALVIRA [HARLI),7.989655172413792,179.01310344827587,11.968965517241378,458.29689655172416,0.4231034482758621,4.12
HANDI,7.839350649350654,151.7763157894737,8.271267605633799,485.0,0.3866666666666665,1.3032467532467535
HIWAR KHEDA (HINTUR),7.881071428571428,93.5,4.788,578.1071428571429,0.30249999999999994,1.2892
ITOLI,7.599513381995138,197.45374552311455,8.794742293814421,531.6007299270071,0.3210218978102189,2.181209068010073
JAMB KH,7.872499999999999,155.48888888888888,9.492826086956523,654.1875,0.3918749999999998,5.009375000000001
JAMBHRUN,7.6129411764705885,0.36204545454545467,10.328399999999998,428.6274509803924,0.3591304347826087,4.2384
JOGAWADA,7.536315789473685,257.81073610526323,10.028755483870963,499.960736842105,0.4428947368421052,4.6953191489361705
KAUSADI,7.591896232242126,283.0813216463416,9.512262049180283,518.7424451219516,0.41456646341463343,4.874626016260167
KAWADA,7.8308555133079825,247.96877323420085,12.116099616858227,501.2723420074349,0.4224220532319393,0.7936567164179102
KAWI,7.903854166666665,0.0,12.026458333333327,522.4540624999998,0.5034375,4.036875
KEHAL,7.687812500000009,326.3463068181818,86.77263286931826,473.2304719764012,0.4578125000000002,2.7159090909090886
KHARADADI,8.201363636363636,342.3636363636364,11.479545454545455,461.22454545454553,0.4890909090909091,5.119999999999999
KHOLGADGA,7.9063333333333325,183.53333333333336,16.533333333333335,336.89642857142843,0.39399999999999996,4.259629629629631
