Village,pH,N,P,K,OC,Fe
ADIVARE,7.455624999999999,600.9008749999998,10.3994375,184.68686666666665,0.8585,23.388937500000004
AGHANE,6.748620689655173,451.3282758620691,12.678275862068965,464.29758620689654,0.6731034482758622,6.025172413793103
AHUPE,6.6275159235668815,703.7616352201259,15.308378205128202,305.2236729559749,1.0039685534591196,18.433388157894736
AMADE,7.78840909090909,451.20128947368426,5.840305555555557,455.9130000000001,0.6445526315789474,11.90840909090909
AMBEDARA,7.355,433.3,9.617,413.1555555555556,0.619,3.546250000000001
AMONDI,7.5822429906542075,357.59829059829065,9.621623931623931,720.1695726495726,0.5108547008547007,2.0913793103448275
APATI,7.658666666666668,414.2352941176471,14.108235294117648,862.8305882352942,0.5533333333333333,2.494375
ASANE,7.255747126436782,717.1885581395351,13.41179487179487,237.4737250000001,1.0245697674418608,34.8272183908046
AWASARI BK.,7.954338317756992,324.34494195688234,10.436517412935324,460.93008403361364,0.4976584158415832,1.3712651006711398
AWASARI KH,8.057624020887733,344.66839378238336,12.909251336898404,685.1808776595749,0.4926943005181345,1.1430363636363643
BABHULWADI,8.221333333333332,356.51,19.956154444444444,247.6025,0.5092999999999999,7.514235294117648
BHAGADI,7.964504504504505,223.996875,7.084642857142854,412.3113461538463,0.3245535714285712,1.0736697247706422
BHARADI,7.953753501400557,345.2486559139785,10.383579234972675,581.7909411764706,0.4930258064516127,1.3412938005390849
BHAWADI,7.2083116883116904,328.91566265060237,10.559615384615388,454.6284615384615,0.4684337349397592,1.8843373493975903
BHORWADI,7.603483870967742,359.0127388535032,10.364709677419354,434.34530612244896,0.5326114649681529,1.869127516778524
BORGHAR,7.281363636363636,543.5819772727274,21.999434782608684,303.8629318181818,0.7765454545454545,12.646465116279067
CHANDOLI BK.,7.8395804195804155,342.5174520069808,10.340750436300183,588.6502877697842,0.5263176265270504,1.4404895104895112
CHANDOLI KH.,7.831679999999999,409.38106796116506,11.255717821782179,527.5527272727275,0.5848058252427178,1.1639603960396034
CHAPTEWADI KANAS,7.526707317073168,432.50609756097566,6.327756097560974,577.3703797468355,0.6145121951219505,3.732560975609757
CHAS,7.749589041095888,395.20746268656717,18.489215633802818,310.997397260274,0.5629328358208955,4.557225757575756
CHIKHALI,7.95876923076923,228.66349206349201,11.758923076923075,356.9825806451612,0.3266666666666668,9.377692307692307
CHINCHODI,7.567846153846157,346.12937062937067,10.574419580419585,884.8551773049644,0.4917605633802816,2.151765625
CHINCHOLI,7.742580645161292,350.77777777777777,15.687887323943665,899.9549999999997,0.5033802816901408,2.1670422535211267
DEVGAON,7.765336585365856,393.26341463414633,9.584257425742573,641.2528712871288,0.5605365853658537,1.5160199004975123
DHAKALE,7.133745535714289,372.1928251121077,8.05125,596.5094392523363,0.5303153153153154,3.4979910714285714
DHAMANI,7.978430851063832,331.0690104166667,10.00746736292428,523.2824479166668,0.4743463541666666,1.2759255319148923
DHONDMAL SHINDEWADI,7.72304347826087,312.6,7.0340579710144935,440.5543661971831,0.4615714285714286,1.5467692307692311
DIGAD,7.191,340.61300000000006,16.515454545454546,724.9136363636363,0.5518181818181818,5.017545454545455
DIMBHE BK.,7.214074074074075,368.97374074074065,8.461347826086955,310.7028076923077,0.5271111111111112,4.534217391304349
DIMBHE KH.,7.61888888888889,448.1629444444445,9.039117647058823,208.12535294117646,0.6401666666666668,6.519222222222222
DON,6.817037037037034,454.32135185185183,12.756037735849054,627.4092592592592,0.6488888888888891,6.9818518518518555
EKLAHARE,7.978439716312058,374.73114754098367,11.422491803278696,583.148327868852,0.548459016393442,1.6891089108910895
FALAKEWADI (N.V.),7.4449999999999985,368.33333333333326,11.207142857142859,522.1942857142857,0.6333333333333333,2.1294444444444447
GADEWADI (N.V.),7.573391304347825,529.3342,11.7416,566.5044000000001,0.7560000000000001,23.067
