Village,pH,N,P,K,OC,Fe
BAMANGAON,6.3453333333333335,406.22,15.2815,288.089,0.6486363636363635,28.486363636363638
BAMANOLI,7.078181818181817,607.2,51.93636363636363,341.09090909090907,0.8659999999999999,20.732
BELOSHI,7.125333333333333,1277.3213333333335,6.655333333333335,75.65733333333333,1.8246666666666664,3.515333333333333
BHAL,7.3064285714285715,553.1321428571429,77.46285714285716,964.657142857143,0.9707692307692308,17.17142857142857
BHERASE,7.810588235294117,1178.0076470588235,8.901333333333332,227.6325,1.6829411764705882,11.105882352941176
BIDWAGALE,6.3275,288.25,65.9725,1045.8169999999998,1.2475,8.686363636363636
BORGHAR,6.983,199.701,27.047999999999995,224.02875,0.445,40.13799999999999
CHINCHAWALI,7.2589999999999995,990.3969230769233,105.46384615384615,363.08833333333337,2.210769230769231,3.9861538461538455
CHOUL,6.268181818181818,487.92756756756745,43.26666666666668,227.73242857142864,1.0886486486486486,89.57841269841269
DALAVI KHAROSHI,6.7456000000000005,634.3811111111112,17.511481481481482,121.5992,1.0803703703703704,18.920740740740737
DEOGHAR,6.4969230769230775,406.8425,35.49,340.40307692307687,0.8484615384615386,32.59
DHAWAR,6.422142857142855,401.52392857142877,24.407857142857136,306.3171428571428,0.8456000000000001,16.2164
DHOKAWADE,6.416470588235294,305.0,22.473333333333336,214.11764705882354,0.43733333333333335,17.689375000000005
DIVIPARANGI,6.667857142857144,216.593,8.68925925925926,786.4693333333336,0.4839999999999999,24.72935483870968
GUNJIS,7.222142857142857,748.5,51.14999999999999,521.2307692307694,1.0699999999999998,47.201428571428565
KAWIR,6.8950000000000005,695.3333333333335,41.945,280.57875,1.016,27.263333333333332
KUNE,7.052272727272728,620.5454545454545,36.33809523809524,265.39130434782606,0.876521739130435,24.16347826086957
MAN TARF ZIRAD,6.426666666666668,369.9336363636364,10.584545454545458,222.46000000000004,0.8809090909090908,36.25250000000001
MAPGAON,6.909090909090909,387.64818181818185,73.10000000000002,1050.8290909090908,0.7809090909090909,19.258181818181818
MHATROLI,6.5858333333333325,599.5833333333334,37.67272727272728,798.0,0.8566666666666666,37.82666666666667
NARANGI,7.084615384615384,977.532,67.06615384615384,681.2307692307693,2.185,4.390833333333333
PHOPHERI,6.861538461538463,562.5734615384616,122.42384615384616,403.2252,1.5657692307692308,4.796666666666666
RAMRAJ,6.7597872340425535,229.50021739130435,24.5525,349.9938636363636,0.5246808510638297,17.31891304347826
RAVET,6.182380952380951,411.44857142857137,11.9145,386.8210526315789,0.921904761904762,3.8738095238095234
SAHAN,6.336666666666668,862.8406666666667,47.75133333333334,307.694,1.2893333333333337,34.21333333333334
SASAWANE,5.67625,422.8,26.6625,378.0,0.604,7.848125
SATGHAR,7.308,1136.2077777777781,123.63545454545452,543.5441666666667,2.5860000000000003,4.154
SATIRJE,6.741724137931034,638.9807142857143,28.24838709677419,902.8040625,1.0496551724137932,26.564615384615387
SHAHABAJ,6.797272727272728,381.8181818181818,33.97272727272727,666.9090909090909,0.5454545454545454,18.38272727272727
TALAVALI TARF UMATE,6.445,622.7388888888888,6.414,1106.498,1.3911111111111112,37.14
VAIJALI,6.1945454545454535,804.3945454545454,21.887222222222228,614.8363636363638,1.3854545454545453,15.45
VAISHET,6.513999999999999,298.6810000000001,64.913,418.237,0.4722222222222222,13.798888888888891
VARASOLI,7.522500000000001,1523.85,7.570833333333333,69.64583333333333,2.1775,6.928999999999999
VAVE,7.371666666666667,1401.1727272727273,6.152500000000002,121.545,2.0027272727272725,7.760833333333334
