Village,pH,N,P,K,OC,Fe
AGARWADI,5.416,211.7690476190476,11.296764,485.252,1.8328439999999997,37.186
AKALE,6.275612244897957,244.98796632653102,8.401035463917525,219.73306122448986,1.5511594897959189,31.025816326530624
AKUSKHAN NAGAR,6.267346938775512,249.10204081632654,12.419976140350876,986.580350877193,1.0652631578947371,21.973333333333336
AMBATKHOL,5.806521739130435,158.34694117647058,8.027617647058822,486.4303921568628,1.6690760869565218,32.47960784313725
AMBITGAON,5.148387096774194,142.2003125,11.011875000000002,408.534375,1.94059375,63.2484375
ASURDE,6.666666666666668,193.27,12.582857142857144,241.4192857142857,0.3493333333333333,11.874666666666664
BAMNOLI,6.368709677419359,197.730701754386,8.502330967741933,328.7770491803278,1.2919677419354838,19.46832258064516
BHILE,5.6480952380952365,377.7034761904761,2.1059047619047617,373.05828571428566,1.0706666666666669,16.274476190476193
BHOM,5.077083333333333,176.55633333333333,12.287217543859654,335.81607142857126,1.3075912280701754,38.242280701754396
BORGAON,6.747647058823527,451.2826470588236,7.999467205882354,823.2535294117649,1.6477205882352937,12.431176470588234
CHINCHGHARI,5.553636363636364,413.01790909090914,2.029818181818182,320.90240000000006,1.3305454545454545,12.265545454545453
DADAR,6.468499999999999,281.87299999999993,9.5486505,281.8525,1.56675,21.1875
DAHIVALI BK.,6.127027027027028,322.76506849315075,8.617337808219183,734.5219999999997,1.6325675675675673,20.512835820895525
DAHIVALI KH.,5.871724137931035,223.2251724137933,9.702226206896553,248.2514035087719,1.5503189655172414,29.82810344827585
DALVATNE,5.493513513513513,376.1687027027027,2.038416666666667,405.1064054054053,1.1105675675675672,20.040216216216212
DEVPAT,6.609375,463.34562499999987,16.903125,339.5,0.6600000000000001,6.090625
DHAMANVANE,6.124999999999999,344.1865,8.352500000000001,743.168,1.5195,16.972
DHAMELI KOND,6.277500000000002,440.1853846153846,6.929210526315787,1475.469166666667,2.0565,21.881250000000005
DHOKRAVALI,6.5535714285714315,253.1634482758621,9.857586206896553,503.1037037037036,0.2689655172413793,10.643793103448278
DUGAVE,5.917647058823527,360.0694117647058,5.051121212121211,773.7488235294119,2.052058823529411,44.60764705882353
DURGWADI,4.940540540540542,172.40707317073162,10.474359512195118,363.36355555555565,1.6692477272727275,32.70609756097561
DURGWADI KH.,4.726315789473684,152.94736842105266,9.785537727272725,468.55,1.749759090909091,23.37954545454545
GANE,6.331538461538459,248.4353846153845,7.025766923076924,352.9384615384616,0.7913846153846154,17.305384615384614
GANGRAI,5.564285714285715,207.38933333333333,19.046062500000005,305.31200000000007,1.6999375,44.78187499999999
GHAVALWADI,6.233333333333335,381.98081081081085,10.748108108108108,720.3867567567568,0.4062162162162162,7.009999999999998
