Village,pH,N,P,K,OC,Fe
AMBEWADI,7.931216216216214,390.94324324324333,23.631756756756765,291.68716216216205,0.6491891891891891,4.105823529411765
AOUTEWADI,7.790892857142855,448.6837288135592,24.45915254237289,297.4080701754387,0.5627118644067796,4.311403508771931
ATPADI,8.079632414369234,319.5301926566412,16.874241221374074,349.5834603709947,0.43692953020134345,3.661030277544161
AWALAI,7.711904761904759,410.9840476190477,24.10125000000001,303.9999999999999,0.4142857142857143,5.198095238095238
BALEWADI,7.868571428571429,299.9629333333331,31.42480000000001,275.06186666666673,0.6972,3.0549333333333344
BHINGEWADI,7.879420289855073,171.06231884057976,4.706614285714284,270.1568571428571,0.13136231884057975,3.8697058823529416
BOMBEWADI,8.327605633802811,207.23750000000004,8.82875,439.67605633802816,0.2372222222222222,3.266571428571428
DESHMUKHWADI,8.340666666666666,166.00158730158736,7.58063492063492,411.92459016393445,0.19015873015873014,2.3359322033898304
DHAVADWADI,7.600132450331126,417.4544444444445,29.33039215686275,289.72166666666675,0.490671140939597,5.030072463768115
DIGHANCHI,8.03047337278106,278.76827380952386,13.862215568862275,395.0493413173652,0.3846745562130177,3.2342603550295865
GALAVEWADI,8.180480769230769,178.94999999999996,8.793398058252434,407.5326086956522,0.21121212121212124,3.5989523809523822
GHANAND,8.069952153110052,174.7461306532662,6.775528571428571,306.96485714285717,0.16374162679425838,2.4372857142857147
GHARNIKI,7.909667774086372,338.46545517241367,31.921845637583854,200.319989583333,0.4915653594771246,3.052563815789472
GOMEWADI,7.722679455445562,0.0,33.218164726123675,445.4210142118859,0.8265983312655089,6.5662553374612775
HIVTAD,8.391290983606561,200.73979797979806,8.498293172690769,363.7016129032258,0.2551673640167359,4.3908686868686875
KAMTH,7.687935656836455,0.0,23.03858487603301,201.4395505617977,0.6750657344632767,4.212545469613266
KANKATREWADI,7.493541666666669,447.4656388888888,23.942500000000006,321.58298611111127,0.5096527777777777,5.020139860139858
KARGANI,8.532884615384615,139.08826797385618,18.937161716171623,311.9845161290324,0.8502893890675248,5.167337620578776
KAUTHULI,7.952416666666669,314.008768367347,15.8184375,437.92631578947373,0.4437755102040815,4.388163265306123
KHANJODWADI,8.350933333333332,196.47866666666675,8.637236842105262,419.7763157894737,0.2168421052631579,3.630394736842105
KHARSUNDI,7.663217993079589,492.5164137931034,29.027269503546115,381.32536332179916,0.6573586206896519,5.334280701754388
KURUNDWADI,8.044782608695652,287.68820143884886,16.707536231884056,425.42388489208633,0.3897841726618704,3.394014598540148
LENGREWADI,7.9126421404682326,261.99048275862066,9.840436363636355,366.3896989966557,0.332736486486487,3.617812499999999
LINGIWARE,7.979696969696971,311.18575757575724,22.843437500000004,321.0348214285715,0.6900000000000001,5.180645161290324
MALEWADI,7.927252747252745,239.37145326086937,12.35217391304348,352.1578260869565,0.3081521739130436,2.5546913580246935
MANEWADI,7.777047887323942,453.6416438356164,26.73205479452055,334.5300000000001,0.5825205479452052,4.7542465753424645
MAPTEMALA,7.646790123456785,415.45756097560957,24.47621951219513,296.2439024390245,0.4980487804878048,5.291097560975608
MASALWADI,7.822368421052631,349.74637096774194,15.531935483870964,434.2501639344263,0.4720967741935485,4.035081967213115
MITKI,8.014512195121947,423.2898333333334,29.757142857142874,369.1948148148146,0.8178313253012047,4.125249999999999
MUDHEWADI,7.899520547945205,270.9886301369861,16.795211267605623,219.25993055555543,0.6695890410958906,4.645187969924812
NELKARANJI,7.619142857142857,394.6431369509046,23.53296266666666,299.3491018276762,0.5116683937823833,4.234976744186045
PALASKHEL,8.056962025316455,328.14835443037947,23.67607594936709,441.7603797468353,0.8160759493670888,3.0244736842105264
PANDHAREWADI,7.9957692307692305,407.87260869565216,23.377692307692307,246.35130434782607,0.5712500000000001,2.76
PAREKARWADI,7.985483870967738,277.8686290322581,16.686854838709678,385.698870967742,0.3787096774193547,2.9150833333333326
PATREWADI,8.227883211678838,217.37076923076904,14.08171641791043,277.45948148148153,0.6513138686131386,5.6873134328358175
PIMPRI KH,7.6872549019607845,428.7104458598725,24.493184713375783,328.52487012987007,0.5066878980891721,4.924415584415584
PISEWADI,8.375277777777779,141.95449999999997,8.007749999999998,305.78025,0.7537499999999999,5.987500000000002
PUJARWADI.ATPADI,8.044166666666667,372.34011904761917,18.614047619047625,392.1519047619046,0.5192857142857139,3.4851282051282038
PUJARWADI.DIGHANCHI,8.440869565217389,160.43652173913048,7.142916666666667,191.31875,0.8687499999999998,6.940434782608696
SHEREWADI,7.675,353.7473684210526,23.54105263157895,167.5105882352941,0.5057894736842106,1.8764705882352943
SHETPHALE,7.993884758364312,318.87191635687856,17.688169556840073,348.19579256360083,0.7984264432029793,4.5004330708661415
TADAWALE,7.930504201680671,355.90512605042,23.35340611353711,321.5363291139241,0.5419327731092439,3.586518987341773
TALEWADI,7.864830917874398,279.59528301886786,16.619342723004696,284.07336448598136,0.3993867924528299,3.202943925233644
UMBARGAON,8.073333333333332,309.0796491228071,14.333333333333332,214.45107142857142,0.6490566037735849,3.569649122807018
VITTHLAPUR,8.083020833333334,282.48161616161616,11.064948453608253,414.02583333333337,0.3774489795918366,3.5126086956521734
WAKSHEWADI,8.390930232558143,185.70989010988998,9.325384615384618,448.8426966292135,0.22545454545454546,2.8921978021978028
WALWAN,7.948563829787235,326.47078014184325,23.55731884057972,341.69535714285763,0.6846428571428567,5.376428571428571
AHIRWADI,8.126111111111111,80.2235294117647,53.33750000000001,558.0477777777777,0.6622222222222223,1.1764705882352942
AITAVADE KH,7.800379146919436,175.7046829268293,59.476697674418574,520.4855825242716,0.9695283018867932,10.961387559808614
ASHTA,8.002063983488108,188.49521556886398,62.01515244909192,544.0414064115829,1.1359358841778708,9.505179704016934
BAGANI,8.042205323193919,237.32958801498128,31.542599999999986,129.24647577092512,0.3392045454545457,4.1915530303030355
BAHE,7.73177745664739,0.0,19.261367951318462,558.7266227588746,0.5258025378089272,5.24815346216435
