Village,pH,N,P,K,OC,Fe
AKHADE,8.063703703703705,442.18259259259264,26.180370370370373,230.9076,0.6470370370370371,3.6616
AKHEGANI,6.43,483.2975,21.4575,716.6681249999998,0.690625,6.3743750000000015
AMBEGHAR T.KUDAL,7.474545454545453,366.6872727272727,39.46666666666667,760.5254545454545,0.5245454545454545,4.207272727272727
ANDHARI,6.029565217391307,360.9565217391304,106.8695652173913,251.8181818181818,0.4272727272727272,0.533913043478261
ANEWADI,6.011909090909091,478.8181818181818,30.363636363636363,190.54545454545453,0.3886363636363636,6.520952380952378
ARDE,8.283333333333333,540.5625,28.714285714285715,201.375,0.4925000000000001,5.66875
BELAWADE,7.618666666666665,441.23333333333335,27.1,207.06666666666663,0.4693333333333333,5.827999999999999
BELOSHI,6.5807142857142855,155.9028571428571,70.82928571428572,400.78333333333336,1.3014285714285714,5.909285714285716
BHOGAVALI T.KUDAL,8.176,359.0311111111112,28.45833333333333,733.8452380952382,0.5070588235294117,2.4650000000000003
DARE BK.,7.8964285714285705,524.2857142857143,26.142857142857146,348.76923076923083,0.4414285714285714,6.141428571428572
DARE KH.,7.360384615384616,146.94523809523812,15.515000000000004,467.6740740740741,0.9177777777777778,7.646296296296298
GANJE,6.133428571428571,339.97142857142865,36.34375,393.08571428571435,0.4408571428571429,0.4624137931034483
GHOTEGHAR,5.462666666666666,601.4,30.33333333333333,293.0625,0.54125,5.818125
HATEGHAR,8.034814814814814,406.69928571428574,27.872068965517244,724.3583333333335,0.5807142857142857,2.595
HUMGAON,8.075806451612904,395.361,27.744193548387102,226.61750000000004,0.5660000000000002,2.92741935483871
INDAVLI,8.126486486486485,466.65157894736865,25.406578947368427,311.58648648648654,0.6673684210526317,4.433783783783784
JAREWADI,8.161874999999998,437.53333333333336,27.28133333333333,245.75,0.6162500000000001,4.19625
KARANDI T.MEDHA,7.357857142857144,531.8095238095239,35.11904761904762,242.34210526315792,0.4357142857142857,5.894236842105262
KARANDOSHI,7.869411764705883,497.1363636363636,72.6059090909091,526.9727272727273,0.7131818181818181,3.9255555555555564
KARI,7.281538461538461,252.0769230769231,27.49230769230769,144.3114754098361,0.4996923076923077,9.489230769230767
KAS,5.722,380.1875,18.8125,323.75,0.635625,0.73
KATAVALI,6.629629629629631,617.8148148148148,35.814814814814824,207.04,0.5114814814814814,5.877037037037038
KAVADI,8.079473684210527,365.7527777777778,35.92722222222223,733.8815789473683,0.5168421052631579,3.057368421052632
KHARSHI  BARAMURE,7.627037037037035,563.7359259259259,68.2773076923077,869.1303846153846,0.8051851851851852,4.0792
KHARSHI T. KUDAL,6.05608695652174,510.7391304347826,170.47826086956522,182.312,0.42260869565217385,5.621666666666667
KOLEWADI,7.834117647058824,353.8235294117647,46.368421052631575,283.3333333333333,0.6942105263157894,0.7489473684210527
KOLGHAR,6.0233333333333325,370.66666666666674,109.83333333333331,110.2,0.5183333333333334,0.4254545454545455
KUSUMBI,6.1795833333333325,542.72,39.76,246.7142857142857,0.9595833333333332,0.4899999999999999
MAHIGAON,7.932499999999999,385.95,29.5,360.0,0.5245,1.3326315789473682
MAHU,7.486111111111112,412.5,32.46411764705883,696.0555555555555,0.5911111111111111,3.51
MAMURDI,7.212399999999999,412.26923076923083,37.153846153846146,321.53846153846155,0.6123076923076923,0.8783999999999998
MHAMULKARWADI,6.044117647058822,507.9411764705882,28.117647058823533,206.64705882352942,0.42294117647058826,4.4523529411764695
MOHAT,6.756086956521737,453.20833333333326,30.818181818181817,343.4782608695652,0.6216666666666667,0.7675000000000001
MORGHAR,7.294210526315791,137.32315789473685,22.95947368421053,515.9194736842106,0.7621052631578948,5.779999999999999
MUNAWALE,6.189333333333333,413.4,42.53333333333333,192.31034482758625,0.7526666666666666,0.713103448275862
