Village,pH,N,P,K,OC,Fe
AARE,5.222678571428572,264.84053571428586,14.925961538461536,164.7223636363636,0.9957592592592592,36.87035714285713
CHAFED,5.187142857142857,301.6186666666666,13.636470588235294,138.6523529411765,1.166235294117647,22.059999999999995
DABHOLE,5.304838709677421,314.3286206896551,12.399999999999995,154.7984516129032,1.1969154838709677,15.789000000000005
DAHIBAON,5.357222222222223,148.22886486486487,16.875675675675677,212.82945945945946,0.9763567567567568,25.104722222222215
DHALAVALI,5.74032258064516,184.91378125,13.015625,174.77987499999998,0.9752500000000002,20.754687499999992
DHOPTEWADI,5.870833333333334,213.54666666666665,27.76592307692308,255.5975,2.224833333333333,74.33
ELAYE,5.933461538461539,217.02384615384616,33.113038461538466,302.0748,1.833652173913044,60.08576923076922
GADHITAMHANE,6.147142857142854,231.00000000000003,26.80234615384616,305.61740740740737,0.4490769230769231,48.75035714285715
GAVANE,5.979411764705883,298.9653333333334,26.337125,478.0075,1.7213333333333332,59.69166666666667
HADPID,5.134615384615385,314.07923076923083,12.02727272727273,189.7969230769231,1.1290909090909091,19.901538461538454
HINDALE,5.873636363636362,239.08374999999995,135.73806451612904,419.95068965517237,1.9836666666666671,75.689696969697
HURSHI,5.614166666666666,247.34769230769237,8.56,277.796923076923,1.6876153846153843,28.42
JAMSANDE,5.7075000000000005,355.69565217391306,25.577142857142864,325.875,3.5468181818181823,20.368
JUVESHWAR,5.8927272727272735,270.6776470588235,38.001393939393935,507.0709375000001,2.1088058823529416,57.42088235294117
KATVAN,5.335555555555555,167.54575,17.920000000000005,188.16000000000003,1.2596,26.37500000000001
KATWANESHWAR,5.394117647058824,167.21341176470585,11.282352941176471,303.51823529411763,0.8976470588235295,25.682352941176475
KINJAWADE,5.692647058823528,254.485,28.90115625,444.90090909090895,2.6480606060606062,73.16333333333334
KORLE,6.172639344262294,239.41133333333332,19.190775862068968,499.78661016949127,2.503903225806451,78.44254237288138
KUNKAWAN,5.178723404255319,326.62857142857143,22.72116279069767,324.0425531914894,3.2040476190476204,21.80388888888889
KUNKESHWAR,5.241388888888889,146.4167777777778,8.060606060606062,130.02181818181816,0.8311081081081082,9.849459459459464
KUVALE,5.583499999999999,293.4005263157895,27.5867,166.19411764705882,1.2921052631578946,31.779499999999995
MAHALUNGE,5.821904761904763,210.672,8.998684210526319,393.8790476190477,2.3955,52.426111111111105
MALPEWADI,5.857391304347826,288.18086956521745,7.433782608695651,489.9730434782608,1.2793478260869562,27.88636363636364
MANCHE,5.371764705882354,155.95294117647057,10.700000000000003,187.66588235294117,1.0885312500000002,23.562647058823533
MITHBAON,5.532380952380952,289.4033170731708,15.957499999999998,221.05664285714283,1.2328555555555551,33.00348837209302
NAD,5.844814814814815,266.4199999999999,27.046080000000003,329.90692307692296,0.45332,55.951153846153844
NADAN,5.775454545454545,276.64,23.79555555555555,594.539090909091,2.8019,64.97909090909091
OMBAL,5.073999999999999,270.52588235294115,10.19375,83.3,1.158235294117647,21.291875000000005
PADEL,6.1930434782608685,310.6400000000001,145.59392857142856,960.9751724137932,2.8809230769230765,77.25
PATGAON,5.88720930232558,270.46697674418607,16.020105263157898,436.3223255813953,1.755279069767442,52.38199999999999
PENDHARI,6.048974358974358,258.7199999999999,14.605916666666666,343.07642500000014,2.445315789473684,64.237
PHANASE,5.184,103.5357,13.310727272727275,153.96818181818182,0.7747272727272727,6.873333333333332
PHANASGAON,6.052727272727273,241.84695652173912,12.39740476190476,483.4290697674419,2.2326444444444444,71.29760869565219
POYARE,5.321162790697674,321.5575813953488,17.875609756097557,189.49883720930234,1.1201860465116276,16.56162790697675
