Village,pH,N,P,K,OC,Fe
AKKALKOT (RURAL),7.701886261261264,220.05625388026684,32.5343893659622,581.6169850267378,0.5237593783494108,1.1001513387660016
ALAGE,7.8753012048192765,214.92857142857144,28.02364705882354,1298.608187134503,0.43840490797545983,1.0
ANDEWADI (JAHANGIR ),7.694736842105263,200.7346153846154,11.31051282051282,214.81025641025641,0.4305128205128207,4.780256410256411
ANDEWADI BK,7.771741258741258,169.9200416666664,12.948014184397154,476.77902097902086,0.4165277777777779,1.4507042253521136
ANDEWADI KH,7.942162162162164,100.76642105263159,13.35,523.7684615384616,0.4263589743589744,1.6356666666666666
ANKALAGE,7.836818181818179,217.3031578947368,25.41676991150441,1252.5434782608695,0.4427149321266967,1.081447963800906
BAGEHALLI,8.320202020202021,182.75757575757572,16.837199999999992,1264.1237113402062,0.4816666666666669,1.0619999999999994
BANJGOL,8.098160919540229,239.41428571428574,68.86638297872341,755.8836734693879,0.6875510204081634,4.415306122448982
BARHANPUR,7.9727272727272736,420.7160000000002,22.282894736842106,222.8532467532468,0.6571428571428571,3.9566666666666666
BASALEGAON,7.743089430894309,207.59504132231405,26.36380165289255,1330.2764227642274,0.4274590163934425,1.1118644067796621
BAVKARWADI,7.6168421052631565,373.97333333333336,30.602666666666664,198.50226666666646,0.3392105263157894,3.1115000000000004
BHURIKAVATHE,7.916494845360818,290.434375,20.66528795811518,666.051030927835,0.5539175257731959,2.436113989637306
BINJGER,7.412261904761904,368.7738095238095,32.61190476190477,190.76543209876544,0.3840476190476189,3.5043373493975905
BOBLAD,7.8541481481481465,189.24816176470588,7.383970588235292,281.6779411764705,0.4052941176470587,4.129117647058822
BORGAON,7.954131455399058,379.0213615023474,17.852924528301894,198.03047393364932,0.41652582159624396,3.980798122065728
BOROTI BK,7.320982142857141,350.76666666666665,31.86861788617886,184.65040650406502,0.4730327868852458,3.4401639344262316
BOROTI KH.,7.907460000000002,120.78339884393056,15.702781659388654,228.95713567839175,0.4512388059701496,1.4202682926829275
CHAPALGAON,7.901618798955614,340.5472584856396,15.371544502617814,305.3678590078327,0.44943085106383024,1.8795561357702355
CHAPALGAONWADI,7.654000000000001,349.76119402985074,32.51940298507463,190.36268656716416,0.4104477611940299,3.5733333333333333
CHIKKKAHALLI,7.845617021276588,188.34221311475412,10.07637168141593,362.55624999999986,0.3665573770491802,2.881475409836065
CHINCHOLI (M),7.785636363636362,119.10686274509804,14.564285714285715,301.9781818181818,0.2515686274509804,3.2887500000000007
CHINCHOLI (NAJIK),7.619105691056911,322.76268292682926,33.140245901639325,197.14791666666667,0.3729669421487606,3.326416666666665
CHUNGI,8.008708333333335,393.69425,20.145774058577405,326.21287500000005,0.5431249999999996,2.695791666666666
DAHITANE,7.473035230352299,333.0053908355796,29.930957333333314,186.8137057220709,0.3293800539083558,3.3501631016042785
DAHITANEWADI,7.352321428571432,389.07142857142856,32.23571428571428,182.5,0.5776785714285715,3.5798214285714303
DEVIKAVATHE,7.8627184466019395,192.1656634615384,12.068817204301078,471.925673076923,0.4018613861386137,1.0950000000000002
DHARSANG,7.365172413793108,386.56666666666666,31.273404255319143,194.64516129032262,0.3970212765957448,3.647765957446808
DOMBAR-JAWALGE,7.454925373134327,333.8279816513761,38.0605727272727,190.98463302752282,0.5147963800904981,3.4147963800904977
DUDHANI (RURAL),8.111891891891894,263.5678070175438,52.809649122806995,833.0245614035092,0.5776315789473684,3.901842105263157
GAUDGAON  BK.,7.772444444444441,112.48341414141416,10.935818584070796,502.99863247863266,0.5848803418803421,1.5248905982905985
GHUNGAREGAON,7.45095652173913,352.97916666666674,31.922,189.08163265306126,0.4221999999999999,3.452244897959185
GOUDGAON KH.,7.625999999999999,175.622,17.213478260869564,514.4816326530612,0.25895833333333346,1.2
GUDDEWADI,7.8195973154362415,228.5956790123457,18.324444444444453,758.8162352941176,0.4187425149700596,1.742944785276075
GURAVWADI,7.734550000000001,191.306893939394,9.866815384615377,430.1190506329116,0.4097461928934011,1.0192349999999994
HAIDRE,7.592162162162159,296.9,11.459189189189185,410.4028378378377,0.4234285714285715,0.6511111111111112
HALCHINCHOLI,7.931249999999999,173.21857142857144,33.71212121212122,927.8125,0.437878787878788,1.1415151515151514
HALHALLI (A),6.800000000000002,215.67657142857144,38.58999999999999,429.2121212121212,0.5660000000000001,1.3477777777777782
HALHALLI (M),7.819295774647889,257.53521126760563,9.821343283582088,458.19193548387085,0.36014084507042265,1.1231428571428563
HANJAGI,7.719773648648652,177.98918811881222,10.728711864406776,357.4058190789476,0.4383986486486488,4.0090368421052665
HANNUR,7.846794871794871,435.39950617283966,21.207239263803693,248.81656441717803,0.5865644171779135,3.6415432098765423
HASAPUR,7.801834862385322,169.00961538461542,27.948971962616824,860.2036697247706,0.5699082568807341,1.1603773584905663
HATTIKANBAS,7.914506437768232,201.64907563025216,8.086709401709394,625.2631512605045,0.3924369747899159,2.6032067510548544
HILLI,7.640843373493974,208.08874251496982,39.33820359281436,330.15428143712563,0.4100397350993377,0.9750000000000004
HINGANI,7.443571428571432,345.86666666666673,31.157857142857143,181.4558139534884,0.5923226086956523,3.377608695652176
ITAGE,7.507042253521125,208.16506849315067,34.20485294117646,1396.123287671233,0.3695890410958903,1.0457142857142858
JAINAPUR,7.941304347826088,160.4495102040816,26.203833333333325,683.90375,0.4608163265306123,1.3946511627906977
JEUR,7.573243243243241,266.67826086956524,16.938584905660374,601.9342592592593,0.3854310344827582,4.653965517241377
JEURWADI,7.673191489361702,107.1663829787234,54.89999999999999,456.31510638297874,0.4534978723404256,1.3345652173913043
