Village,pH,N,P,K,OC,Fe
AMBESHIV BK,6.632830303030307,875.2451515151516,19.89896341463414,409.99773333333326,1.4652121212121214,16.551448484848482
AMBESHIV KH,6.6225,772.3185000000003,30.757631578947358,494.75575,1.6747499999999995,24.05030303030303
AMBOSHI,6.827586206896553,776.2130172413792,34.90706896551722,245.79374999999982,1.3493749999999989,26.624615384615396
ASHELE,6.766315789473675,300.42857142857144,57.20571428571438,479.4815625000005,0.5602083333333334,20.730947368421045
ASNOLI,6.465106382978723,932.2027083333332,21.360851063829784,428.769574468085,1.4477083333333332,14.495208333333325
ASODE,7.099999999999996,1098.2336585365854,39.19024390243901,697.911818181818,1.8858620689655177,28.492307692307683
BANDHANWADI,7.183333333333333,656.9999999999999,37.71000000000001,268.9811111111111,1.3066666666666664,24.95411764705883
BENDSHIL,6.742857142857143,271.01810810810804,34.041944444444454,641.8054054054053,2.04945945945946,26.015142857142855
BHAL  (N.V.),6.733888888888887,190.77166666666665,6.3505555555555535,328.03666666666663,0.6727777777777777,7.7844444444444445
BHOJ,7.015624999999999,542.0934375,17.139516129032252,439.79,1.1037704918032791,13.277968749999998
BOHONOLI,6.700000000000001,637.2236956521739,52.832978723404246,446.5463829787234,0.922325581395349,23.434117647058827
BURDUL,6.61058823529412,1133.513888888889,67.07481927710846,187.31227848101258,1.6552542372881365,28.278000000000002
CHAMTOLI,7.340425531914892,655.3057142857143,25.834489795918365,561.4306122448978,1.257555555555556,7.0797727272727276
CHANDAP,6.732477064220183,822.8409999999999,23.783899999999985,326.62905263157916,1.2876666666666672,17.73975000000001
CHARGAON,6.594009216589857,1129.9247727272727,11.242376237623763,583.8868571428568,1.80968181818182,17.963590909090904
CHINCHAVALI,6.631829268292683,753.5497029702971,34.667326732673246,344.20964285714297,0.6709302325581394,21.17859375000001
CHIRAD,7.5646341463414695,648.3469662921348,65.04621052631582,419.1728282828285,1.0245833333333338,23.26675324675325
CHON,6.75115384615384,964.3587007874014,34.097837837837936,698.8530769230781,1.3931102362204726,20.831282051282038
DAHIVALI,6.7350847457627125,610.1601694915254,27.02254237288136,530.2941379310345,1.0859322033898309,6.425932203389831
DAWRALI,6.780666666666665,159.72666666666672,7.545333333333333,502.96666666666664,0.5466666666666669,8.234666666666667
DEVALOLI,5.792045454545447,510.85072164948446,27.323365384615368,375.9676136363636,0.8004395604395604,15.673452380952385
DHAVALE,6.162987012987008,1165.3535333333332,57.0457324840765,470.14624203821603,1.6942948717948725,18.37503448275861
DHOKE,6.727272727272728,161.32181818181817,3.5980000000000003,407.7872727272727,0.4545454545454545,11.130999999999998
DHOKE (DAPIVALI),6.6746835443037975,1399.0253164556962,72.45215189873412,940.6729113924038,1.9986075949367117,22.96586666666667
DONE,6.656923076923077,158.75384615384615,6.2469230769230775,232.2436363636364,0.5469230769230771,6.893076923076923
GOREGAON,6.770588235294117,187.90444444444444,21.267777777777773,516.3763157894738,2.277894736842106,24.897368421052636
GORPE,6.811678832116794,624.0789843750002,25.267132352941214,405.2450980392152,0.9300793650793652,14.98594202898551
INDGAON,6.711764705882354,239.88914285714284,14.115428571428573,363.1648484848485,1.4357894736842105,16.952972972972965
JAMBHALE,6.7666666666666675,202.058,11.172,555.2757142857142,0.4821428571428572,17.63
JAMBHILGHAR,6.958823529411764,960.72625,14.627647058823529,312.586875,1.373125,7.551764705882353
KAKADWAL,7.263129770992366,806.5260360360361,47.205446428571406,507.17713178294656,1.1694262295081967,25.315041322314052
KAKOLE,6.78258064516129,925.3752941176473,9.595882352941176,961.1385294117647,1.4885294117647057,6.726060606060607
KANHOR,6.5926086956521734,246.24072463768115,8.931304347826087,461.6655223880597,0.7459090909090907,13.60173913043478
KARAND,6.7960909090909025,1156.2019827586207,59.28543103448275,558.89281553398,1.6880172413793095,21.96666666666665
KARAV,6.7700000000000005,229.46133333333333,7.434137931034483,513.6882142857144,0.4988888888888888,16.868064516129035
KARAVALE  KH,7.351020408163259,989.3983206106868,66.06610687022906,218.33307692307682,1.57780701754386,24.555714285714274
KASGAON,7.165517241379307,220.047,38.91275862068967,803.8133333333336,1.6396666666666664,15.21428571428571
KHARAD,6.830147058823535,908.625,73.13382352941183,306.5472058823526,1.0309448818897642,21.105000000000008
KUDSAVARE,6.259854014598536,945.152408759124,56.04043795620439,391.41889705882414,1.4354744525547465,19.698394160583973
KUMBHARLI,6.980701754385967,633.5070175438599,21.75140350877193,381.70500000000015,1.373571428571428,11.720000000000002
KUSHIVALI,7.094999999999999,1240.6457894736845,37.19523809523808,859.4411627906975,1.772631578947368,4.087435897435898
MANERE  (N.V.),6.7620000000000005,193.8,7.436,480.25,0.6779999999999999,8.680000000000001
MANGRUL,6.705928853754952,633.0536200716842,20.478388278388245,361.9087804878044,0.9980575539568344,20.338801652892545
MULGAON,6.791262135922331,637.3895145631068,33.42819999999997,458.15263736263717,0.9643137254901958,20.974077669902925
NARHEN,7.344999999999987,670.8126623376625,57.102115384615395,694.054910179642,0.9891666666666672,24.35337579617834
