Village,pH,N,P,K,OC,Fe
AHIRWADA,7.974615384615384,257.6353846153846,12.912307692307696,512.1938461538462,0.5630769230769231,4.926153846153847
AHMADABAD,8.244444444444444,274.66400000000004,17.417,415.18399999999986,0.58,3.777
AHMADNAGAR,7.485925925925923,252.08703703703702,16.78259259259259,490.7496296296297,0.5262962962962963,3.6474074074074085
AJANGAON,8.060333333333332,255.3071111111111,16.633466666666667,599.9531111111112,0.6277011494252875,3.789
AJDAPUR,7.648999999999999,219.519,11.038,575.456,0.584,4.1819999999999995
BAHADARPUR,7.5669999999999975,557.625,21.983,999.7,0.8055555555555557,0.479
BAJARWADA,7.754166666666666,256.36270833333333,17.145374999999998,477.23416666666674,0.40208333333333335,2.5362500000000003
BALAIMAJARA,8.076153846153845,255.7030769230769,11.069230769230769,521.6461538461538,0.6115384615384616,2.582
BARHA SONEGAON,7.650416666666667,279.64497083333333,17.719770833333328,490.910625,0.5200416666666668,4.577916666666668
BEDHONA,7.402631578947369,260.47026315789486,11.210277777777774,799.8489189189188,0.3721052631578948,0.9963157894736844
BELHARA,7.61409090909091,177.75499999999997,27.6,344.5272727272727,0.4554545454545455,2.330909090909091
BENODA,7.8212,288.9508,12.245416666666666,486.28640000000007,0.545909090909091,3.950800000000001
BHADOD,8.2125,323.21875,12.391249999999998,533.453125,0.46403125,2.5534375
BODAD,7.828571428571433,243.8441463414634,14.079285714285716,493.4019047619047,0.5778809523809523,3.9362857142857135
BODALA,7.813636363636363,436.26818181818186,23.05789473684211,841.8999999999999,0.6233636363636363,1.2319047619047618
BORGAON,7.758333333333333,405.41153846153844,21.360384615384614,910.2753846153847,0.598923076923077,0.8377272727272728
BORI,7.773076923076923,328.1638461538462,16.74153846153846,508.79230769230765,0.5761538461538461,3.6061538461538465
BORKHEDI,7.373684210526315,432.86807017543856,13.717719298245619,752.995,0.6185964912280703,1.0264285714285717
