Village,pH,N,P,K,OC,Fe
AJAMPUR,7.7949152542372895,283.74457983050837,12.11162338983051,399.8723728813559,0.4535593220338983,2.8597288135593217
AKHATWADA,7.9575,318.2439489361704,21.552872727272725,462.35,0.53309375,4.576666666666665
ALIMARDAPUR,7.853061224489792,257.35413958333334,14.561042244897955,320.47906382978715,0.453061224489796,2.4383673469387763
AMBODA,7.711111111111113,278.83324777777773,9.478461481481483,237.2303846153846,0.3983333333333334,1.5407407407407407
ANAI,7.52142857142857,264.2767469642857,12.318020178571427,344.30800000000005,0.3786607142857144,1.9323214285714283
ANTARKHED,7.910370370370373,235.88347833333333,14.863132307692306,287.05759259259264,0.4711111111111109,2.4493750000000003
AURANGAPUR,8.057142857142853,220.7493815625,11.125820000000004,222.15030303030304,0.4998571428571429,4.259714285714286
BAGAPUR,7.818604651162793,203.04600976744183,10.619209767441859,329.7645238095239,0.4926744186046512,3.29953488372093
BAGAYAT,7.8625,296.62504375,13.87047125,314.2075,0.42375,1.18125
BAGGI,7.720634920634919,297.46026746031737,12.594873809523811,389.9196774193548,0.4260317460317461,2.1084126984126987
BAMBARDA,7.931739130434778,249.51652173913035,11.096765217391308,451.69599999999986,0.5333804347826088,4.743478260869567
BELKHED,7.496078431372548,265.43137254901956,11.977058823529408,437.78862745098036,0.3815686274509805,2.1962745098039216
BELMANDAL,7.720588235294121,224.68517647058826,14.024244705882351,228.48361290322583,0.6454090909090909,4.498823529411767
BEMBLA,7.677664974619289,226.7910161928933,13.865314619289336,217.49660212765968,0.503878172588832,2.6136517766497445
BHADSHIVNI,7.731884057971016,324.28257014492766,13.424728695652163,394.30028985507255,0.4632608695652173,1.6848695652173913
BHAMBDEVI,7.6623529411764695,264.3176470588235,13.059529411764707,486.0817647058825,0.37941176470588217,2.016705882352941
BHIWARI,7.73875,317.17506125,13.040076000000004,418.60749999999985,0.4537500000000002,1.664975
BHULODA,7.295238095238097,311.99995,11.09011285714286,290.1933333333333,0.4457142857142858,0.8247058823529413
BRAMHANKHED,7.845833333333334,213.50003500000003,13.614626666666664,329.1691666666667,0.30499999999999994,1.5775
CHANDHAI,7.665476190476188,302.3749650000002,13.040280595238093,395.08197530864214,0.4319642857142857,1.5490476190476197
DADGAON,7.75166666666667,334.6333333333333,14.122833333333327,422.11864406779665,0.4798333333333336,1.9803333333333333
DEOCHANDI,8.219047619047616,212.80536348837208,10.771984186046511,390.7066511627908,0.486046511627907,3.391162790697675
DHAMNI,7.693749999999998,261.7708333333333,14.86494845360824,448.5958762886599,0.37614583333333335,2.042886597938144
DHANGARKHED,7.21304347826087,278.2608695652174,12.21217391304348,493.6408695652174,0.3995652173913044,2.253043478260869
DHANJ  BK,8.037179487179483,315.67316397435866,10.88888987179487,419.21435897435896,0.4509615384615385,1.4023076923076925
DHANORA TATHOD,7.554545454545454,320.0681818181818,14.038181818181824,405.59090909090907,0.4597727272727272,2.1086590909090908
DHOTRA (JAHANGIR),7.741863354037273,248.81581701863368,12.463122670807445,329.6034465408806,0.4517204968944101,2.1638888888888888
DIGHI,7.907916666666666,236.9234,11.904180000000002,471.66958333333326,0.5429166666666666,4.969999999999999
DONAD BK.,7.587755102040826,293.37153228346443,11.186795158730162,254.37667200000007,0.4237941176470589,3.7750196078431344
DONGARGAON,7.787450980392156,232.82892549019613,11.43773647058823,326.2801568627452,0.5317941176470589,4.991568627450979
DUDHORA,7.934545454545455,222.64440672727258,12.545574705882359,342.58084112149504,0.4222090909090909,3.0401818181818188
EKLARA,8.087804878048779,302.4370859999999,12.211171111111113,321.3148181818182,0.5888666666666666,3.3131111111111116
GAIWAL,7.973684210526316,296.1704421052632,14.241448421052628,374.07705263157897,0.58,5.0571052631578945
GANESHPUR,7.7340909090909085,303.9881522727273,11.683142499999995,388.2040454545455,0.660625,2.2763636363636355
GANGAPUR,7.847368421052631,301.3684210526316,15.432105263157895,503.0663157894738,0.4321052631578948,2.192105263157895
GIRDA,7.3249999999999975,290.85002799999995,11.1621665,364.37699999999995,0.4155,1.392
HAIBATPUR,7.6083333333333325,302.3104,13.466880000000002,181.7312,0.6546666666666666,4.038333333333333
HINGANWADI,7.544615384615383,311.0692792307692,11.474432923076918,335.3713492063493,0.4453076923076921,1.6910461538461532
HIWARA (LAHE),7.8779220779220775,303.33772188311656,12.733626818181815,452.8457792207793,0.43389610389610384,1.7652337662337658
IMAMPUR,7.731578947368423,294.15789473684214,14.097368421052632,501.95421052631576,0.4215789473684211,2.0557894736842113
INGALKHED,7.98875,235.04320000000004,11.24928,403.38199999999995,0.5856428571428571,5.15375
INZA,7.918656716417911,186.72612269230785,23.429872890624992,369.66783582089545,0.445874074074074,2.1111851851851857
ISAFPUR,7.833333333333331,239.65686000000002,13.516360588235287,419.9786274509803,0.3442156862745097,2.1700392156862747
JAIPUR,8.058064516129031,308.7655746875,13.8019425,389.2675,0.44109375,1.4956250000000002
JALALPUR,7.811764705882353,257.45,13.707368421052628,524.3835,0.384,2.3595
JAMB,7.945714285714287,257.799952,13.325540571428574,446.91885714285706,0.36942857142857133,2.196857142857143
JANORI,8.004081632653062,305.1428757142856,13.170340612244889,362.4846527777778,0.4371428571428572,1.6933333333333331
JANUNA,8.023200000000001,280.804055,11.84209653846154,379.6776923076923,0.5081538461538462,2.18
KAJALESHWAR,7.997160493827157,285.8483358024692,14.763168,435.06192592592583,0.6251481481481482,4.687777777777775
KAKADSHIVNI,7.711111111111113,265.4343434343434,13.303636363636365,449.4066326530613,0.3816161616161616,2.155656565656567
