Village,pH,N,P,K,OC,Fe
AKOLA,7.687837837837839,206.41780487804883,16.097804878048777,343.0421052631579,0.3992307692307692,3.494
ANJI (NA),7.92475524475524,252.39860139860141,34.923309859154934,347.6814814814814,0.3889370629370627,0.9204195804195806
ASARA,7.763149606299216,240.41393700787395,14.173779527559047,477.593622047244,0.4174803149606299,4.277637795275591
AYATA,7.765798319327729,255.43589743589746,12.485882352941182,265.69491525423734,0.3666666666666668,1.331932773109243
BHANDARI,7.722467532467528,277.2944871794872,12.781864406779661,414.3464935064934,0.4246282051282052,3.9758974358974353
BHANSARA,8.106206896551724,255.3125,12.3521875,280.84375,0.3640624999999999,1.0515625000000002
BID,7.7878125,260.2909375,13.8840625,394.1221875,0.3903125000000001,4.36375
BORGAON,7.662166666666669,242.0991666666667,15.446666666666667,344.01633333333336,0.3985,3.2461666666666664
BRAMHANWADA,7.859328063241107,271.35780876494016,15.58399103139014,298.6252693975904,0.3869583333333335,3.0394979423868302
CHATARI,7.621666666666666,230.48958333333331,14.08291666666667,328.53333333333336,0.39625,3.310833333333333
CHIKANI KH.,7.748599999999998,206.77410000000003,13.195600000000004,272.0939344262295,0.2982,1.534327485380117
CHIMATA,7.678936170212767,246.961875,15.75479166666667,350.27020833333336,0.3647916666666666,4.190833333333333
CHINCHBARDI,7.691025641025642,247.66333333333336,14.797948717948715,331.9794871794872,0.3953846153846153,3.681025641025641
DAHELI,7.779607843137255,240.18264705882362,16.147549019607833,396.9102941176472,0.4166666666666669,3.6808823529411776
DATODI,7.7920000000000025,263.9258,15.985,601.4399999999998,0.4157999999999999,3.665000000000001
DATTRAMPUR,7.933456790123457,203.1019753086419,46.21000000000001,668.990909090909,0.35233333333333344,3.3396296296296297
DEOGAON,7.736190476190474,280.7504761904762,15.198095238095233,388.84571428571434,0.43142857142857133,4.3952380952380965
DEURWADI,7.64,476.27777777777777,50.22222222222222,609.1176470588234,0.7627777777777779,8.182941176470589
GANGAON,7.771764705882354,253.3928235294117,13.291882352941176,383.84105882352935,0.3823529411764705,4.438235294117648
GAWANA,7.669444444444442,222.65638888888884,17.464722222222225,338.1777777777778,0.35416666666666674,3.791388888888888
GHONSARA,7.77931818181818,174.22222222222226,12.574878048780484,283.38666666666666,0.2517777777777778,0.4938095238095238
GUDHA,7.58986666666666,240.01293333333325,16.82653333333332,339.88266666666675,0.37633783783783786,3.3077333333333336
ICHORA,7.755821917808219,228.60890410958908,14.180205479452054,338.24535211267613,0.3797260273972604,2.885958904109589
IWALESHWAR,7.823857142857142,197.06451612903226,16.17971428571429,267.19142857142856,0.2915625,1.7747887323943663
JALANDRI,7.629423076923075,253.77576923076919,13.65576923076923,334.23230769230764,0.39538461538461545,3.8782692307692312
JAMB,7.905945945945946,244.44243243243244,15.180810810810804,495.2710810810809,0.4127027027027026,4.150540540540541
JAWALA,7.873885350318468,302.3456687898089,70.33726114649681,658.9108917197452,0.4957070063694267,3.983012820512817
KAREGAON,8.01,260.0689655172414,53.27586206896552,818.6206896551724,0.4153448275862068,5.040689655172416
KATHODA,7.867916666666668,218.72727272727272,11.965000000000002,258.39130434782606,0.31272727272727274,1.3443478260869564
KAWTHA BK,7.604838709677421,233.34193548387088,15.01258064516129,313.9612903225806,0.43064516129032254,3.207741935483871
KELZARA,7.701151079136691,209.1092086330935,14.84971223021583,314.485035971223,0.3402877697841724,2.8199280575539563
KHED,7.7216,230.3116,11.974,423.44520000000006,0.3976000000000001,4.0924000000000005
KINHI,7.67923076923077,231.58269230769238,16.826923076923073,346.76923076923066,0.4096153846153847,3.930384615384614
KOLWAN,8.115531914893616,334.375,74.29166666666667,819.1914893617021,0.5353333333333337,1.943695652173913
KOPARA,7.7944642857142865,267.2892452830189,46.54964285714285,472.6132142857143,0.4637142857142857,2.82875
KRISHNANAGAR,7.769856115107915,277.7482014388489,12.293093525179858,264.8858992805756,0.3971223021582737,0.8830935251798563
KURHA,7.80295081967213,246.98360655737702,12.080409836065574,282.6639344262295,0.3534426229508199,0.8951694915254239
LINGI,7.852666666666664,293.46774193548384,53.336451612903225,409.3733333333333,0.4341935483870967,3.130666666666665
LONI,7.72111111111111,272.2548148148148,14.627407407407407,413.8151851851851,0.3785185185185185,4.375925925925925
MALEGAON,7.7806250000000015,224.49166666666667,13.910416666666665,291.2263043478261,0.3421875000000001,2.0381249999999995
MANGRUL,7.593000000000001,233.31800000000004,15.717000000000002,310.307,0.423,3.622
MANPUR,7.847142857142857,233.56071428571425,16.458333333333332,463.72357142857163,0.4109523809523809,4.171190476190476
MHASOLA,7.6708053691275175,224.44483221476503,15.94442953020134,334.11268456375836,0.3581879194630873,3.211006711409396
MUKINDPUR,7.713870967741934,247.75374999999988,13.188125,328.2999999999999,0.3687500000000001,3.5106249999999988
NAIK NAGAR,7.882518518518514,229.14074074074074,13.585789473684216,264.3626168224299,0.33948148148148144,1.7787619047619043
PAHUR,7.764000000000004,263.00994444444444,13.341666666666667,407.33616666666654,0.4126666666666669,4.539777777777777
PALASHI,7.609718309859153,224.37859154929578,16.56394366197183,343.0987323943662,0.40267605633802817,2.9829577464788737
PALODI,7.658571428571429,244.1818181818182,14.097142857142858,270.8857142857143,0.3491176470588235,1.0982857142857143
PIMPRI,7.672962962962961,252.08073529411763,15.189558823529403,356.9936029411765,0.3786764705882353,3.839558823529412
SAKHARA,7.6941791044776116,246.4734328358208,14.643208955223875,334.51917293233083,0.39477611940298507,3.86858208955224
SAKUR,7.744477611940299,223.45714285714286,11.4631884057971,262.536231884058,0.3208571428571427,1.8237142857142865
SAWALI (SA),7.675000000000002,246.87727659574472,17.973655913978497,350.0380851063829,0.36000000000000004,3.901702127659573
SENDUR SANI,7.7010309278350535,246.4,13.275773195876287,263.4574468085106,0.3532631578947369,0.8445263157894737
SHARI,7.633333333333334,238.14651515151516,18.33606060606061,342.34666666666647,0.3836363636363637,3.766515151515152
SHEKALGAON,7.931320754716983,236.09433962264148,12.364905660377355,265.32075471698107,0.3373584905660377,1.4226415094339628
SHELU,7.7334756097561,261.36487804878044,15.451349693251538,297.5876219512195,0.3987804878048781,2.2943902439024404
SHIRPUR,7.662207792207793,235.72961038961046,17.482207792207795,353.3922077922078,0.3662337662337662,3.856753246753246
SHIUR,7.931879699248122,289.1658333333335,36.17616541353386,543.8190977443608,0.4694242424242428,3.9614285714285713
SUDHAKARNAGAR,7.644400000000001,232.3144,16.974400000000006,329.41,0.3552,3.1156000000000006
TALNI,7.944003589743588,293.5,55.03793388429752,422.3448275862069,0.4690263157894739,5.435357142857142
TARODA,7.717948717948718,255.1920512820512,14.931435897435898,458.34052820512846,0.4246153846153845,4.6943076923076905
TENDOLI,7.717199999999997,279.0350649350649,62.415584415584405,822.5064935064935,0.4499999999999999,4.993026315789477
UMARI KAPESHWAR,7.710609756097559,255.62243902439025,15.360617283950615,323.4341463414633,0.3976829268292683,3.7225609756097553
UMRI,7.511565217391301,242.95121951219508,66.22764227642277,665.9268292682926,0.3879512195121951,1.8338260869565213
VITHOLI,7.7639999999999985,236.96020000000007,13.368199999999993,470.5942,0.4226999999999998,4.3661999999999965
WARUD,7.688670212765963,255.28414893617008,15.610315508021385,326.23106382978744,0.3907526881720431,3.7596276595744658
YERMAL,7.7517553191489394,244.34287234042537,15.484095744680856,386.6432978723402,0.3973723404255319,3.887219251336899
ZAPARWADI,7.6407894736842135,236.24543859649089,16.582105263157892,325.14929824561403,0.3873684210526314,3.0915789473684216
ADGAON,7.763943661971834,233.41237762237756,16.72765957446808,312.5309154929578,0.3847902097902097,3.8897237762237777
AJANI,7.61513888888889,271.4475,20.602031250000003,357.22041666666667,0.3885833333333332,3.664848484848484
AJANTI,7.726402439024394,473.708536585366,31.62598765432095,252.9670914634148,0.6844723926380363,6.145853658536584
AJEPUR,7.8425,190.4409090909091,18.0375,709.3333333333335,0.3925,4.3758333333333335
BALAPUR,7.392857142857142,303.0,23.021428571428572,220.29285714285717,0.4328571428571429,7.2142857142857135
BALEGAON,7.432363636363636,279.89285714285717,20.484716981132078,203.91241935483868,0.4062903225806451,4.336984126984127
BHARAD,6.97111111111111,301.61538461538464,24.52769230769232,97.08692307692309,0.43185185185185176,4.721111111111112
BHAWARKHED,7.339999999999997,275.8205128205128,23.36216216216217,224.4179487179486,0.38897435897435895,7.036410256410256
BRAMHANWADA (EAST),7.7768000000000015,267.2704279999999,15.899799999999995,287.92999999999995,0.3799999999999999,0.9840892156862744
BRAMHANWADA (P),7.607931372549022,245.9306930693069,18.537789473684228,225.39851485148517,0.3559509803921569,2.976425742574257
CHIKANI,7.717457446808512,262.9139784946237,16.715652173913046,233.18297872340432,0.3741595744680852,3.5311276595744654
CHIKHALI (KANHOBA),7.70729850746269,233.24890909090908,11.964545454545455,287.8488059701492,0.3386567164179104,3.895970149253732
CHINCHGAON,7.497761194029852,304.94074074074075,21.880518796992455,198.26911764705898,0.43793893129771,4.758296296296292
DAGAD-DHANORA,7.370400000000003,240.92857142857144,12.497407407407408,288.96107142857153,0.3449999999999999,3.178214285714286
DAHIFAL,7.609333333333334,252.8344444444444,16.723488888888888,277.5138888888889,0.3612333333333332,2.3917777777777776
DHANAJ,7.46532608695652,278.0,20.351261261261264,188.99357798165147,0.39731858407079657,6.04433628318584
DODKI,8.1865,281.97560975609764,13.284000000000002,282.0426829268293,0.4104761904761904,1.6846511627906984
DONAD,7.396404494382023,254.8131868131868,21.824725274725285,181.4690909090909,0.3598697802197802,7.011964705882352
FATTAPUR,7.823200000000003,224.44,15.579999999999995,284.1244000000001,0.3204,1.9859090909090908
GAULAN,7.696499999999999,265.55,12.541499999999996,276.76450000000006,0.38,2.1725
